
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.684935,,Segment,2,3,Image 1,1,1,100000003,510000001664,
1.58114,,Segment,2,2,Image 1,1,1,100000003,510000001667,
1.77281,,Segment,2,1,Image 1,1,1,100000003,510000001673,
1,,Segment,2,0,Image 1,1,1,100000003,510000001685,
3.16228,,Segment,2,12,Image 1,4,1,100000001,510000001719,
2.1047,,Segment,2,13,Image 1,4,1,100000001,510000001729,
0.471405,,Segment,2,15,Image 1,3,1,100000001,510000001731,
0.31427,,Segment,2,14,Image 1,5,1,100000001,510000001749,
40.832,,Segment,2,14,Image 1,5,1,100000001,510000001774,
1.5,,Segment,2,13,Image 1,4,1,100000001,510000001779,
2.35702,,Segment,2,13,Image 1,4,1,100000001,510000001781,
1.28062,,Segment,2,10,Image 1,4,1,100000001,510000001790,
1.38505,,Segment,2,10,Image 1,5,1,100000001,510000001796,
1.11803,,Segment,2,11,Image 1,4,1,100000001,510000001799,
1.06249,,Segment,2,8,Image 1,4,1,100000001,510000001813,
3.23179,,Segment,2,7,Image 1,4,1,100000001,510000001821,
12.1198,,Segment,2,4,Image 1,2,1,100000001,510000001823,
6.57384,,Segment,2,17,Image 1,2,1,100000003,510000001915,
1.09994,,Segment,2,16,Image 1,1,1,100000003,510000001923,
13.381,,Segment,2,15,Image 1,1,1,100000003,510000001932,
12.8878,,Segment,2,13,Image 1,1,1,100000003,510000001971,
2.41392,,Segment,2,11,Image 1,1,1,100000003,510000001988,
10.0055,,Segment,2,3,Image 1,3,1,100000003,510000002019,
2.00693,,Segment,2,1,Image 1,2,1,100000003,510000002037,
3.63318,,Segment,2,0,Image 1,1,1,100000003,510000002048,
0.955814,,Segment,2,3,Image 1,4,1,100000003,510000002072,
1.87778,,Segment,2,2,Image 1,3,1,100000003,510000002095,
29.4709,,Segment,2,1,Image 1,2,1,100000003,510000002128,
1.16058,,Segment,2,0,Image 1,1,1,100000003,510000002134,
3.39935,,Segment,2,4,Image 1,4,1,100000003,510000002139,
19.4381,,Segment,2,3,Image 1,3,1,100000003,510000002143,
4.97494,,Segment,2,4,Image 1,3,1,100000003,510000002146,
2.02073,,Segment,2,2,Image 1,2,1,100000002,510000002169,
1.72413,,Segment,2,1,Image 1,1,1,100000002,510000002212,
0.935966,,Segment,2,0,Image 1,1,1,100000002,510000002224,
63.3083,,Segment,2,4,Image 1,2,1,100000003,510000002241,
2.29463,,Segment,2,3,Image 1,2,1,100000003,510000002289,
2.93087,,Segment,2,2,Image 1,1,1,100000003,510000002308,
4.0507,,Segment,2,1,Image 1,1,1,100000003,510000002314,
2.58023,,Segment,2,2,Image 1,1,1,100000002,510000002334,
48.1132,,Segment,2,15,Image 1,3,1,100000003,510000002351,
9.54667,,Segment,2,14,Image 1,2,1,100000003,510000002368,
2.51874,,Segment,2,13,Image 1,2,1,100000003,510000002441,
10.2318,,Segment,2,8,Image 1,1,1,100000000,510000002498,
1.61091,,Segment,2,7,Image 1,1,1,100000000,510000002508,
1.0198,,Segment,2,6,Image 1,1,1,100000000,510000002512,
3.20156,,Segment,2,5,Image 1,1,1,100000000,510000002515,
3.65434,,Segment,2,4,Image 1,1,1,100000000,510000002526,
1.09963,,Segment,2,3,Image 1,1,1,100000000,510000002553,
1.46969,,Segment,2,2,Image 1,1,1,100000000,510000002577,
1.72047,,Segment,2,1,Image 1,1,1,100000000,510000002581,
1.55183,,Segment,2,0,Image 1,1,1,100000000,510000002596,
1.25898,,Segment,2,6,Image 1,3,1,100000000,510000002642,
0.92582,,Segment,2,5,Image 1,2,1,100000000,510000002648,
1.06719,,Segment,2,4,Image 1,1,1,100000000,510000002653,
8.89044,,Segment,2,3,Image 1,1,1,100000000,510000002662,
3.41384,,Segment,2,2,Image 1,1,1,100000000,510000002670,
1.22066,,Segment,2,1,Image 1,1,1,100000000,510000002679,
0.953794,,Segment,2,0,Image 1,1,1,100000000,510000002699,
0.942809,,Segment,2,3,Image 1,3,1,100000002,510000002718,
8.61462,,Segment,2,2,Image 1,2,1,100000002,510000002740,
1.37437,,Segment,2,1,Image 1,1,1,100000002,510000002745,
0.928559,,Segment,2,0,Image 1,1,1,100000002,510000002770,
7.10677,,Segment,2,3,Image 1,3,1,100000002,510000002838,
0.8,,Segment,2,1,Image 1,2,1,100000002,510000002853,
0.799305,,Segment,2,0,Image 1,1,1,100000002,510000002879,
6.67856,,Segment,2,9,Image 1,5,1,100000000,510000002901,
1.64285,,Segment,2,8,Image 1,4,1,100000000,510000002917,
0.989743,,Segment,2,7,Image 1,3,1,100000000,510000002923,
1.11803,,Segment,2,6,Image 1,2,1,100000000,510000002926,
