
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,3,2,1,100000002,510000006260,
0,1/10µm,Segment,4,3,1,100000000,510000006264,
0,1/10µm,Segment,2,2,1,100000000,510000006266,
0,1/10µm,Segment,1,2,1,100000003,510000006274,
0,1/10µm,Segment,0,1,1,100000001,510000006306,
0,1/10µm,Segment,1,1,1,100000000,510000006359,
0,1/10µm,Segment,2,2,1,100000002,510000006369,
0,1/10µm,Segment,2,2,1,100000003,510000006388,
0,1/10µm,Segment,1,1,1,100000000,510000006393,
0,1/10µm,Segment,0,1,1,100000003,510000006429,
0,1/10µm,Segment,0,1,1,100000000,510000006443,
0,1/10µm,Segment,0,1,1,100000002,510000006461,
4.60122,1/10µm,Segment,0,1,1,100000002,510000006489,
0,1/10µm,Segment,1,2,1,100000000,510000006496,
0,1/10µm,Segment,0,1,1,100000000,510000006506,
0,1/10µm,Segment,1,2,1,100000003,510000006519,
1.66136,1/10µm,Segment,0,1,1,100000003,510000006561,
0,1/10µm,Segment,0,1,1,100000001,510000006575,
0,1/10µm,Segment,0,1,1,100000001,510000006604,
0,1/10µm,Segment,0,1,1,100000000,510000006606,
30.4875,1/10µm,Segment,1,2,1,100000001,510000006627,
0,1/10µm,Segment,2,2,1,100000000,510000006629,
0,1/10µm,Segment,14,7,1,100000000,510000006630,
0,1/10µm,Segment,10,3,1,100000000,510000006631,
0,1/10µm,Segment,5,4,1,100000001,510000006636,
0,1/10µm,Segment,3,2,1,100000001,510000006637,
0,1/10µm,Segment,5,2,1,100000001,510000006638,
0,1/10µm,Segment,6,2,1,100000001,510000006639,
0,1/10µm,Segment,3,2,1,100000002,510000006640,
0,1/10µm,Segment,3,3,1,100000003,510000006643,
0,1/10µm,Segment,3,4,1,100000003,510000006644,
7.23562,1/10µm,Segment,0,1,1,,,
