
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
91.0625,,Segment,2,1,Image 1,1,1,100000002,510000003494,
53.0625,,Segment,2,18,Image 1,4,1,100000000,510000003500,
80.125,,Segment,2,17,Image 1,3,1,100000000,510000003523,
104.062,,Segment,2,10,Image 1,4,1,100000001,510000003537,
53.0625,,Segment,2,10,Image 1,3,1,100000002,510000003539,
53.0312,,Segment,2,18,Image 1,3,1,100000000,510000003541,
47.0625,,Segment,2,4,Image 1,3,1,100000002,510000003543,
43.0156,,Segment,2,11,Image 1,2,1,100000002,510000003546,
60.5312,,Segment,2,8,Image 1,4,1,100000002,510000003553,
34.0312,,Segment,2,11,Image 1,3,1,100000002,510000003573,
42.5625,,Segment,2,10,Image 1,2,1,100000002,510000003592,
153.062,,Segment,2,9,Image 1,1,1,100000002,510000003597,
114.125,,Segment,2,5,Image 1,2,1,100000002,510000003604,
30.5313,,Segment,2,8,Image 1,4,1,100000001,510000003607,
16.0625,,Segment,2,10,Image 1,3,1,100000002,510000003611,
44.125,,Segment,2,13,Image 1,1,1,100000002,510000003641,
74.0625,,Segment,2,10,Image 1,1,1,100000002,510000003651,
24.0312,,Segment,2,6,Image 1,3,1,100000002,510000003660,
64.0312,,Segment,2,5,Image 1,2,1,100000002,510000003679,
78.0625,,Segment,2,4,Image 1,2,1,100000002,510000003697,
58.125,,Segment,2,8,Image 1,3,1,100000002,510000003714,
18.0312,,Segment,2,9,Image 1,6,1,100000001,510000003716,
17.0156,,Segment,2,8,Image 1,6,1,100000001,510000003718,
78.5625,,Segment,2,7,Image 1,5,1,100000001,510000003721,
70.0625,,Segment,2,6,Image 1,5,1,100000001,510000003725,
42.5625,,Segment,2,9,Image 1,5,1,100000001,510000003730,
66.0625,,Segment,2,8,Image 1,5,1,100000001,510000003740,
33.0625,,Segment,2,9,Image 1,4,1,100000001,510000003744,
28.5312,,Segment,2,18,Image 1,3,1,100000000,510000003751,
23.0156,,Segment,2,17,Image 1,3,1,100000000,510000003753,
34.125,,Segment,2,7,Image 1,6,1,100000001,510000003765,
12.0312,,Segment,2,9,Image 1,7,1,100000001,510000003767,
45.125,,Segment,2,13,Image 1,5,1,100000002,510000003771,
24.0625,,Segment,2,16,Image 1,2,1,100000000,510000003777,
