
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
86,,Spine,2,3,Image 1,2,1,100000004,610000030051,
75,,Spine,2,3,Image 1,3,1,100000004,610000030052,
41,,Spine,2,2,Image 1,3,1,100000004,610000030053,
67,,Spine,2,0,Image 1,1,1,100000004,610000030054,
100,,Spine,2,0,Image 1,1,1,100000004,610000030055,
111,,Spine,2,0,Image 1,1,1,100000004,610000030062,
80,,Spine,2,10,Image 1,7,1,100000004,610000030063,
54,,Spine,2,9,Image 1,6,1,100000004,610000030064,
58,,Spine,2,8,Image 1,6,1,100000004,610000030065,
79,,Spine,2,6,Image 1,5,1,100000004,610000030066,
82,,Spine,2,5,Image 1,4,1,100000004,610000030067,
89,,Spine,2,5,Image 1,2,1,100000004,610000030068,
66,,Spine,2,3,Image 1,2,1,100000004,610000030069,
66,,Spine,2,3,Image 1,2,1,100000004,610000030070,
62,,Spine,2,2,Image 1,2,1,100000004,610000030071,
46,,Spine,2,2,Image 1,2,1,100000004,610000030072,
72,,Spine,2,6,Image 1,5,1,100000004,610000030073,
271,,Spine,2,0,Image 1,1,1,100000004,610000030074,
36,,Spine,2,6,Image 1,3,1,100000004,610000030075,
29,,Spine,2,6,Image 1,3,1,100000004,610000030076,
64,,Spine,2,5,Image 1,2,1,100000004,610000030077,
54,,Spine,2,5,Image 1,2,1,100000004,610000030078,
68,,Spine,2,4,Image 1,1,1,100000004,610000030079,
55,,Spine,2,4,Image 1,2,1,100000004,610000030080,
67,,Spine,2,4,Image 1,2,1,100000005,610000030082,
53,,Spine,2,9,Image 1,3,1,100000005,610000030083,
112,,Spine,2,5,Image 1,3,1,100000005,610000030084,
52,,Spine,2,5,Image 1,4,1,100000005,610000030085,
26,,Spine,2,5,Image 1,4,1,100000005,610000030086,
22,,Spine,2,4,Image 1,3,1,100000005,610000030087,
17,,Spine,2,4,Image 1,3,1,100000005,610000030088,
44,,Spine,2,4,Image 1,3,1,100000005,610000030089,
65,,Spine,2,5,Image 1,3,1,100000005,610000030090,
69,,Spine,2,5,Image 1,3,1,100000005,610000030095,
92,,Spine,2,5,Image 1,3,1,100000005,610000030096,
173,,Spine,2,0,Image 1,1,1,100000005,610000030097,
136,,Spine,2,0,Image 1,1,1,100000005,610000030098,
91,,Spine,2,10,Image 1,5,1,100000005,610000030099,
114,,Spine,2,10,Image 1,5,1,100000005,610000030100,
61,,Spine,2,9,Image 1,4,1,100000005,610000030101,
31,,Spine,2,9,Image 1,4,1,100000005,610000030102,
184,,Spine,2,8,Image 1,4,1,100000005,610000030103,
63,,Spine,2,6,Image 1,4,1,100000005,610000030104,
78,,Spine,2,4,Image 1,3,1,100000005,610000030105,
85,,Spine,2,4,Image 1,3,1,100000005,610000030106,
