
Spine Center Intensity Mean Ch=1 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Spine,1,6,Image 1,4,1,100000003,610000030005,
1,,Spine,1,5,Image 1,3,1,100000003,610000030006,
35.5,,Spine,1,5,Image 1,3,1,100000003,610000030007,
37.5,,Spine,1,3,Image 1,2,1,100000003,610000030008,
1,,Spine,1,4,Image 1,4,1,100000003,610000030009,
1,,Spine,1,4,Image 1,4,1,100000003,610000030010,
1.5,,Spine,1,4,Image 1,4,1,100000003,610000030011,
0.5,,Spine,1,4,Image 1,4,1,100000003,610000030012,
3,,Spine,1,4,Image 1,4,1,100000003,610000030013,
5.5,,Spine,1,4,Image 1,4,1,100000003,610000030014,
6.5,,Spine,1,6,Image 1,3,1,100000003,610000030015,
2,,Spine,1,3,Image 1,3,1,100000003,610000030016,
2.5,,Spine,1,2,Image 1,2,1,100000003,610000030017,
0.5,,Spine,1,1,Image 1,2,1,100000003,610000030018,
0.5,,Spine,1,1,Image 1,2,1,100000003,610000030019,
1,,Spine,1,2,Image 1,1,1,100000003,610000030020,
2,,Spine,1,7,Image 1,7,1,100000004,610000030028,
2.5,,Spine,1,6,Image 1,5,1,100000004,610000030029,
2,,Spine,1,13,Image 1,7,1,100000004,610000030030,
7.5,,Spine,1,13,Image 1,7,1,100000004,610000030031,
10,,Spine,1,12,Image 1,7,1,100000004,610000030032,
9.5,,Spine,1,12,Image 1,7,1,100000004,610000030033,
3,,Spine,1,12,Image 1,8,1,100000004,610000030034,
3,,Spine,1,11,Image 1,7,1,100000004,610000030035,
3.5,,Spine,1,11,Image 1,7,1,100000004,610000030036,
3,,Spine,1,10,Image 1,7,1,100000004,610000030037,
1.5,,Spine,1,6,Image 1,5,1,100000004,610000030038,
2.5,,Spine,1,4,Image 1,4,1,100000004,610000030039,
2.5,,Spine,1,12,Image 1,4,1,100000004,610000030040,
1,,Spine,1,14,Image 1,4,1,100000004,610000030041,
0,,Spine,1,14,Image 1,3,1,100000004,610000030042,
2,,Spine,1,14,Image 1,3,1,100000004,610000030043,
47,,Spine,1,13,Image 1,3,1,100000004,610000030044,
0,,Spine,1,11,Image 1,3,1,100000004,610000030045,
0.5,,Spine,1,10,Image 1,2,1,100000004,610000030046,
1.5,,Spine,1,9,Image 1,2,1,100000004,610000030047,
1.5,,Spine,1,5,Image 1,2,1,100000004,610000030048,
1.5,,Spine,1,5,Image 1,2,1,100000004,610000030049,
2,,Spine,1,5,Image 1,2,1,100000004,610000030050,
1.5,,Spine,1,3,Image 1,2,1,100000004,610000030051,
1,,Spine,1,3,Image 1,3,1,100000004,610000030052,
2.5,,Spine,1,2,Image 1,3,1,100000004,610000030053,
0,,Spine,1,0,Image 1,1,1,100000004,610000030054,
0,,Spine,1,0,Image 1,1,1,100000004,610000030055,
1,,Spine,1,0,Image 1,1,1,100000004,610000030062,
14,,Spine,1,10,Image 1,7,1,100000004,610000030063,
1.5,,Spine,1,9,Image 1,6,1,100000004,610000030064,
1.5,,Spine,1,8,Image 1,6,1,100000004,610000030065,
2.5,,Spine,1,6,Image 1,5,1,100000004,610000030066,
5.5,,Spine,1,5,Image 1,4,1,100000004,610000030067,
1.5,,Spine,1,5,Image 1,2,1,100000004,610000030068,
14.5,,Spine,1,3,Image 1,2,1,100000004,610000030069,
12.5,,Spine,1,3,Image 1,2,1,100000004,610000030070,
0.5,,Spine,1,2,Image 1,2,1,100000004,610000030071,
1.5,,Spine,1,2,Image 1,2,1,100000004,610000030072,
2.5,,Spine,1,6,Image 1,5,1,100000004,610000030073,
3.5,,Spine,1,0,Image 1,1,1,100000004,610000030074,
0.5,,Spine,1,6,Image 1,3,1,100000004,610000030075,
0.5,,Spine,1,6,Image 1,3,1,100000004,610000030076,
2.5,,Spine,1,5,Image 1,2,1,100000004,610000030077,
2.5,,Spine,1,5,Image 1,2,1,100000004,610000030078,
1,,Spine,1,4,Image 1,1,1,100000004,610000030079,
3,,Spine,1,4,Image 1,2,1,100000004,610000030080,
3,,Spine,1,4,Image 1,2,1,100000005,610000030082,
3.5,,Spine,1,9,Image 1,3,1,100000005,610000030083,
13.5,,Spine,1,5,Image 1,3,1,100000005,610000030084,
9,,Spine,1,5,Image 1,4,1,100000005,610000030085,
38.5,,Spine,1,5,Image 1,4,1,100000005,610000030086,
3,,Spine,1,4,Image 1,3,1,100000005,610000030087,
2.5,,Spine,1,4,Image 1,3,1,100000005,610000030088,
2.5,,Spine,1,4,Image 1,3,1,100000005,610000030089,
0,,Spine,1,5,Image 1,3,1,100000005,610000030090,
4.5,,Spine,1,5,Image 1,3,1,100000005,610000030095,
55,,Spine,1,5,Image 1,3,1,100000005,610000030096,
1,,Spine,1,0,Image 1,1,1,100000005,610000030097,
1,,Spine,1,0,Image 1,1,1,100000005,610000030098,
0.5,,Spine,1,10,Image 1,5,1,100000005,610000030099,
4.5,,Spine,1,10,Image 1,5,1,100000005,610000030100,
0,,Spine,1,9,Image 1,4,1,100000005,610000030101,
0.5,,Spine,1,9,Image 1,4,1,100000005,610000030102,
2,,Spine,1,8,Image 1,4,1,100000005,610000030103,
5.5,,Spine,1,6,Image 1,4,1,100000005,610000030104,
2.5,,Spine,1,4,Image 1,3,1,100000005,610000030105,
2,,Spine,1,4,Image 1,3,1,100000005,610000030106,
5,,Spine,1,5,Image 1,3,1,100000005,610000030107,
7,,Spine,1,5,Image 1,3,1,100000005,610000030108,
16,,Spine,1,5,Image 1,3,1,100000005,610000030109,
4.5,,Spine,1,5,Image 1,2,1,100000005,610000030110,
18.5,,Spine,1,4,Image 1,2,1,100000005,610000030111,
2.5,,Spine,1,4,Image 1,2,1,100000005,610000030112,
1.5,,Spine,1,2,Image 1,2,1,100000005,610000030113,
2.5,,Spine,1,3,Image 1,3,1,100000005,610000030114,
4.5,,Spine,1,3,Image 1,3,1,100000005,610000030115,
0.5,,Spine,1,2,Image 1,3,1,100000005,610000030116,
7,,Spine,1,4,Image 1,1,1,100000005,610000030117,
0.5,,Spine,1,4,Image 1,1,1,100000005,610000030118,
2,,Spine,1,4,Image 1,1,1,100000005,610000030119,
2,,Spine,1,1,Image 1,2,1,100000005,610000030120,
