
Spine Center Intensity Mean Ch=5 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15,,Spine,5,6,Image 1,3,1,100000003,610000008750,
93.5,,Spine,5,4,Image 1,1,1,100000003,610000008751,
54,,Spine,5,9,Image 1,3,1,100000003,610000008752,
30.5,,Spine,5,8,Image 1,4,1,100000003,610000008753,
9,,Spine,5,7,Image 1,3,1,100000003,610000008754,
52,,Spine,5,6,Image 1,3,1,100000003,610000008755,
0,,Spine,5,3,Image 1,1,1,100000003,610000008756,
15.5,,Spine,5,10,Image 1,4,1,100000003,610000008757,
62,,Spine,5,8,Image 1,3,1,100000003,610000008758,
37,,Spine,5,6,Image 1,3,1,100000003,610000008759,
54.5,,Spine,5,7,Image 1,2,1,100000003,610000008760,
52,,Spine,5,12,Image 1,5,1,100000003,610000008761,
32,,Spine,5,12,Image 1,5,1,100000003,610000008762,
24,,Spine,5,12,Image 1,4,1,100000003,610000008763,
57,,Spine,5,11,Image 1,5,1,100000003,610000008764,
85.5,,Spine,5,10,Image 1,4,1,100000003,610000008765,
60,,Spine,5,10,Image 1,4,1,100000003,610000008766,
67.5,,Spine,5,10,Image 1,6,1,100000003,610000008767,
55,,Spine,5,10,Image 1,6,1,100000003,610000008768,
95.5,,Spine,5,8,Image 1,4,1,100000003,610000008769,
53.5,,Spine,5,7,Image 1,3,1,100000003,610000008770,
40,,Spine,5,11,Image 1,4,1,100000003,610000008771,
31.5,,Spine,5,2,Image 1,2,1,100000003,610000008772,
101,,Spine,5,0,Image 1,1,1,100000003,610000008773,
