
Segment Center Intensity Median Ch=4 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
35.0312,,Segment,4,6,Image 1,4,1,100000001,510000002723,
46.0625,,Segment,4,7,Image 1,4,1,100000001,510000002725,
12.0625,,Segment,4,5,Image 1,3,1,100000001,510000002729,
22.0625,,Segment,4,5,Image 1,4,1,100000001,510000002734,
117.125,,Segment,4,1,Image 1,2,1,100000001,510000002757,
6.5625,,Segment,4,2,Image 1,2,1,100000001,510000002762,
40.0625,,Segment,4,3,Image 1,1,1,100000001,510000002764,
45.125,,Segment,4,4,Image 1,3,1,100000000,510000002785,
76.5625,,Segment,4,3,Image 1,2,1,100000000,510000002824,
97.125,,Segment,4,2,Image 1,1,1,100000000,510000002862,
107.062,,Segment,4,1,Image 1,1,1,100000000,510000002888,
137.062,,Segment,4,0,Image 1,1,1,100000000,510000002933,
38.625,,Segment,4,9,Image 1,3,1,100000001,510000002958,
52.0625,,Segment,4,8,Image 1,3,1,100000001,510000002964,
72.0625,,Segment,4,7,Image 1,3,1,100000001,510000002978,
64.5625,,Segment,4,6,Image 1,3,1,100000001,510000002997,
95.125,,Segment,4,5,Image 1,2,1,100000001,510000003035,
121.031,,Segment,4,4,Image 1,1,1,100000001,510000003037,
150.031,,Segment,4,3,Image 1,1,1,100000001,510000003039,
103.125,,Segment,4,2,Image 1,1,1,100000001,510000003065,
147.016,,Segment,4,1,Image 1,1,1,100000001,510000003067,
129.125,,Segment,4,0,Image 1,1,1,100000001,510000003083,
44.0625,,Segment,4,2,Image 1,1,1,100000000,510000003087,
54.625,,Segment,4,1,Image 1,1,1,100000000,510000003122,
101.125,,Segment,4,0,Image 1,1,1,100000000,510000003197,
93.125,,Segment,4,2,Image 1,2,1,100000000,510000003201,
54.125,,Segment,4,9,Image 1,4,1,100000001,510000003213,
63.125,,Segment,4,4,Image 1,2,1,100000000,510000003219,
136.125,,Segment,4,6,Image 1,2,1,100000000,510000003248,
116.062,,Segment,4,5,Image 1,2,1,100000000,510000003266,
127.531,,Segment,4,4,Image 1,2,1,100000000,510000003271,
57.5625,,Segment,4,3,Image 1,2,1,100000000,510000003278,
92.125,,Segment,4,2,Image 1,2,1,100000000,510000003288,
98.0625,,Segment,4,1,Image 1,2,1,100000000,510000003310,
22.125,,Segment,4,10,Image 1,4,1,100000003,510000003321,
94.0625,,Segment,4,9,Image 1,3,1,100000003,510000003339,
67.5625,,Segment,4,8,Image 1,3,1,100000003,510000003346,
