
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.729384,0.680773,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000007875,
0.924876,1.07176,0,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000007876,
0.704586,0.48055,0.416667,µm,Spine,Spine Part Mean Diameter,6,6,1,100000003,610000007229,
0.689679,0.553385,0,µm,Spine,Spine Part Mean Diameter,7,2,1,100000003,610000007631,
0.785148,0.736963,0,µm,Spine,Spine Part Mean Diameter,7,2,1,100000003,610000007917,
0.799444,0.650273,0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000007912,
0.919629,0.72764,0,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000007916,
0.839242,0.416667,0.833333,µm,Spine,Spine Part Mean Diameter,7,4,1,100000003,610000007583,
0.757326,0.546875,0,µm,Spine,Spine Part Mean Diameter,7,4,1,100000000,610000007853,
0.839242,0.833333,0,µm,Spine,Spine Part Mean Diameter,7,4,1,100000003,610000007911,
1.61346,0.416667,0,µm,Spine,Spine Part Mean Diameter,8,3,1,100000003,610000007585,
1.14289,0.928092,0,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000007848,
0.993576,0.624352,0,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000007855,
1.08691,0.878669,0,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000007856,
0.86187,0.670347,0,µm,Spine,Spine Part Mean Diameter,8,4,1,100000003,610000007915,
0.618514,0.524355,0,µm,Spine,Spine Part Mean Diameter,8,5,1,100000000,610000007452,
0.865871,0.703338,0,µm,Spine,Spine Part Mean Diameter,8,5,1,100000000,610000007852,
1.03153,1.06735,0,µm,Spine,Spine Part Mean Diameter,9,5,1,100000000,610000007742,
1.0986,1.05521,0,µm,Spine,Spine Part Mean Diameter,9,5,1,100000000,610000007846,
1.00068,0.859378,0,µm,Spine,Spine Part Mean Diameter,9,5,1,100000000,610000007847,
0.785306,0.695072,0,µm,Spine,Spine Part Mean Diameter,9,5,1,100000003,610000007906,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Mean Diameter,9,6,1,100000000,610000007214,
0.43836,0.416667,0,µm,Spine,Spine Part Mean Diameter,9,6,1,100000000,610000007851,
0.841509,0.540365,0,µm,Spine,Spine Part Mean Diameter,9,6,1,100000000,610000007857,
