
Segment Intensity Median Ch=4 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
81.125,,Segment,4,2,Image 1,3,1,100000000,510000004114,
60.125,,Segment,4,4,Image 1,2,1,100000000,510000004128,
43.125,,Segment,4,5,Image 1,3,1,100000001,510000004141,
47.125,,Segment,4,3,Image 1,4,1,100000000,510000004149,
41.625,,Segment,4,1,Image 1,2,1,100000004,510000004172,
34.125,,Segment,4,4,Image 1,3,1,100000000,510000004176,
50,,Segment,4,8,Image 1,2,1,100000003,510000004178,
77.125,,Segment,4,3,Image 1,1,1,100000004,510000004218,
79.125,,Segment,4,2,Image 1,1,1,100000004,510000004221,
34.125,,Segment,4,1,Image 1,1,1,100000004,510000004229,
37.125,,Segment,4,0,Image 1,1,1,100000004,510000004237,
34.0625,,Segment,4,3,Image 1,3,1,100000004,510000004240,
85.125,,Segment,4,5,Image 1,2,1,100000000,510000004255,
39.0625,,Segment,4,4,Image 1,3,1,100000004,510000004257,
46.125,,Segment,4,6,Image 1,2,1,100000001,510000004261,
54.125,,Segment,4,4,Image 1,3,1,100000000,510000004267,
43.125,,Segment,4,1,Image 1,2,1,100000003,510000004277,
75.125,,Segment,4,0,Image 1,1,1,100000003,510000004346,
40.125,,Segment,4,3,Image 1,2,1,100000004,510000004349,
63.125,,Segment,4,2,Image 1,1,1,100000004,510000004368,
45.125,,Segment,4,1,Image 1,1,1,100000003,510000004374,
35.125,,Segment,4,3,Image 1,1,1,100000004,510000004376,
35.125,,Segment,4,6,Image 1,3,1,100000003,510000004380,
81.125,,Segment,4,3,Image 1,2,1,100000004,510000004383,
50.125,,Segment,4,2,Image 1,3,1,100000004,510000004395,
53.625,,Segment,4,3,Image 1,2,1,100000000,510000004406,
68.125,,Segment,4,2,Image 1,2,1,100000004,510000004414,
75.125,,Segment,4,3,Image 1,3,1,100000000,510000004418,
24.625,,Segment,4,2,Image 1,2,1,100000004,510000004421,
68.125,,Segment,4,3,Image 1,2,1,100000001,510000004425,
68.125,,Segment,4,4,Image 1,2,1,100000003,510000004449,
74.125,,Segment,4,3,Image 1,2,1,100000003,510000004461,
78.125,,Segment,4,2,Image 1,2,1,100000003,510000004472,
81.125,,Segment,4,1,Image 1,2,1,100000000,510000004476,
82.125,,Segment,4,4,Image 1,2,1,100000003,510000004493,
53.125,,Segment,4,2,Image 1,2,1,100000001,510000004498,
43.125,,Segment,4,2,Image 1,2,1,100000004,510000004508,
35.0625,,Segment,4,1,Image 1,2,1,100000004,510000004516,
81.125,,Segment,4,5,Image 1,1,1,100000003,510000004523,
63.125,,Segment,4,1,Image 1,1,1,100000003,510000004527,
79.125,,Segment,4,1,Image 1,2,1,100000003,510000004567,
94.125,,Segment,4,1,Image 1,2,1,100000001,510000004571,
50.125,,Segment,4,0,Image 1,1,1,100000003,510000004576,
30.625,,Segment,4,1,Image 1,2,1,100000004,510000004581,
49.125,,Segment,4,1,Image 1,2,1,100000003,510000004584,
77.125,,Segment,4,0,Image 1,1,1,100000000,510000004627,
139.125,,Segment,4,1,Image 1,1,1,100000000,510000004664,
116.125,,Segment,4,0,Image 1,1,1,100000000,510000004670,
103.125,,Segment,4,1,Image 1,2,1,100000000,510000004710,
108.125,,Segment,4,0,Image 1,1,1,100000001,510000004749,
67.125,,Segment,4,0,Image 1,1,1,100000002,510000004757,
96.625,,Segment,4,0,Image 1,1,1,100000002,510000004777,
88.125,,Segment,4,1,Image 1,1,1,100000000,510000004811,
81.0625,,Segment,4,3,Image 1,3,1,100000000,510000004812,
63.125,,Segment,4,1,Image 1,1,1,100000001,510000004814,
13.0625,,Segment,4,5,Image 1,3,1,100000001,510000004815,
40.5625,,Segment,4,3,Image 1,3,1,100000001,510000004816,
48.0625,,Segment,4,3,Image 1,3,1,100000001,510000004817,
77.5,,Segment,4,2,Image 1,1,1,100000001,510000004819,
44.125,,Segment,4,10,Image 1,2,1,100000001,510000004820,
62.5625,,Segment,4,6,Image 1,3,1,100000001,510000004821,
48.125,,Segment,4,4,Image 1,3,1,100000001,510000004822,
77.125,,Segment,4,7,Image 1,4,1,100000001,510000004823,
112.125,,Segment,4,4,Image 1,1,1,100000002,510000004828,
106.125,,Segment,4,17,Image 1,5,1,100000002,510000004829,
105.125,,Segment,4,18,Image 1,5,1,100000002,510000004830,
75.125,,Segment,4,28,Image 1,9,1,100000002,510000004831,
105.125,,Segment,4,16,Image 1,7,1,100000002,510000004832,
105.625,,Segment,4,14,Image 1,7,1,100000002,510000004833,
29.625,,Segment,4,4,Image 1,4,1,100000002,510000004835,
100.625,,Segment,4,1,Image 1,1,1,100000003,510000004837,
101.125,,Segment,4,3,Image 1,1,1,100000003,510000004838,
79.125,,Segment,4,1,Image 1,1,1,100000004,510000004839,
104.125,,Segment,4,0,Image 1,1,1,,,
