
Spine Terminal Pt Position Z
 ==================== 
Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1473.86,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003874,
1470.86,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000003875,
1473.66,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003875,
1472.66,µm,Spine,Spine Terminal Pt Position,,,1,,610000003876,
1471.16,µm,Spine,Spine Terminal Pt Position,6,1,1,,610000003876,
1471.16,µm,Spine,Spine Terminal Pt Position,6,1,1,,610000003877,
1472.76,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003878,
1473.57,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000003879,
1474.06,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000003880,
1470.66,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000003881,
1470.16,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000003882,
1470.86,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003883,
1470.46,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000003884,
1470.36,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000003885,
1472.56,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003886,
1472.44,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003887,
1470.56,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003888,
1470.46,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003890,
1470.26,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003891,
1470.46,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000003892,
1470.26,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000003893,
1469.96,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000003894,
1469.87,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000003895,
1469.86,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000003896,
1471.96,µm,Spine,Spine Terminal Pt Position,,,1,,610000003897,
1471.76,µm,Spine,Spine Terminal Pt Position,,,1,,610000003899,
1470.46,µm,Spine,Spine Terminal Pt Position,,,1,,610000003900,
