
Spine Center Intensity Mean Ch=3 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,3,6,Image 1,2,1,100000003,610000009060,
0,,Spine,3,5,Image 1,2,1,100000003,610000009061,
0,,Spine,3,5,Image 1,2,1,100000003,610000009062,
0,,Spine,3,3,Image 1,1,1,100000003,610000009063,
0,,Spine,3,1,Image 1,1,1,100000003,610000009064,
0,,Spine,3,4,Image 1,2,1,100000003,610000009066,
0,,Spine,3,2,Image 1,2,1,100000003,610000009067,
70.5,,Spine,3,5,Image 1,2,1,100000003,610000009068,
0,,Spine,3,5,Image 1,2,1,100000003,610000009069,
0,,Spine,3,4,Image 1,1,1,100000003,610000009070,
33.5,,Spine,3,2,Image 1,2,1,100000003,610000009072,
0,,Spine,3,2,Image 1,2,1,100000003,610000009073,
0,,Spine,3,1,Image 1,2,1,100000003,610000009074,
0,,Spine,3,2,Image 1,3,1,100000004,610000009075,
18.5,,Spine,3,1,Image 1,1,1,100000005,610000009082,
0,,Spine,3,4,Image 1,2,1,100000005,610000009084,
0,,Spine,3,6,Image 1,3,1,100000005,610000009085,
0,,Spine,3,1,Image 1,2,1,100000005,610000009086,
