
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19445.2,µm,Spine,Spine Terminal Pt Distance from Origin,11,2,1,,610000009096,
19447.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009097,
19445.3,µm,Spine,Spine Terminal Pt Distance from Origin,10,1,1,,610000009097,
19439.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,,610000009097,
19431.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,,610000009097,
19449,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009098,
19443.4,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009098,
19447.7,µm,Spine,Spine Terminal Pt Distance from Origin,10,1,1,,610000009098,
19427.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,,610000009098,
19439.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009099,
19443,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009099,
19447.9,µm,Spine,Spine Terminal Pt Distance from Origin,9,1,1,,610000009099,
19423.5,µm,Spine,Spine Terminal Pt Distance from Origin,5,5,1,,610000009099,
19420.8,µm,Spine,Spine Terminal Pt Distance from Origin,6,5,1,,610000009100,
19431.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009100,
19454.4,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009100,
19450.2,µm,Spine,Spine Terminal Pt Distance from Origin,9,1,1,,610000009100,
19456.1,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009101,
19450.6,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009101,
19451.5,µm,Spine,Spine Terminal Pt Distance from Origin,8,1,1,,610000009101,
19452.9,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009102,
19466.2,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,,610000009102,
19456.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,,610000009102,
19454.4,µm,Spine,Spine Terminal Pt Distance from Origin,7,1,1,,610000009102,
19459.4,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009103,
19453.1,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009103,
19466,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009103,
19452.4,µm,Spine,Spine Terminal Pt Distance from Origin,7,1,1,,610000009103,
19452.9,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009104,
19457.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009104,
19466.8,µm,Spine,Spine Terminal Pt Distance from Origin,6,1,1,,610000009104,
19460.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009105,
19463.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000009105,
19452.9,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009105,
19453.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009105,
19457.6,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009106,
19459.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009106,
19450.1,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009106,
19482.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000009107,
19456,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,,610000009107,
19460.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009107,
19481.1,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000009108,
19453.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009108,
19451.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009108,
19464.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009108,
19453.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009109,
19445,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009109,
19456.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009109,
19427.4,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009110,
19448.6,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009110,
19466,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009110,
19432.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009111,
19449.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009111,
19449.5,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009111,
19482.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,,610000009111,
19436.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000009112,
19449.6,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009112,
19453.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,,610000009112,
19487.5,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,,610000009112,
19456.1,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,,610000009113,
19453.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000009113,
19437.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009113,
19490.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,,610000009113,
19448.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000009114,
19425.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009114,
19493.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,,610000009114,
19492,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,,610000009115,
19433.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,,610000009115,
19435.7,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009116,
19496.1,µm,Spine,Spine Terminal Pt Distance from Origin,8,4,1,,610000009116,
19436.4,µm,Spine,Spine Terminal Pt Distance from Origin,6,2,1,,610000009117,
19495.4,µm,Spine,Spine Terminal Pt Distance from Origin,8,4,1,,610000009117,
19434.4,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,,610000009118,
19499.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,,610000009118,
19496.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009119,
19434.1,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,,610000009119,
19497.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009120,
19434.8,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,,610000009120,
19499,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009121,
19436,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,,610000009121,
19484.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000009122,
19491.2,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,,610000009123,
19491.6,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,,610000009124,
19478.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000009125,
19480.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000009126,
19470.9,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,,610000009127,
