
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.304687,µm,Spine,9,2,1,100000001,610000008027,
0.307227,µm,Spine,7,2,1,100000001,610000008028,
0.324844,µm,Spine,7,3,1,100000001,610000008029,
0.381843,µm,Spine,7,3,1,100000001,610000008030,
0.181421,µm,Spine,6,2,1,100000001,610000008031,
0.1625,µm,Spine,5,2,1,100000001,610000008032,
0.358306,µm,Spine,5,2,1,100000001,610000008033,
0.394507,µm,Spine,6,2,1,100000001,610000008034,
0.375781,µm,Spine,6,2,1,100000001,610000008035,
0.404232,µm,Spine,6,2,1,100000001,610000008036,
0.387171,µm,Spine,4,2,1,100000001,610000008037,
0.385495,µm,Spine,4,2,1,100000001,610000008038,
0.281341,µm,Spine,6,4,1,100000001,610000008039,
0.218765,µm,Spine,5,4,1,100000001,610000008040,
0.218765,µm,Spine,5,4,1,100000001,610000008041,
0.301965,µm,Spine,4,2,1,100000001,610000008042,
0.212639,µm,Spine,4,2,1,100000001,610000008043,
0.304218,µm,Spine,4,2,1,100000001,610000008044,
0.277762,µm,Spine,3,2,1,100000001,610000008045,
0.198188,µm,Spine,3,2,1,100000001,610000008046,
0.190242,µm,Spine,3,3,1,100000001,610000008047,
0.34852,µm,Spine,0,1,1,100000001,610000008048,
0.336435,µm,Spine,0,1,1,100000001,610000008053,
0.364959,µm,Spine,1,1,1,100000001,610000008056,
0.203501,µm,Spine,1,1,1,100000002,610000008058,
0.25317,µm,Spine,1,1,1,100000002,610000008059,
0.300026,µm,Spine,1,2,1,100000002,610000008060,
0.283386,µm,Spine,8,4,1,100000002,610000008063,
0.246161,µm,Spine,5,3,1,100000002,610000008064,
0.308659,µm,Spine,6,3,1,100000002,610000008065,
0.266602,µm,Spine,6,3,1,100000002,610000008066,
0.300763,µm,Spine,5,2,1,100000002,610000008067,
0.251367,µm,Spine,7,1,1,100000002,610000008068,
0.247077,µm,Spine,5,1,1,100000002,610000008069,
0.182292,µm,Spine,5,2,1,100000002,610000008070,
0.305532,µm,Spine,4,1,1,100000002,610000008071,
0.406361,µm,Spine,4,1,1,100000002,610000008072,
0.25447,µm,Spine,4,1,1,100000002,610000008073,
0.325,µm,Spine,6,2,1,100000002,610000008074,
0.200586,µm,Spine,1,1,1,100000002,610000008075,
0.323565,µm,Spine,1,1,1,100000002,610000008076,
0.259715,µm,Spine,1,2,1,100000002,610000008077,
0.271664,µm,Spine,12,6,1,100000002,610000008079,
0.289623,µm,Spine,11,4,1,100000002,610000008080,
0.216968,µm,Spine,10,5,1,100000002,610000008081,
0.290723,µm,Spine,10,5,1,100000002,610000008082,
0.1625,µm,Spine,10,5,1,100000002,610000008083,
0.231224,µm,Spine,10,5,1,100000002,610000008084,
0.274219,µm,Spine,10,4,1,100000002,610000008085,
0.366755,µm,Spine,7,4,1,100000002,610000008086,
0.164541,µm,Spine,5,3,1,100000002,610000008087,
0.258343,µm,Spine,5,2,1,100000002,610000008088,
0.203125,µm,Spine,4,2,1,100000002,610000008089,
0.2149,µm,Spine,1,2,1,100000002,610000008090,
0.243614,µm,Spine,3,1,1,100000002,610000008091,
0.167641,µm,Spine,3,1,1,100000002,610000008092,
0.183016,µm,Spine,3,1,1,100000002,610000008093,
0.1625,µm,Spine,2,3,1,100000002,610000008094,
0.264401,µm,Spine,7,2,1,100000003,610000008096,
0.299756,µm,Spine,19,4,1,100000003,610000008097,
0.252869,µm,Spine,18,4,1,100000003,610000008098,
0.225257,µm,Spine,16,3,1,100000003,610000008099,
0.261999,µm,Spine,16,3,1,100000003,610000008100,
0.197877,µm,Spine,15,2,1,100000003,610000008101,
0.295746,µm,Spine,14,3,1,100000003,610000008102,
0.3034,µm,Spine,13,2,1,100000003,610000008103,
0.18186,µm,Spine,12,2,1,100000003,610000008104,
0.214189,µm,Spine,12,3,1,100000003,610000008105,
0.341775,µm,Spine,12,3,1,100000003,610000008106,
0.172481,µm,Spine,12,3,1,100000003,610000008107,
0.338513,µm,Spine,11,2,1,100000003,610000008108,
0.313099,µm,Spine,12,1,1,100000003,610000008109,
0.309945,µm,Spine,12,1,1,100000003,610000008110,
0.341728,µm,Spine,12,2,1,100000003,610000008111,
0.341504,µm,Spine,7,1,1,100000003,610000008112,
0.299175,µm,Spine,6,1,1,100000003,610000008113,
0.293262,µm,Spine,5,2,1,100000003,610000008114,
0.333387,µm,Spine,5,2,1,100000003,610000008115,
0.23307,µm,Spine,5,2,1,100000003,610000008116,
0.220898,µm,Spine,5,2,1,100000003,610000008117,
0.284675,µm,Spine,5,1,1,100000003,610000008118,
0.289416,µm,Spine,1,1,1,100000003,610000008119,
0.321644,µm,Spine,1,1,1,100000003,610000008120,
0.312224,µm,Spine,1,1,1,100000003,610000008121,
0.355535,µm,Spine,1,1,1,100000003,610000008122,
0.23749,µm,Spine,0,1,1,100000003,610000008123,
0.269404,µm,Spine,1,1,1,100000003,610000008128,
0.326133,µm,Spine,1,2,1,100000003,610000008129,
0.335156,µm,Spine,1,1,1,100000003,610000008130,
0.325,µm,Spine,1,1,1,100000003,610000008131,
0.349174,µm,Spine,14,4,1,100000003,610000008132,
0.19979,µm,Spine,15,3,1,100000003,610000008133,
0.319624,µm,Spine,15,4,1,100000003,610000008134,
0.226809,µm,Spine,13,3,1,100000003,610000008135,
0.24375,µm,Spine,13,2,1,100000003,610000008136,
0.372729,µm,Spine,13,2,1,100000003,610000008137,
0.362588,µm,Spine,11,3,1,100000003,610000008138,
0.17459,µm,Spine,11,3,1,100000003,610000008139,
0.265488,µm,Spine,10,3,1,100000003,610000008140,
0.353475,µm,Spine,8,3,1,100000003,610000008141,
0.227567,µm,Spine,8,3,1,100000003,610000008142,
0.264718,µm,Spine,8,3,1,100000003,610000008143,
0.237315,µm,Spine,7,4,1,100000003,610000008144,
0.310892,µm,Spine,5,3,1,100000003,610000008145,
0.325,µm,Spine,5,3,1,100000003,610000008146,
0.273213,µm,Spine,5,3,1,100000003,610000008147,
0.24375,µm,Spine,3,3,1,100000003,610000008148,
0.269141,µm,Spine,3,3,1,100000003,610000008149,
0.384441,µm,Spine,4,1,1,100000003,610000008150,
0.36431,µm,Spine,4,1,1,100000003,610000008151,
0.393324,µm,Spine,3,1,1,100000003,610000008152,
