
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0224048,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003513,
0.0237562,µm^3,Spine,Spine Part Volume,3,1,1,100000037,610000003524,
0.00238726,µm^3,Spine,Spine Part Volume,,,1,100000018,610000003526,
0.00256359,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003531,
0.0471996,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003540,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003542,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003544,
0.0226264,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003547,
0.0411834,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003553,
0,µm^3,Spine,Spine Part Volume,,,1,100000067,610000003555,
0.00573232,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003563,
0.00431599,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003566,
0.00368195,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000003571,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000037,610000003573,
0.00496179,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003576,
0,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003580,
0.00352467,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003583,
0.0331689,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003590,
0.00734413,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003593,
0.00449127,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003598,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003600,
0.00405001,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003603,
0.00627108,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003608,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000037,610000003610,
0,µm^3,Spine,Spine Part Volume,,,1,100000068,610000003612,
0.017983,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003619,
0,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003621,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003625,
0.0112396,µm^3,Spine,Spine Part Volume,0,1,1,100000037,610000003628,
0.00405607,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003631,
0.00406064,µm^3,Spine,Spine Part Volume,4,3,1,100000003,610000003634,
0.00599087,µm^3,Spine,Spine Part Volume,2,2,1,100000037,610000003637,
0,µm^3,Spine,Spine Part Volume,,,1,100000019,610000003639,
0.00273013,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003645,
0.00507293,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003648,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003650,
0,µm^3,Spine,Spine Part Volume,3,1,1,100000037,610000003652,
0.0614217,µm^3,Spine,Spine Part Volume,1,2,1,100000037,610000003662,
0,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003664,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003666,
0.0130008,µm^3,Spine,Spine Part Volume,4,2,1,100000003,610000003669,
0.00594833,µm^3,Spine,Spine Part Volume,,,1,100000020,610000003671,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000037,610000003675,
0.00915787,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000003678,
0.00538088,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003683,
0.00950645,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003686,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003688,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003690,
0,µm^3,Spine,Spine Part Volume,,,1,100000022,610000003692,
0.0080784,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003698,
0.00900025,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003703,
0.0124765,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003709,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003713,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003715,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003719,
0,µm^3,Spine,Spine Part Volume,3,3,1,100000003,610000003721,
0.0220538,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003726,
0.0171212,µm^3,Spine,Spine Part Volume,3,1,1,100000037,610000003734,
0.0170678,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003739,
0.00440721,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003742,
0.0113544,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003747,
0.00742694,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003750,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003753,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000037,610000003757,
0,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003761,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003765,
0,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000003767,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003769,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003773,
0.0439429,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003779,
0.017759,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003784,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003788,
0.00918789,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003791,
0.0278976,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003798,
0,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003801,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003805,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003807,
0,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003811,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003813,
0.0615079,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003818,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003822,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003826,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000037,610000003828,
0,µm^3,Spine,Spine Part Volume,,,1,100000023,610000003830,
0,µm^3,Spine,Spine Part Volume,,,1,100000024,610000003833,
