
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
49.7533,,Spine,1,3,Image 1,4,1,100000001,610000004020,
61.1652,,Spine,1,2,Image 1,2,1,100000001,610000004021,
57.5543,,Spine,1,1,Image 1,2,1,100000001,610000004022,
59.1481,,Spine,1,5,Image 1,3,1,100000001,610000004023,
83.8583,,Spine,1,5,Image 1,2,1,100000001,610000004024,
49.2966,,Spine,1,6,Image 1,4,1,100000001,610000004025,
39.6705,,Spine,1,6,Image 1,3,1,100000001,610000004026,
56.0677,,Spine,1,6,Image 1,3,1,100000001,610000004027,
71.9576,,Spine,1,1,Image 1,1,1,100000001,610000004028,
102.331,,Spine,1,0,Image 1,1,1,100000001,610000004029,
65.6901,,Spine,1,0,Image 1,1,1,100000001,610000004030,
100.906,,Spine,1,4,Image 1,2,1,100000001,610000004031,
108.727,,Spine,1,1,Image 1,2,1,100000001,610000004032,
72.5044,,Spine,1,0,Image 1,1,1,100000001,610000004033,
49.6727,,Spine,1,7,Image 1,3,1,100000001,610000004034,
58.6833,,Spine,1,7,Image 1,3,1,100000001,610000004035,
60.4516,,Spine,1,7,Image 1,3,1,100000001,610000004036,
48.2757,,Spine,1,4,Image 1,2,1,100000001,610000004037,
41.6907,,Spine,1,4,Image 1,2,1,100000001,610000004038,
43.4281,,Spine,1,4,Image 1,3,1,100000001,610000004039,
88.2131,,Spine,1,1,Image 1,1,1,100000001,610000004040,
98.6232,,Spine,1,1,Image 1,1,1,100000001,610000004041,
85.3608,,Spine,1,1,Image 1,1,1,100000001,610000004042,
103.504,,Spine,1,4,Image 1,2,1,100000001,610000004043,
95.6276,,Spine,1,3,Image 1,2,1,100000001,610000004044,
52.1037,,Spine,1,2,Image 1,3,1,100000001,610000004045,
46.5079,,Spine,1,1,Image 1,2,1,100000001,610000004046,
67.8895,,Spine,1,3,Image 1,2,1,100000001,610000004047,
43.1583,,Spine,1,3,Image 1,2,1,100000001,610000004048,
47.1061,,Spine,1,1,Image 1,1,1,100000001,610000004049,
