
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
23,,Segment,1,0,Image 1,1,1,100000004,510000015938,
13,,Segment,1,1,Image 1,2,1,100000005,510000015959,
4,,Segment,1,7,Image 1,3,1,100000003,510000015971,
3,,Segment,1,2,Image 1,2,1,100000005,510000015976,
7,,Segment,1,5,Image 1,4,1,100000004,510000015980,
4,,Segment,1,1,Image 1,1,1,100000005,510000015982,
3,,Segment,1,3,Image 1,3,1,100000004,510000015986,
4,,Segment,1,4,Image 1,2,1,100000004,510000016010,
2,,Segment,1,3,Image 1,2,1,100000004,510000016021,
8,,Segment,1,1,Image 1,2,1,100000005,510000016034,
3,,Segment,1,6,Image 1,3,1,100000003,510000016053,
3,,Segment,1,5,Image 1,2,1,100000003,510000016062,
5,,Segment,1,4,Image 1,2,1,100000003,510000016073,
5,,Segment,1,5,Image 1,3,1,100000003,510000016121,
3,,Segment,1,5,Image 1,3,1,100000003,510000016130,
5,,Segment,1,2,Image 1,1,1,100000005,510000016143,
4,,Segment,1,1,Image 1,1,1,100000005,510000016151,
3,,Segment,1,0,Image 1,1,1,100000005,510000016158,
114,,Segment,1,4,Image 1,4,1,100000004,510000016178,
2,,Segment,1,4,Image 1,3,1,100000004,510000016198,
3,,Segment,1,6,Image 1,2,1,100000003,510000016204,
2,,Segment,1,5,Image 1,2,1,100000003,510000016213,
3,,Segment,1,6,Image 1,2,1,100000003,510000016227,
1,,Segment,1,1,Image 1,1,1,100000005,510000016229,
1,,Segment,1,0,Image 1,1,1,100000005,510000016231,
4,,Segment,1,4,Image 1,3,1,100000003,510000016241,
64,,Segment,1,3,Image 1,2,1,100000003,510000016278,
6,,Segment,1,2,Image 1,2,1,100000003,510000016331,
1,,Segment,1,6,Image 1,1,1,100000003,510000016333,
1,,Segment,1,6,Image 1,1,1,100000003,510000016335,
2,,Segment,1,2,Image 1,3,1,100000004,510000016339,
4,,Segment,1,5,Image 1,2,1,100000003,510000016348,
4,,Segment,1,1,Image 1,2,1,100000005,510000016369,
4,,Segment,1,0,Image 1,1,1,100000005,510000016382,
1,,Segment,1,1,Image 1,2,1,100000005,510000016384,
2,,Segment,1,4,Image 1,2,1,100000003,510000016386,
1,,Segment,1,8,Image 1,1,1,100000003,510000016388,
3,,Segment,1,2,Image 1,3,1,100000005,510000016390,
4,,Segment,1,1,Image 1,2,1,100000005,510000016402,
3,,Segment,1,4,Image 1,2,1,100000003,510000016432,
4,,Segment,1,2,Image 1,2,1,100000005,510000016443,
4,,Segment,1,1,Image 1,1,1,100000005,510000016446,
2,,Segment,1,2,Image 1,3,1,100000003,510000016452,
