
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
39.0625,,Segment,3,7,Image 1,3,1,100000003,510000015220,
54.125,,Segment,3,9,Image 1,5,1,100000003,510000015223,
29.625,,Segment,3,6,Image 1,4,1,100000003,510000015235,
51.625,,Segment,3,5,Image 1,3,1,100000003,510000015256,
45.5625,,Segment,3,7,Image 1,6,1,100000003,510000015262,
25.0625,,Segment,3,2,Image 1,1,1,100000005,510000015278,
34.9375,,Segment,3,1,Image 1,1,1,100000005,510000015292,
46.125,,Segment,3,0,Image 1,1,1,100000005,510000015313,
33.0625,,Segment,3,5,Image 1,3,1,100000003,510000015316,
41.125,,Segment,3,10,Image 1,4,1,100000003,510000015335,
41.125,,Segment,3,13,Image 1,5,1,100000003,510000015345,
30.125,,Segment,3,8,Image 1,3,1,100000003,510000015378,
44.0625,,Segment,3,3,Image 1,2,1,100000005,510000015398,
58.125,,Segment,3,2,Image 1,2,1,100000005,510000015403,
35.125,,Segment,3,1,Image 1,1,1,100000005,510000015424,
38.125,,Segment,3,0,Image 1,1,1,100000005,510000015430,
49.125,,Segment,3,3,Image 1,2,1,100000005,510000015460,
50.125,,Segment,3,2,Image 1,1,1,100000005,510000015471,
35.0625,,Segment,3,6,Image 1,3,1,100000003,510000015476,
46.0625,,Segment,3,11,Image 1,3,1,100000003,510000015490,
63.125,,Segment,3,10,Image 1,2,1,100000003,510000015521,
81.125,,Segment,3,15,Image 1,5,1,100000003,510000015524,
30.625,,Segment,3,12,Image 1,3,1,100000003,510000015528,
66.125,,Segment,3,3,Image 1,1,1,100000005,510000015540,
38.0625,,Segment,3,11,Image 1,2,1,100000003,510000015548,
43.125,,Segment,3,4,Image 1,3,1,100000005,510000015555,
62.0625,,Segment,3,3,Image 1,3,1,100000005,510000015557,
26.0625,,Segment,3,6,Image 1,2,1,100000003,510000015575,
48.125,,Segment,3,5,Image 1,2,1,100000003,510000015599,
60.125,,Segment,3,4,Image 1,2,1,100000003,510000015611,
28.0625,,Segment,3,2,Image 1,2,1,100000005,510000015614,
24.0625,,Segment,3,8,Image 1,3,1,100000003,510000015623,
34.0625,,Segment,3,7,Image 1,2,1,100000003,510000015639,
37.0625,,Segment,3,11,Image 1,4,1,100000003,510000015642,
48.625,,Segment,3,4,Image 1,4,1,100000005,510000015644,
26.0625,,Segment,3,6,Image 1,3,1,100000003,510000015651,
45.125,,Segment,3,3,Image 1,2,1,100000004,510000015665,
48.125,,Segment,3,2,Image 1,2,1,100000004,510000015700,
63.125,,Segment,3,1,Image 1,2,1,100000004,510000015714,
97.125,,Segment,3,0,Image 1,1,1,100000004,510000015737,
30.0625,,Segment,3,0,Image 1,1,1,100000005,510000015761,
21.0625,,Segment,3,3,Image 1,3,1,100000003,510000015771,
58.0625,,Segment,3,2,Image 1,1,1,100000005,510000015778,
43.125,,Segment,3,1,Image 1,1,1,100000005,510000015817,
43.0625,,Segment,3,0,Image 1,1,1,100000005,510000015835,
16.0625,,Segment,3,9,Image 1,2,1,100000003,510000015837,
22.5625,,Segment,3,8,Image 1,2,1,100000003,510000015840,
31.0625,,Segment,3,9,Image 1,3,1,100000003,510000015844,
23.0625,,Segment,3,5,Image 1,3,1,100000004,510000015848,
37.0625,,Segment,3,4,Image 1,3,1,100000004,510000015862,
52.0625,,Segment,3,3,Image 1,3,1,100000004,510000015891,
48.0625,,Segment,3,2,Image 1,2,1,100000004,510000015906,
45.125,,Segment,3,1,Image 1,2,1,100000004,510000015911,
67.125,,Segment,3,0,Image 1,1,1,100000004,510000015938,
34.9375,,Segment,3,1,Image 1,2,1,100000005,510000015959,
32.0625,,Segment,3,7,Image 1,3,1,100000003,510000015971,
78.0625,,Segment,3,2,Image 1,2,1,100000005,510000015976,
40.0625,,Segment,3,5,Image 1,4,1,100000004,510000015980,
29.625,,Segment,3,1,Image 1,1,1,100000005,510000015982,
