
Spine Center Intensity Max Ch=1 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
53,,Spine,1,1,Image 1,1,1,100000000,610000007321,
5,,Spine,1,3,Image 1,2,1,100000000,610000007322,
2,,Spine,1,3,Image 1,2,1,100000000,610000007323,
2,,Spine,1,3,Image 1,2,1,100000000,610000007324,
2,,Spine,1,2,Image 1,2,1,100000000,610000007325,
2,,Spine,1,2,Image 1,2,1,100000000,610000007326,
2,,Spine,1,0,Image 1,1,1,100000000,610000007327,
3,,Spine,1,0,Image 1,1,1,100000000,610000007332,
1,,Spine,1,0,Image 1,1,1,100000000,610000007334,
0,,Spine,1,0,Image 1,1,1,100000000,610000007335,
1,,Spine,1,0,Image 1,1,1,100000000,610000007336,
2,,Spine,1,3,Image 1,4,1,100000000,610000007338,
2,,Spine,1,1,Image 1,2,1,100000000,610000007339,
41,,Spine,1,9,Image 1,5,1,100000001,610000007341,
81,,Spine,1,8,Image 1,3,1,100000001,610000007342,
5,,Spine,1,8,Image 1,3,1,100000001,610000007343,
10,,Spine,1,7,Image 1,3,1,100000001,610000007344,
6,,Spine,1,8,Image 1,3,1,100000001,610000007345,
10,,Spine,1,8,Image 1,3,1,100000001,610000007346,
2,,Spine,1,6,Image 1,2,1,100000001,610000007347,
6,,Spine,1,5,Image 1,2,1,100000001,610000007348,
2,,Spine,1,3,Image 1,1,1,100000001,610000007349,
6,,Spine,1,3,Image 1,3,1,100000001,610000007350,
3,,Spine,1,3,Image 1,3,1,100000001,610000007351,
12,,Spine,1,3,Image 1,4,1,100000001,610000007352,
55,,Spine,1,2,Image 1,3,1,100000001,610000007353,
3,,Spine,1,2,Image 1,2,1,100000001,610000007354,
0,,Spine,1,0,Image 1,1,1,100000001,610000007366,
5,,Spine,1,0,Image 1,1,1,100000001,610000007367,
2,,Spine,1,3,Image 1,3,1,100000002,610000007368,
1,,Spine,1,2,Image 1,2,1,100000002,610000007369,
2,,Spine,1,2,Image 1,2,1,100000002,610000007370,
1,,Spine,1,1,Image 1,2,1,100000002,610000007371,
2,,Spine,1,10,Image 1,5,1,100000002,610000007372,
1,,Spine,1,9,Image 1,4,1,100000002,610000007373,
2,,Spine,1,9,Image 1,4,1,100000002,610000007374,
0,,Spine,1,8,Image 1,3,1,100000002,610000007375,
1,,Spine,1,9,Image 1,3,1,100000002,610000007376,
2,,Spine,1,9,Image 1,2,1,100000002,610000007377,
2,,Spine,1,6,Image 1,1,1,100000002,610000007378,
