
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1464.64,µm,Segment,Segment Position,4,4,1,100000000,510000001910,
1464.35,µm,Segment,Segment Position,6,4,1,100000000,510000001912,
1464.68,µm,Segment,Segment Position,11,2,1,100000000,510000001921,
1464.41,µm,Segment,Segment Position,10,2,1,100000000,510000001945,
1464.47,µm,Segment,Segment Position,9,2,1,100000000,510000001950,
1464.41,µm,Segment,Segment Position,8,2,1,100000000,510000001966,
1465.45,µm,Segment,Segment Position,9,3,1,100000000,510000001990,
1463.61,µm,Segment,Segment Position,10,5,1,100000000,510000002011,
1463.86,µm,Segment,Segment Position,10,3,1,100000000,510000002019,
1464.47,µm,Segment,Segment Position,11,3,1,100000000,510000002021,
1464.54,µm,Segment,Segment Position,6,3,1,100000001,510000002053,
1464.04,µm,Segment,Segment Position,5,2,1,100000001,510000002063,
1463.88,µm,Segment,Segment Position,4,2,1,100000001,510000002077,
1464.05,µm,Segment,Segment Position,3,2,1,100000001,510000002100,
1464.29,µm,Segment,Segment Position,1,1,1,100000001,510000002116,
1464.55,µm,Segment,Segment Position,0,1,1,100000001,510000002130,
1464,µm,Segment,Segment Position,5,3,1,100000000,510000002159,
1463.6,µm,Segment,Segment Position,5,4,1,100000001,510000002175,
1463.6,µm,Segment,Segment Position,4,3,1,100000001,510000002197,
1464.17,µm,Segment,Segment Position,5,3,1,100000001,510000002222,
1464.73,µm,Segment,Segment Position,5,5,1,100000000,510000002226,
1466.39,µm,Segment,Segment Position,4,3,1,100000000,510000002233,
1465.88,µm,Segment,Segment Position,3,3,1,100000000,510000002253,
1464.87,µm,Segment,Segment Position,2,2,1,100000000,510000002292,
1465.65,µm,Segment,Segment Position,4,4,1,100000000,510000002301,
1465.44,µm,Segment,Segment Position,3,3,1,100000000,510000002324,
1464.82,µm,Segment,Segment Position,2,3,1,100000000,510000002348,
1464.39,µm,Segment,Segment Position,1,2,1,100000000,510000002350,
1464.21,µm,Segment,Segment Position,0,1,1,100000000,510000002385,
1464.23,µm,Segment,Segment Position,2,3,1,100000000,510000002395,
1464.12,µm,Segment,Segment Position,1,2,1,100000000,510000002420,
1463.79,µm,Segment,Segment Position,9,3,1,100000000,510000002425,
1464.62,µm,Segment,Segment Position,3,3,1,100000000,510000002431,
1466.48,µm,Segment,Segment Position,4,4,1,100000000,510000002443,
1464.41,µm,Segment,Segment Position,4,2,1,100000000,510000002448,
1463.4,µm,Segment,Segment Position,5,3,1,100000001,510000002453,
1465.11,µm,Segment,Segment Position,4,3,1,100000000,510000002457,
1464.68,µm,Segment,Segment Position,2,1,1,100000000,510000002477,
1465.66,µm,Segment,Segment Position,4,3,1,100000000,510000002479,
1464.1,µm,Segment,Segment Position,8,3,1,100000000,510000002483,
1464.27,µm,Segment,Segment Position,2,2,1,100000000,510000002485,
1467.28,µm,Segment,Segment Position,2,3,1,100000001,510000002489,
1465.65,µm,Segment,Segment Position,1,2,1,100000001,510000002520,
1464.15,µm,Segment,Segment Position,6,2,1,100000001,510000002522,
1465.57,µm,Segment,Segment Position,3,4,1,100000000,510000002532,
1464.41,µm,Segment,Segment Position,2,2,1,100000000,510000002566,
1464.34,µm,Segment,Segment Position,1,1,1,100000000,510000002573,
1464.4,µm,Segment,Segment Position,5,3,1,100000000,510000002582,
1464.16,µm,Segment,Segment Position,2,3,1,100000000,510000002585,
1464.1,µm,Segment,Segment Position,1,1,1,100000000,510000002588,
1465.54,µm,Segment,Segment Position,3,2,1,100000000,510000002590,
1467.28,µm,Segment,Segment Position,1,1,1,100000002,510000002592,
1464.03,µm,Segment,Segment Position,6,3,1,100000000,510000002597,
1464.77,µm,Segment,Segment Position,2,2,1,100000000,510000002603,
1464.21,µm,Segment,Segment Position,3,1,1,100000000,510000002611,
1464.26,µm,Segment,Segment Position,2,1,1,100000000,510000002614,
1467.12,µm,Segment,Segment Position,2,2,1,100000001,510000002619,
