
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
44.5625,,Spine,2,1,Image 1,1,1,100000000,610000002747,
29.0156,,Spine,2,4,Image 1,2,1,100000002,610000002749,
104.562,,Spine,2,0,Image 1,1,1,100000000,610000002757,
39.0625,,Spine,2,4,Image 1,2,1,100000002,610000002760,
32.0156,,Spine,2,2,Image 1,2,1,100000001,610000002762,
30.0312,,Spine,2,4,Image 1,1,1,100000002,610000002765,
19.0625,,Spine,2,7,Image 1,3,1,100000002,610000002767,
18.5625,,Spine,2,1,Image 1,1,1,100000001,610000002770,
35.5312,,Spine,2,5,Image 1,1,1,100000002,610000002774,
33.0625,,Spine,2,1,Image 1,1,1,100000002,610000002777,
17.0156,,Spine,2,6,Image 1,3,1,100000002,610000002779,
24.0156,,Spine,2,2,Image 1,2,1,100000002,610000002781,
84.0625,,Spine,2,0,Image 1,1,1,100000002,610000002789,
38.0625,,Spine,2,1,Image 1,2,1,100000001,610000002795,
48.0313,,Spine,2,2,Image 1,3,1,100000001,610000002798,
24.0312,,Spine,2,0,Image 1,1,1,100000002,610000002800,
39.0312,,Spine,2,4,Image 1,3,1,100000002,610000002802,
22.0625,,Spine,2,3,Image 1,3,1,100000000,610000002805,
20.0312,,Spine,2,7,Image 1,3,1,100000002,610000002807,
24.0156,,Spine,2,3,Image 1,2,1,100000000,610000002809,
30.0078,,Spine,2,6,Image 1,2,1,100000002,610000002811,
28.5625,,Spine,2,2,Image 1,2,1,100000002,610000002814,
23.0156,,Spine,2,1,Image 1,2,1,100000001,610000002816,
35.0312,,Spine,2,2,Image 1,1,1,100000002,610000002818,
27.0312,,Spine,2,6,Image 1,2,1,100000000,610000002820,
25.5312,,Spine,2,3,Image 1,2,1,100000002,610000002823,
44.0625,,Spine,2,2,Image 1,2,1,100000002,610000002825,
23.0312,,Spine,2,2,Image 1,2,1,100000002,610000002827,
35.0312,,Spine,2,0,Image 1,1,1,100000001,610000002829,
58.0625,,Spine,2,2,Image 1,1,1,100000002,610000002832,
18.0312,,Spine,2,4,Image 1,2,1,100000001,610000002834,
26.5625,,Spine,2,5,Image 1,1,1,100000002,610000002837,
11.0625,,Spine,2,6,Image 1,4,1,100000002,610000002839,
16.0156,,Spine,2,3,Image 1,2,1,100000002,610000002841,
15.0156,,Spine,2,0,Image 1,1,1,100000000,610000002843,
25.0312,,Spine,2,4,Image 1,1,1,100000002,610000002845,
60.0156,,Spine,2,0,Image 1,1,1,100000002,610000002851,
29.0625,,Spine,2,0,Image 1,1,1,100000001,610000002853,
34.0312,,Spine,2,3,Image 1,2,1,100000002,610000002855,
48.0625,,Spine,2,1,Image 1,2,1,100000001,610000002858,
20.0078,,Spine,2,2,Image 1,3,1,100000001,610000002860,
25.0625,,Spine,2,1,Image 1,1,1,100000000,610000002862,
17.0625,,Spine,2,8,Image 1,5,1,100000002,610000002864,
27.5625,,Spine,2,3,Image 1,2,1,100000000,610000002869,
22,,Spine,2,4,Image 1,3,1,100000000,610000002872,
43.0312,,Spine,2,5,Image 1,5,1,100000000,610000002875,
25.0312,,Spine,2,6,Image 1,3,1,100000002,610000002877,
15.0312,,Spine,2,4,Image 1,3,1,100000002,610000002879,
14.0156,,Spine,2,2,Image 1,3,1,100000002,610000002882,
26.0078,,Spine,2,2,Image 1,3,1,100000001,610000002884,
75.0625,,Spine,2,3,Image 1,2,1,100000002,610000002890,
20.0312,,Spine,2,5,Image 1,2,1,100000000,610000002892,
55.5312,,Spine,2,0,Image 1,1,1,100000001,610000002896,
43.0156,,Spine,2,2,Image 1,1,1,100000002,610000002900,
40.0312,,Spine,2,4,Image 1,2,1,100000001,610000002903,
65.0625,,Spine,2,1,Image 1,2,1,100000001,610000002907,
23.0625,,Spine,2,1,Image 1,2,1,100000000,610000002909,
13.0078,,Spine,2,4,Image 1,4,1,100000000,610000002911,
79.0625,,Spine,2,4,Image 1,3,1,100000002,610000002916,
37.0312,,Spine,2,2,Image 1,2,1,100000002,610000002919,
40,,Spine,2,4,Image 1,4,1,100000000,610000002921,
71.5312,,Spine,2,8,Image 1,5,1,100000002,610000002927,
33.0312,,Spine,2,3,Image 1,2,1,100000000,610000002929,
49.0625,,Spine,2,1,Image 1,2,1,100000001,610000002932,
45.0625,,Spine,2,0,Image 1,1,1,100000002,610000002939,
74.0625,,Spine,2,2,Image 1,3,1,100000002,610000002942,
13.0625,,Spine,2,3,Image 1,3,1,100000002,610000002944,
103.062,,Spine,2,0,Image 1,1,1,100000000,610000002951,
44.0312,,Spine,2,4,Image 1,3,1,100000001,610000002954,
18.0156,,Spine,2,4,Image 1,1,1,100000002,610000002957,
40.125,,Spine,2,0,Image 1,1,1,100000002,610000002962,
46.0625,,Spine,2,5,Image 1,2,1,100000002,610000002966,
17.0312,,Spine,2,3,Image 1,2,1,100000001,610000002968,
38.5156,,Spine,2,0,Image 1,1,1,100000000,610000002972,
20.0312,,Spine,2,5,Image 1,1,1,100000002,610000002974,
38.0312,,Spine,2,3,Image 1,2,1,100000002,610000002977,
42.0156,,Spine,2,4,Image 1,3,1,100000001,610000002982,
11.0625,,Spine,2,3,Image 1,4,1,100000001,610000002984,
56.5625,,Spine,2,1,Image 1,2,1,100000001,610000002987,
70.0312,,Spine,2,0,Image 1,1,1,100000000,610000002993,
33.0312,,Spine,2,6,Image 1,3,1,100000002,610000002995,
27.0312,,Spine,2,2,Image 1,2,1,100000000,610000002997,
44.5625,,Spine,2,3,Image 1,2,1,100000000,610000003000,
34.0625,,Spine,2,1,Image 1,2,1,100000002,610000003002,
44.0625,,Spine,2,1,Image 1,2,1,100000002,610000003004,
38.0312,,Spine,2,4,Image 1,2,1,100000002,610000003006,
43.0625,,Spine,2,1,Image 1,1,1,100000002,610000003008,
33.0625,,Spine,2,1,Image 1,2,1,100000002,610000003010,
43.0312,,Spine,2,4,Image 1,2,1,100000002,610000003012,
46.0312,,Spine,2,4,Image 1,2,1,100000002,610000003014,
26.5625,,Spine,2,6,Image 1,4,1,100000002,610000003017,
22.0312,,Spine,2,4,Image 1,3,1,100000000,610000003019,
44.0312,,Spine,2,3,Image 1,1,1,100000002,610000003021,
35.5312,,Spine,2,2,Image 1,2,1,100000000,610000003024,
9.0625,,Spine,2,0,Image 1,1,1,100000002,610000003026,
45.0625,,Spine,2,2,Image 1,1,1,100000002,610000003032,
78.0312,,Spine,2,0,Image 1,1,1,100000001,610000003038,
68.0625,,Spine,2,0,Image 1,1,1,100000002,610000003043,
51.0312,,Spine,2,3,Image 1,1,1,100000002,610000003047,
34.0156,,Spine,2,2,Image 1,3,1,100000001,610000003049,
20.0625,,Spine,2,3,Image 1,2,1,100000002,610000003051,
28.0625,,Spine,2,5,Image 1,2,1,100000002,610000003053,
27.0312,,Spine,2,3,Image 1,2,1,100000000,610000003055,
12.0625,,Spine,2,3,Image 1,3,1,100000002,610000003057,
39.0312,,Spine,2,2,Image 1,1,1,100000002,610000003060,
14.0312,,Spine,2,2,Image 1,2,1,100000001,610000003062,
75.0625,,Spine,2,0,Image 1,1,1,100000002,610000003067,
37.0312,,Spine,2,7,Image 1,4,1,100000002,610000003072,
19.0625,,Spine,2,3,Image 1,1,1,100000001,610000003074,
103.031,,Spine,2,0,Image 1,1,1,100000001,610000003081,
