
Spine Part Volume
 ==================== 
Spine Part Volume Ground,Spine Part Volume Head,Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0211643,0.00218678,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000005491,
0.0319411,0.00464936,0,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000005495,
0.0203221,0.00740513,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000005804,
0.0235191,0.0112704,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000005813,
0.0258964,0.0108658,0,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000005880,
0.0168931,0.00904103,0,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000005881,
0.0181599,0.00740513,0,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000005894,
0.0522108,0.0331797,0,µm^3,Spine,Spine Part Volume,3,1,1,100000003,610000005905,
0.0176749,0.002255,0,µm^3,Spine,Spine Part Volume,3,2,1,100000003,610000005347,
0.00914845,0.00134746,0.00463147,µm^3,Spine,Spine Part Volume,3,2,1,100000003,610000005365,
0.0243393,0.00333697,0,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000005551,
0.0295802,0.00188118,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000005630,
0.00612709,0.00134746,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000005787,
0.0339527,0.0162691,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000005802,
0.0118267,0.00413443,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000005805,
0.0122513,0.00484186,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000005812,
0.0234403,0.0038639,0,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000005826,
0.00780845,0.00180789,0,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000005832,
0.010583,0.0017728,0,µm^3,Spine,Spine Part Volume,3,2,1,100000001,610000005833,
0.0294262,0.0162691,0,µm^3,Spine,Spine Part Volume,3,2,1,100000003,610000005879,
0.0430702,0.0194966,0,µm^3,Spine,Spine Part Volume,3,2,1,100000003,610000005896,
0.00808353,0.00112339,0,µm^3,Spine,Spine Part Volume,3,2,1,100000003,610000005906,
0.0107797,0.00112339,0,µm^3,Spine,Spine Part Volume,3,3,1,100000003,610000005367,
0.0150212,0.00136772,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000005379,
0.0140001,0.00152607,0.00296677,µm^3,Spine,Spine Part Volume,3,3,1,100000003,610000005516,
0.0103825,0.00191855,0,µm^3,Spine,Spine Part Volume,3,3,1,100000003,610000005519,
0.0128792,0.00112339,0.00262162,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000005528,
0.0151226,0.00570383,0,µm^3,Spine,Spine Part Volume,3,3,1,100000001,610000005830,
0.0111066,0.00553578,0,µm^3,Spine,Spine Part Volume,3,3,1,100000003,610000005876,
0.00817991,0.00255585,0,µm^3,Spine,Spine Part Volume,3,3,1,100000003,610000005877,
0.0114127,0.0046211,0,µm^3,Spine,Spine Part Volume,3,3,1,100000003,610000005878,
0.0122816,0.00412679,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000005728,
0.00932223,0.00193238,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000005783,
