
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.996331,,Segment,14,4,1,100000003,510000003057,
0.974143,,Segment,15,6,1,100000003,510000003063,
0.798201,,Segment,3,2,1,100000005,510000003078,
0.929601,,Segment,2,1,1,100000005,510000003132,
0.935591,,Segment,1,1,1,100000005,510000003179,
0.967502,,Segment,0,1,1,100000005,510000003210,
0.946481,,Segment,14,5,1,100000001,510000003244,
0.983956,,Segment,13,4,1,100000001,510000003249,
0.982627,,Segment,12,4,1,100000001,510000003252,
0.984954,,Segment,11,4,1,100000001,510000003255,
0.953119,,Segment,10,4,1,100000001,510000003279,
0.967639,,Segment,9,3,1,100000001,510000003291,
0.950854,,Segment,8,2,1,100000001,510000003317,
0.857312,,Segment,7,2,1,100000001,510000003365,
0.918098,,Segment,5,3,1,100000001,510000003382,
0.86333,,Segment,4,2,1,100000001,510000003392,
0.920053,,Segment,3,2,1,100000001,510000003425,
0.957302,,Segment,1,2,1,100000001,510000003447,
0.867127,,Segment,13,5,1,100000001,510000003476,
0.994426,,Segment,12,5,1,100000001,510000003481,
0.970771,,Segment,3,1,1,100000005,510000003487,
0.989957,,Segment,14,4,1,100000003,510000003494,
0.935406,,Segment,7,4,1,100000001,510000003521,
0.991176,,Segment,6,4,1,100000001,510000003529,
0.811453,,Segment,5,3,1,100000001,510000003573,
0.984799,,Segment,4,3,1,100000001,510000003582,
0.939682,,Segment,3,2,1,100000001,510000003591,
0.923486,,Segment,2,2,1,100000001,510000003620,
0.992005,,Segment,1,1,1,100000001,510000003622,
0.984605,,Segment,0,1,1,100000001,510000003628,
0.994267,,Segment,14,4,1,100000001,510000003631,
0.998152,,Segment,9,4,1,100000001,510000003639,
0.993751,,Segment,8,3,1,100000001,510000003646,
0.974552,,Segment,7,3,1,100000001,510000003656,
0.898848,,Segment,6,3,1,100000001,510000003677,
0.87219,,Segment,5,3,1,100000001,510000003717,
0.989951,,Segment,6,3,1,100000001,510000003720,
0.939721,,Segment,5,2,1,100000001,510000003723,
0.997602,,Segment,14,5,1,100000003,510000003730,
0.982751,,Segment,7,5,1,100000001,510000003733,
0.996224,,Segment,13,5,1,100000003,510000003737,
0.996421,,Segment,13,5,1,100000001,510000003739,
0.965931,,Segment,2,2,1,100000005,510000003749,
0.984836,,Segment,9,3,1,100000001,510000003751,
0.895043,,Segment,11,4,1,100000003,510000003772,
0.996753,,Segment,6,2,1,100000001,510000003774,
0.997215,,Segment,11,5,1,100000001,510000003776,
0.966884,,Segment,6,3,1,100000001,510000003780,
0.993624,,Segment,8,4,1,100000001,510000003783,
0.953843,,Segment,10,3,1,100000001,510000003791,
0.931026,,Segment,7,2,1,100000001,510000003820,
0.95055,,Segment,6,2,1,100000001,510000003832,
0.980848,,Segment,5,2,1,100000001,510000003837,
0.949851,,Segment,4,2,1,100000001,510000003843,
0.904588,,Segment,3,2,1,100000001,510000003896,
0.98506,,Segment,2,1,1,100000001,510000003898,
0.82165,,Segment,8,5,1,100000001,510000003916,
0.957145,,Segment,6,3,1,100000001,510000003925,
0.979247,,Segment,9,3,1,100000003,510000003932,
0.990984,,Segment,10,4,1,100000003,510000003940,
0.990648,,Segment,14,2,1,100000001,510000003945,
0.976161,,Segment,13,1,1,100000001,510000003953,
0.991267,,Segment,7,4,1,100000001,510000003956,
0.927838,,Segment,14,1,1,100000001,510000003959,
0.96361,,Segment,6,4,1,100000001,510000003966,
0.941258,,Segment,12,2,1,100000001,510000003988,
0.996536,,Segment,2,3,1,100000005,510000003990,
0.965176,,Segment,7,3,1,100000001,510000004009,
0.9951,,Segment,4,3,1,100000001,510000004011,
0.97299,,Segment,7,3,1,100000001,510000004019,
