
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Spine,2,2,Image 1,1,1,100000002,610000007805,
1,,Spine,2,2,Image 1,1,1,100000002,610000007806,
7,,Spine,2,2,Image 1,2,1,100000002,610000007807,
2,,Spine,2,11,Image 1,3,1,100000002,610000007808,
10,,Spine,2,9,Image 1,2,1,100000002,610000007809,
4,,Spine,2,9,Image 1,2,1,100000002,610000007810,
5,,Spine,2,5,Image 1,2,1,100000002,610000007811,
8,,Spine,2,4,Image 1,1,1,100000002,610000007812,
16,,Spine,2,3,Image 1,2,1,100000002,610000007813,
3,,Spine,2,2,Image 1,1,1,100000002,610000007814,
15,,Spine,2,2,Image 1,1,1,100000002,610000007815,
7,,Spine,2,0,Image 1,1,1,100000002,610000007816,
8,,Spine,2,0,Image 1,1,1,100000002,610000007817,
22,,Spine,2,0,Image 1,1,1,100000002,610000007818,
35,,Spine,2,0,Image 1,1,1,100000002,610000007819,
16,,Spine,2,0,Image 1,1,1,100000002,610000007820,
11,,Spine,2,5,Image 1,2,1,100000002,610000007823,
5,,Spine,2,1,Image 1,1,1,100000002,610000007824,
7,,Spine,2,1,Image 1,2,1,100000002,610000007825,
14,,Spine,2,1,Image 1,2,1,100000002,610000007826,
4,,Spine,2,16,Image 1,5,1,100000003,610000007833,
1,,Spine,2,14,Image 1,4,1,100000003,610000007834,
6,,Spine,2,10,Image 1,5,1,100000003,610000007835,
8,,Spine,2,6,Image 1,3,1,100000003,610000007836,
11,,Spine,2,6,Image 1,3,1,100000003,610000007837,
4,,Spine,2,2,Image 1,2,1,100000004,610000007839,
6,,Spine,2,2,Image 1,2,1,100000004,610000007840,
2,,Spine,2,2,Image 1,2,1,100000004,610000007841,
10,,Spine,2,2,Image 1,2,1,100000004,610000007842,
21,,Spine,2,2,Image 1,2,1,100000004,610000007843,
7,,Spine,2,2,Image 1,2,1,100000004,610000007844,
5,,Spine,2,0,Image 1,1,1,100000004,610000007845,
2,,Spine,2,5,Image 1,3,1,100000004,610000007848,
5,,Spine,2,2,Image 1,3,1,100000004,610000007849,
12,,Spine,2,3,Image 1,3,1,100000004,610000007850,
2,,Spine,2,2,Image 1,2,1,100000004,610000007851,
12,,Spine,2,2,Image 1,2,1,100000004,610000007852,
14,,Spine,2,2,Image 1,2,1,100000004,610000007853,
4,,Spine,2,1,Image 1,2,1,100000004,610000007854,
8,,Spine,2,0,Image 1,1,1,100000004,610000007855,
10,,Spine,2,0,Image 1,1,1,100000004,610000007856,
18,,Spine,2,0,Image 1,1,1,100000004,610000007857,
20,,Spine,2,0,Image 1,1,1,100000004,610000007859,
14,,Spine,2,0,Image 1,1,1,100000004,610000007860,
2,,Spine,2,0,Image 1,1,1,100000004,610000007861,
8,,Spine,2,3,Image 1,1,1,100000004,610000007862,
13,,Spine,2,2,Image 1,1,1,100000004,610000007864,
3,,Spine,2,1,Image 1,1,1,100000004,610000007865,
10,,Spine,2,1,Image 1,2,1,100000004,610000007866,
10,,Spine,2,1,Image 1,1,1,100000004,610000007867,
13,,Spine,2,0,Image 1,1,1,100000004,610000007868,
