
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15,,Segment,4,7,Image 1,4,1,100000001,510000002787,
1,,Segment,4,8,Image 1,5,1,100000001,510000002790,
1,,Segment,4,9,Image 1,4,1,100000001,510000002793,
4,,Segment,4,8,Image 1,4,1,100000001,510000002800,
6,,Segment,4,6,Image 1,4,1,100000001,510000002807,
0,,Segment,4,15,Image 1,3,1,100000003,510000002810,
12,,Segment,4,1,Image 1,2,1,100000005,510000002830,
108,,Segment,4,0,Image 1,1,1,100000005,510000002944,
159,,Segment,4,15,Image 1,5,1,100000003,510000003004,
8,,Segment,4,14,Image 1,5,1,100000003,510000003015,
4,,Segment,4,13,Image 1,4,1,100000003,510000003020,
68,,Segment,4,12,Image 1,4,1,100000003,510000003039,
8,,Segment,4,1,Image 1,1,1,100000005,510000003052,
2,,Segment,4,14,Image 1,4,1,100000003,510000003057,
3,,Segment,4,15,Image 1,6,1,100000003,510000003063,
12,,Segment,4,3,Image 1,2,1,100000005,510000003078,
41,,Segment,4,2,Image 1,1,1,100000005,510000003132,
92,,Segment,4,1,Image 1,1,1,100000005,510000003179,
118,,Segment,4,0,Image 1,1,1,100000005,510000003210,
59,,Segment,4,14,Image 1,5,1,100000001,510000003244,
41,,Segment,4,13,Image 1,4,1,100000001,510000003249,
7,,Segment,4,12,Image 1,4,1,100000001,510000003252,
5,,Segment,4,11,Image 1,4,1,100000001,510000003255,
48,,Segment,4,10,Image 1,4,1,100000001,510000003279,
57,,Segment,4,9,Image 1,3,1,100000001,510000003291,
32,,Segment,4,8,Image 1,2,1,100000001,510000003317,
103,,Segment,4,7,Image 1,2,1,100000001,510000003365,
23,,Segment,4,5,Image 1,3,1,100000001,510000003382,
26,,Segment,4,4,Image 1,2,1,100000001,510000003392,
68,,Segment,4,3,Image 1,2,1,100000001,510000003425,
32,,Segment,4,1,Image 1,2,1,100000001,510000003447,
54,,Segment,4,13,Image 1,5,1,100000001,510000003476,
4,,Segment,4,12,Image 1,5,1,100000001,510000003481,
