
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Segment,3,1,1,100000004,510000005041,
2,,Segment,2,1,1,100000004,510000005055,
1,,Segment,1,1,1,100000004,510000005058,
0,,Segment,0,1,1,100000004,510000005063,
2,,Segment,2,3,1,100000001,510000005066,
2,,Segment,2,2,1,100000002,510000005078,
6,,Segment,6,1,1,100000002,510000005083,
4,,Segment,4,2,1,100000004,510000005096,
3,,Segment,3,2,1,100000004,510000005098,
2,,Segment,2,2,1,100000004,510000005110,
1,,Segment,1,1,1,100000004,510000005119,
0,,Segment,0,1,1,100000004,510000005138,
7,,Segment,7,3,1,100000002,510000005141,
4,,Segment,4,3,1,100000002,510000005148,
3,,Segment,3,2,1,100000002,510000005167,
4,,Segment,4,2,1,100000002,510000005174,
2,,Segment,2,3,1,100000003,510000005179,
5,,Segment,5,3,1,100000006,510000005193,
4,,Segment,4,2,1,100000006,510000005200,
3,,Segment,3,2,1,100000006,510000005204,
2,,Segment,2,2,1,100000006,510000005206,
1,,Segment,1,2,1,100000002,510000005211,
0,,Segment,0,1,1,100000002,510000005246,
3,,Segment,3,3,1,100000001,510000005251,
3,,Segment,3,3,1,100000004,510000005257,
2,,Segment,2,2,1,100000004,510000005265,
0,,Segment,0,1,1,100000006,510000005277,
0,,Segment,0,1,1,100000000,510000005300,
4,,Segment,4,2,1,100000002,510000005308,
0,,Segment,0,1,1,100000003,510000005321,
1,,Segment,1,2,1,100000001,510000005357,
8,,Segment,8,4,1,100000006,510000005361,
7,,Segment,7,3,1,100000006,510000005364,
3,,Segment,3,2,1,100000004,510000005369,
0,,Segment,0,1,1,100000005,510000005373,
1,,Segment,1,1,1,100000002,510000005385,
2,,Segment,2,2,1,100000002,510000005405,
1,,Segment,1,2,1,100000002,510000005419,
6,,Segment,6,4,1,100000006,510000005427,
2,,Segment,2,3,1,100000002,510000005463,
1,,Segment,1,1,1,100000003,510000005472,
3,,Segment,3,4,1,100000004,510000005484,
3,,Segment,3,3,1,100000001,510000005489,
0,,Segment,0,1,1,100000003,510000005529,
2,,Segment,2,2,1,100000001,510000005540,
0,,Segment,0,1,1,100000004,510000005583,
0,,Segment,0,1,1,100000003,510000005600,
1,,Segment,1,2,1,100000002,510000005620,
3,,Segment,3,3,1,100000004,510000005622,
5,,Segment,5,2,1,100000006,510000005625,
3,,Segment,3,1,1,100000001,510000005628,
1,,Segment,1,1,1,100000001,510000005635,
0,,Segment,0,1,1,100000001,510000005655,
3,,Segment,3,2,1,100000001,510000005658,
1,,Segment,1,2,1,100000001,510000005663,
0,,Segment,0,1,1,100000005,510000005667,
0,,Segment,0,1,1,100000005,510000005671,
4,,Segment,4,3,1,100000006,510000005679,
1,,Segment,1,2,1,100000002,510000005686,
0,,Segment,0,1,1,100000002,510000005704,
2,,Segment,2,2,1,100000002,510000005729,
1,,Segment,1,2,1,100000001,510000005743,
2,,Segment,2,2,1,100000001,510000005755,
4,,Segment,4,2,1,100000001,510000005770,
3,,Segment,3,1,1,100000001,510000005775,
0,,Segment,0,1,1,100000004,510000005783,
0,,Segment,0,1,1,100000001,510000005822,
0,,Segment,0,1,1,100000006,510000005837,
4,,Segment,4,3,1,100000006,510000005843,
0,,Segment,0,1,1,100000000,510000005857,
3,,Segment,3,2,1,100000002,510000005865,
2,,Segment,2,1,1,100000002,510000005872,
2,,Segment,2,2,1,100000004,510000005875,
