
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
521,,Segment,5,5,Image 1,2,1,100000000,510000004092,
102,,Segment,5,2,Image 1,2,1,100000003,510000004095,
44,,Segment,5,5,Image 1,3,1,100000000,510000004097,
225,,Segment,5,1,Image 1,2,1,100000001,510000004111,
1344,,Segment,5,0,Image 1,1,1,100000001,510000004156,
144,,Segment,5,6,Image 1,3,1,100000001,510000004180,
102,,Segment,5,4,Image 1,5,1,100000001,510000004191,
196,,Segment,5,3,Image 1,4,1,100000001,510000004204,
67,,Segment,5,2,Image 1,3,1,100000001,510000004206,
120,,Segment,5,1,Image 1,2,1,100000001,510000004210,
278,,Segment,5,0,Image 1,1,1,100000001,510000004224,
382,,Segment,5,4,Image 1,1,1,100000002,510000004236,
268,,Segment,5,2,Image 1,1,1,100000002,510000004245,
84,,Segment,5,3,Image 1,3,1,100000003,510000004247,
88,,Segment,5,2,Image 1,3,1,100000001,510000004249,
156,,Segment,5,5,Image 1,2,1,100000002,510000004251,
169,,Segment,5,1,Image 1,1,1,100000001,510000004255,
259,,Segment,5,5,Image 1,1,1,100000001,510000004257,
404,,Segment,5,3,Image 1,2,1,100000000,510000004276,
644,,Segment,5,4,Image 1,2,1,100000000,510000004298,
316,,Segment,5,3,Image 1,2,1,100000002,510000004308,
231,,Segment,5,4,Image 1,3,1,100000002,510000004311,
543,,Segment,5,2,Image 1,1,1,100000000,510000004341,
156,,Segment,5,1,Image 1,1,1,100000000,510000004345,
287,,Segment,5,2,Image 1,2,1,100000001,510000004348,
844,,Segment,5,1,Image 1,2,1,100000001,510000004355,
286,,Segment,5,2,Image 1,3,1,100000001,510000004360,
318,,Segment,5,1,Image 1,2,1,100000001,510000004376,
294,,Segment,5,3,Image 1,3,1,100000002,510000004396,
157,,Segment,5,2,Image 1,2,1,100000002,510000004405,
184,,Segment,5,1,Image 1,1,1,100000002,510000004413,
106,,Segment,5,0,Image 1,1,1,100000002,510000004420,
365,,Segment,5,1,Image 1,2,1,100000002,510000004441,
346,,Segment,5,3,Image 1,2,1,100000000,510000004461,
228,,Segment,5,3,Image 1,2,1,100000002,510000004470,
264,,Segment,5,4,Image 1,3,1,100000000,510000004473,
175,,Segment,5,3,Image 1,3,1,100000000,510000004475,
202,,Segment,5,2,Image 1,3,1,100000000,510000004479,
118,,Segment,5,4,Image 1,2,1,100000002,510000004481,
358,,Segment,5,3,Image 1,2,1,100000000,510000004494,
90,,Segment,5,4,Image 1,4,1,100000001,510000004498,
140,,Segment,5,3,Image 1,3,1,100000002,510000004506,
163,,Segment,5,2,Image 1,2,1,100000001,510000004515,
165,,Segment,5,3,Image 1,2,1,100000001,510000004540,
445,,Segment,5,2,Image 1,2,1,100000001,510000004548,
173,,Segment,5,5,Image 1,2,1,100000001,510000004553,
146,,Segment,5,1,Image 1,2,1,100000003,510000004558,
221,,Segment,5,0,Image 1,1,1,100000003,510000004568,
74,,Segment,5,3,Image 1,4,1,100000000,510000004573,
178,,Segment,5,1,Image 1,1,1,100000003,510000004575,
144,,Segment,5,5,Image 1,1,1,100000001,510000004580,
389,,Segment,5,1,Image 1,2,1,100000000,510000004595,
108,,Segment,5,1,Image 1,2,1,100000001,510000004600,
237,,Segment,5,1,Image 1,1,1,100000001,510000004602,
217,,Segment,5,1,Image 1,2,1,100000000,510000004608,
221,,Segment,5,2,Image 1,2,1,100000000,510000004616,
154,,Segment,5,2,Image 1,3,1,100000001,510000004625,
171,,Segment,5,1,Image 1,2,1,100000001,510000004630,
105,,Segment,5,0,Image 1,1,1,100000001,510000004634,
87,,Segment,5,1,Image 1,2,1,100000002,510000004640,
540,,Segment,5,0,Image 1,1,1,100000004,510000004667,
433,,Segment,5,2,Image 1,1,1,100000002,510000004683,
348,,Segment,5,0,Image 1,1,1,100000003,510000004718,
72,,Segment,5,0,Image 1,1,1,100000004,510000004725,
126,,Segment,5,0,Image 1,1,1,100000001,510000004757,
131,,Segment,5,0,Image 1,1,1,100000001,510000004763,
98,,Segment,5,0,Image 1,1,1,100000004,510000004777,
250,,Segment,5,1,Image 1,1,1,100000001,510000004783,
152,,Segment,5,2,Image 1,2,1,100000001,510000004787,
356,,Segment,5,0,Image 1,1,1,100000000,510000004801,
165,,Segment,5,0,Image 1,1,1,100000000,510000004828,
73,,Segment,5,1,Image 1,2,1,100000002,510000004836,
486,,Segment,5,1,Image 1,1,1,100000000,510000004841,
118,,Segment,5,1,Image 1,1,1,100000002,510000004845,
63,,Segment,5,0,Image 1,1,1,100000000,510000004868,
100,,Segment,5,0,Image 1,1,1,100000000,510000004877,
63,,Segment,5,1,Image 1,2,1,100000000,510000004881,
108,,Segment,5,0,Image 1,1,1,100000003,510000004903,
72,,Segment,5,6,Image 1,3,1,100000000,510000004914,
126,,Segment,5,4,Image 1,4,1,100000000,510000004915,
107,,Segment,5,7,Image 1,2,1,100000000,510000004916,
59,,Segment,5,2,Image 1,2,1,100000000,510000004917,
119,,Segment,5,2,Image 1,1,1,100000001,510000004919,
121,,Segment,5,3,Image 1,1,1,100000001,510000004920,
76,,Segment,5,12,Image 1,5,1,100000001,510000004921,
158,,Segment,5,4,Image 1,1,1,100000001,510000004922,
138,,Segment,5,2,Image 1,2,1,100000001,510000004923,
104,,Segment,5,3,Image 1,1,1,100000001,510000004924,
65,,Segment,5,7,Image 1,4,1,100000001,510000004925,
271,,Segment,5,4,Image 1,1,1,100000001,510000004926,
274,,Segment,5,4,Image 1,2,1,100000001,510000004927,
