
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,1,3,Image 1,3,1,100000001,610000007330,
0,,Spine,1,2,Image 1,3,1,100000001,610000007331,
0,,Spine,1,2,Image 1,3,1,100000001,610000007332,
0,,Spine,1,2,Image 1,2,1,100000001,610000007333,
0,,Spine,1,3,Image 1,2,1,100000001,610000007334,
0,,Spine,1,3,Image 1,1,1,100000001,610000007335,
1,,Spine,1,3,Image 1,1,1,100000001,610000007336,
0,,Spine,1,2,Image 1,1,1,100000001,610000007337,
2,,Spine,1,1,Image 1,1,1,100000001,610000007338,
1,,Spine,1,0,Image 1,1,1,100000001,610000007339,
3,,Spine,1,2,Image 1,1,1,100000002,610000007340,
2,,Spine,1,1,Image 1,2,1,100000002,610000007341,
0,,Spine,1,0,Image 1,1,1,100000002,610000007342,
0,,Spine,1,0,Image 1,1,1,100000002,610000007344,
0,,Spine,1,0,Image 1,1,1,100000002,610000007345,
1,,Spine,1,7,Image 1,5,1,100000002,610000007353,
0,,Spine,1,7,Image 1,4,1,100000002,610000007354,
1,,Spine,1,4,Image 1,3,1,100000002,610000007355,
0,,Spine,1,5,Image 1,2,1,100000002,610000007356,
18,,Spine,1,5,Image 1,2,1,100000002,610000007359,
10,,Spine,1,5,Image 1,3,1,100000002,610000007360,
1,,Spine,1,4,Image 1,2,1,100000002,610000007361,
1,,Spine,1,3,Image 1,2,1,100000002,610000007362,
6,,Spine,1,5,Image 1,4,1,100000002,610000007363,
2,,Spine,1,4,Image 1,4,1,100000002,610000007364,
8,,Spine,1,5,Image 1,3,1,100000002,610000007365,
8,,Spine,1,3,Image 1,3,1,100000002,610000007366,
3,,Spine,1,1,Image 1,2,1,100000002,610000007367,
3,,Spine,1,1,Image 1,1,1,100000002,610000007368,
3,,Spine,1,1,Image 1,1,1,100000002,610000007369,
7,,Spine,1,1,Image 1,1,1,100000002,610000007372,
