
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
29,,Segment,4,5,Image 1,3,1,100000002,510000005413,
21,,Segment,4,2,Image 1,2,1,100000000,510000005433,
10,,Segment,4,5,Image 1,1,1,100000000,510000005442,
25,,Segment,4,1,Image 1,1,1,100000002,510000005466,
8,,Segment,4,0,Image 1,1,1,100000002,510000005475,
18,,Segment,4,4,Image 1,2,1,100000001,510000005503,
31,,Segment,4,3,Image 1,1,1,100000001,510000005533,
4,,Segment,4,2,Image 1,1,1,100000003,510000005536,
11,,Segment,4,4,Image 1,2,1,100000000,510000005546,
29,,Segment,4,3,Image 1,2,1,100000000,510000005574,
4,,Segment,4,4,Image 1,4,1,100000003,510000005577,
5,,Segment,4,3,Image 1,2,1,100000000,510000005581,
10,,Segment,4,5,Image 1,2,1,100000000,510000005592,
9,,Segment,4,5,Image 1,1,1,100000001,510000005600,
11,,Segment,4,4,Image 1,1,1,100000001,510000005610,
12,,Segment,4,2,Image 1,2,1,100000003,510000005621,
4,,Segment,4,4,Image 1,2,1,100000000,510000005624,
4,,Segment,4,4,Image 1,3,1,100000000,510000005627,
4,,Segment,4,5,Image 1,2,1,100000001,510000005630,
4,,Segment,4,3,Image 1,2,1,100000003,510000005633,
6,,Segment,4,2,Image 1,1,1,100000003,510000005638,
3,,Segment,4,3,Image 1,1,1,100000003,510000005640,
5,,Segment,4,1,Image 1,1,1,100000002,510000005644,
10,,Segment,4,5,Image 1,3,1,100000002,510000005653,
5,,Segment,4,2,Image 1,2,1,100000003,510000005658,
9,,Segment,4,3,Image 1,2,1,100000000,510000005666,
3,,Segment,4,1,Image 1,2,1,100000003,510000005668,
3,,Segment,4,2,Image 1,3,1,100000003,510000005670,
3,,Segment,4,5,Image 1,4,1,100000002,510000005672,
14,,Segment,4,2,Image 1,1,1,100000002,510000005685,
21,,Segment,4,3,Image 1,3,1,100000001,510000005705,
14,,Segment,4,2,Image 1,2,1,100000001,510000005718,
4,,Segment,4,1,Image 1,2,1,100000000,510000005721,
22,,Segment,4,1,Image 1,2,1,100000000,510000005742,
6,,Segment,4,2,Image 1,2,1,100000001,510000005747,
12,,Segment,4,2,Image 1,2,1,100000000,510000005758,
6,,Segment,4,1,Image 1,2,1,100000002,510000005763,
11,,Segment,4,1,Image 1,2,1,100000000,510000005773,
4,,Segment,4,1,Image 1,2,1,100000003,510000005776,
9,,Segment,4,3,Image 1,2,1,100000001,510000005784,
3,,Segment,4,0,Image 1,1,1,100000003,510000005798,
3,,Segment,4,2,Image 1,2,1,100000000,510000005800,
7,,Segment,4,3,Image 1,3,1,100000001,510000005815,
3,,Segment,4,0,Image 1,1,1,100000003,510000005822,
4,,Segment,4,1,Image 1,2,1,100000002,510000005825,
7,,Segment,4,2,Image 1,3,1,100000002,510000005831,
16,,Segment,4,1,Image 1,2,1,100000000,510000005848,
4,,Segment,4,3,Image 1,2,1,100000000,510000005853,
9,,Segment,4,1,Image 1,1,1,100000002,510000005875,
3,,Segment,4,0,Image 1,1,1,100000002,510000005878,
7,,Segment,4,1,Image 1,2,1,100000002,510000005884,
7,,Segment,4,0,Image 1,1,1,100000002,510000005891,
2,,Segment,4,0,Image 1,1,1,100000003,510000005899,
5,,Segment,4,1,Image 1,1,1,100000002,510000005906,
6,,Segment,4,0,Image 1,1,1,100000002,510000005914,
4,,Segment,4,0,Image 1,1,1,100000002,510000005940,
2,,Segment,4,0,Image 1,1,1,100000003,510000005946,
2,,Segment,4,5,Image 1,1,1,100000000,510000005972,
2,,Segment,4,13,Image 1,4,1,100000000,510000005973,
2,,Segment,4,23,Image 1,9,1,100000000,510000005974,
2,,Segment,4,11,Image 1,2,1,100000000,510000005976,
2,,Segment,4,24,Image 1,7,1,100000000,510000005977,
2,,Segment,4,19,Image 1,5,1,100000000,510000005978,
2,,Segment,4,10,Image 1,3,1,100000000,510000005980,
2,,Segment,4,9,Image 1,3,1,100000000,510000005981,
2,,Segment,4,11,Image 1,4,1,100000000,510000005982,
2,,Segment,4,14,Image 1,4,1,100000000,510000005983,
2,,Segment,4,9,Image 1,4,1,100000000,510000005984,
2,,Segment,4,1,Image 1,1,1,100000002,510000005985,
2,,Segment,4,2,Image 1,2,1,100000002,510000005988,
2,,Segment,4,5,Image 1,4,1,100000002,510000005989,
2,,Segment,4,5,Image 1,3,1,100000002,510000005990,
2,,Segment,4,5,Image 1,3,1,100000002,510000005991,
2,,Segment,4,4,Image 1,3,1,100000002,510000005992,
2,,Segment,4,5,Image 1,2,1,100000003,510000005993,
2,,Segment,4,13,Image 1,5,1,100000003,510000005994,
2,,Segment,4,11,Image 1,6,1,100000003,510000005995,
2,,Segment,4,8,Image 1,2,1,100000003,510000005996,
2,,Segment,4,8,Image 1,4,1,100000003,510000005997,
2,,Segment,4,7,Image 1,2,1,100000003,510000005998,
2,,Segment,4,7,Image 1,2,1,100000003,510000005999,
2,,Segment,4,9,Image 1,3,1,100000003,510000006000,
2,,Segment,4,8,Image 1,2,1,100000003,510000006001,
2,,Segment,4,5,Image 1,4,1,100000003,510000006002,
2,,Segment,4,4,Image 1,4,1,100000003,510000006003,
2,,Segment,4,3,Image 1,2,1,100000003,510000006005,
2,,Segment,4,6,Image 1,2,1,100000003,510000006009,
2,,Segment,4,4,Image 1,1,1,100000003,510000006010,
15,,Segment,4,0,Image 1,1,1,,,
