
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
480,,Segment,5,2,Image 1,2,1,100000002,510000004794,
910,,Segment,5,1,Image 1,2,1,100000002,510000004820,
134,,Segment,5,0,Image 1,1,1,100000002,510000004822,
106,,Segment,5,2,Image 1,2,1,100000003,510000004841,
436,,Segment,5,1,Image 1,1,1,100000003,510000004869,
285,,Segment,5,0,Image 1,1,1,100000003,510000004879,
91,,Segment,5,9,Image 1,3,1,100000000,510000004883,
95,,Segment,5,8,Image 1,3,1,100000000,510000004886,
182,,Segment,5,6,Image 1,2,1,100000000,510000004898,
205,,Segment,5,6,Image 1,3,1,100000003,510000004911,
50,,Segment,5,8,Image 1,2,1,100000000,510000004914,
143,,Segment,5,7,Image 1,1,1,100000000,510000004918,
108,,Segment,5,8,Image 1,3,1,100000003,510000004926,
157,,Segment,5,7,Image 1,2,1,100000003,510000004930,
202,,Segment,5,2,Image 1,2,1,100000003,510000004943,
75,,Segment,5,8,Image 1,1,1,100000000,510000004946,
145,,Segment,5,6,Image 1,4,1,100000003,510000004951,
439,,Segment,5,3,Image 1,2,1,100000000,510000004979,
107,,Segment,5,7,Image 1,4,1,100000003,510000004981,
60,,Segment,5,6,Image 1,3,1,100000000,510000004991,
147,,Segment,5,5,Image 1,2,1,100000000,510000004998,
865,,Segment,5,2,Image 1,2,1,100000003,510000005038,
306,,Segment,5,1,Image 1,1,1,100000003,510000005040,
23,,Segment,5,7,Image 1,5,1,100000002,510000005042,
196,,Segment,5,6,Image 1,4,1,100000002,510000005056,
354,,Segment,5,4,Image 1,3,1,100000002,510000005075,
276,,Segment,5,4,Image 1,3,1,100000003,510000005088,
304,,Segment,5,8,Image 1,3,1,100000000,510000005097,
178,,Segment,5,6,Image 1,3,1,100000002,510000005107,
315,,Segment,5,7,Image 1,2,1,100000000,510000005127,
331,,Segment,5,6,Image 1,2,1,100000000,510000005134,
149,,Segment,5,6,Image 1,2,1,100000000,510000005141,
75,,Segment,5,7,Image 1,4,1,100000002,510000005143,
387,,Segment,5,4,Image 1,2,1,100000000,510000005171,
73,,Segment,5,3,Image 1,3,1,100000000,510000005178,
680,,Segment,5,2,Image 1,2,1,100000000,510000005222,
143,,Segment,5,6,Image 1,3,1,100000003,510000005230,
176,,Segment,5,5,Image 1,3,1,100000003,510000005234,
139,,Segment,5,5,Image 1,4,1,100000002,510000005246,
220,,Segment,5,4,Image 1,4,1,100000002,510000005274,
397,,Segment,5,3,Image 1,3,1,100000002,510000005284,
476,,Segment,5,3,Image 1,2,1,100000001,510000005325,
258,,Segment,5,2,Image 1,1,1,100000001,510000005334,
607,,Segment,5,1,Image 1,1,1,100000001,510000005349,
72,,Segment,5,5,Image 1,4,1,100000002,510000005351,
135,,Segment,5,7,Image 1,3,1,100000000,510000005355,
134,,Segment,5,4,Image 1,3,1,100000003,510000005363,
123,,Segment,5,3,Image 1,3,1,100000003,510000005365,
163,,Segment,5,5,Image 1,3,1,100000003,510000005371,
47,,Segment,5,5,Image 1,5,1,100000002,510000005381,
320,,Segment,5,7,Image 1,1,1,100000000,510000005385,
534,,Segment,5,5,Image 1,3,1,100000002,510000005413,
342,,Segment,5,2,Image 1,2,1,100000000,510000005433,
186,,Segment,5,5,Image 1,1,1,100000000,510000005442,
424,,Segment,5,1,Image 1,1,1,100000002,510000005466,
203,,Segment,5,0,Image 1,1,1,100000002,510000005475,
256,,Segment,5,4,Image 1,2,1,100000001,510000005503,
648,,Segment,5,3,Image 1,1,1,100000001,510000005533,
67,,Segment,5,2,Image 1,1,1,100000003,510000005536,
158,,Segment,5,4,Image 1,2,1,100000000,510000005546,
368,,Segment,5,3,Image 1,2,1,100000000,510000005574,
91,,Segment,5,4,Image 1,4,1,100000003,510000005577,
116,,Segment,5,3,Image 1,2,1,100000000,510000005581,
237,,Segment,5,5,Image 1,2,1,100000000,510000005592,
272,,Segment,5,5,Image 1,1,1,100000001,510000005600,
424,,Segment,5,4,Image 1,1,1,100000001,510000005610,
220,,Segment,5,2,Image 1,2,1,100000003,510000005621,
56,,Segment,5,4,Image 1,2,1,100000000,510000005624,
67,,Segment,5,4,Image 1,3,1,100000000,510000005627,
128,,Segment,5,5,Image 1,2,1,100000001,510000005630,
107,,Segment,5,3,Image 1,2,1,100000003,510000005633,
327,,Segment,5,2,Image 1,1,1,100000003,510000005638,
148,,Segment,5,3,Image 1,1,1,100000003,510000005640,
182,,Segment,5,1,Image 1,1,1,100000002,510000005644,
132,,Segment,5,5,Image 1,3,1,100000002,510000005653,
182,,Segment,5,2,Image 1,2,1,100000003,510000005658,
393,,Segment,5,3,Image 1,2,1,100000000,510000005666,
113,,Segment,5,1,Image 1,2,1,100000003,510000005668,
194,,Segment,5,2,Image 1,3,1,100000003,510000005670,
49,,Segment,5,5,Image 1,4,1,100000002,510000005672,
313,,Segment,5,2,Image 1,1,1,100000002,510000005685,
266,,Segment,5,3,Image 1,3,1,100000001,510000005705,
719,,Segment,5,2,Image 1,2,1,100000001,510000005718,
97,,Segment,5,1,Image 1,2,1,100000000,510000005721,
279,,Segment,5,1,Image 1,2,1,100000000,510000005742,
185,,Segment,5,2,Image 1,2,1,100000001,510000005747,
144,,Segment,5,2,Image 1,2,1,100000000,510000005758,
247,,Segment,5,1,Image 1,2,1,100000002,510000005763,
133,,Segment,5,1,Image 1,2,1,100000000,510000005773,
57,,Segment,5,1,Image 1,2,1,100000003,510000005776,
478,,Segment,5,3,Image 1,2,1,100000001,510000005784,
201,,Segment,5,0,Image 1,1,1,100000003,510000005798,
142,,Segment,5,2,Image 1,2,1,100000000,510000005800,
245,,Segment,5,3,Image 1,3,1,100000001,510000005815,
84,,Segment,5,0,Image 1,1,1,100000003,510000005822,
111,,Segment,5,1,Image 1,2,1,100000002,510000005825,
209,,Segment,5,2,Image 1,3,1,100000002,510000005831,
333,,Segment,5,1,Image 1,2,1,100000000,510000005848,
109,,Segment,5,3,Image 1,2,1,100000000,510000005853,
534,,Segment,5,1,Image 1,1,1,100000002,510000005875,
30,,Segment,5,0,Image 1,1,1,100000002,510000005878,
128,,Segment,5,1,Image 1,2,1,100000002,510000005884,
265,,Segment,5,0,Image 1,1,1,100000002,510000005891,
103,,Segment,5,0,Image 1,1,1,100000003,510000005899,
186,,Segment,5,1,Image 1,1,1,100000002,510000005906,
145,,Segment,5,0,Image 1,1,1,100000002,510000005914,
204,,Segment,5,0,Image 1,1,1,100000002,510000005940,
29,,Segment,5,0,Image 1,1,1,100000003,510000005946,
105,,Segment,5,5,Image 1,1,1,100000000,510000005972,
88,,Segment,5,13,Image 1,4,1,100000000,510000005973,
47,,Segment,5,23,Image 1,9,1,100000000,510000005974,
283,,Segment,5,11,Image 1,2,1,100000000,510000005976,
52,,Segment,5,24,Image 1,7,1,100000000,510000005977,
139,,Segment,5,19,Image 1,5,1,100000000,510000005978,
125,,Segment,5,10,Image 1,3,1,100000000,510000005980,
135,,Segment,5,9,Image 1,3,1,100000000,510000005981,
47,,Segment,5,11,Image 1,4,1,100000000,510000005982,
92,,Segment,5,14,Image 1,4,1,100000000,510000005983,
43,,Segment,5,9,Image 1,4,1,100000000,510000005984,
103,,Segment,5,1,Image 1,1,1,100000002,510000005985,
38,,Segment,5,2,Image 1,2,1,100000002,510000005988,
73,,Segment,5,5,Image 1,4,1,100000002,510000005989,
121,,Segment,5,5,Image 1,3,1,100000002,510000005990,
39,,Segment,5,5,Image 1,3,1,100000002,510000005991,
57,,Segment,5,4,Image 1,3,1,100000002,510000005992,
152,,Segment,5,5,Image 1,2,1,100000003,510000005993,
54,,Segment,5,13,Image 1,5,1,100000003,510000005994,
39,,Segment,5,11,Image 1,6,1,100000003,510000005995,
55,,Segment,5,8,Image 1,2,1,100000003,510000005996,
58,,Segment,5,8,Image 1,4,1,100000003,510000005997,
74,,Segment,5,7,Image 1,2,1,100000003,510000005998,
47,,Segment,5,7,Image 1,2,1,100000003,510000005999,
56,,Segment,5,9,Image 1,3,1,100000003,510000006000,
70,,Segment,5,8,Image 1,2,1,100000003,510000006001,
43,,Segment,5,5,Image 1,4,1,100000003,510000006002,
61,,Segment,5,4,Image 1,4,1,100000003,510000006003,
55,,Segment,5,3,Image 1,2,1,100000003,510000006005,
107,,Segment,5,6,Image 1,2,1,100000003,510000006009,
69,,Segment,5,4,Image 1,1,1,100000003,510000006010,
590,,Segment,5,0,Image 1,1,1,,,
