
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-18530.5,24273,1521.29,µm,Segment,Segment Position,2,1,1,100000001,510000003762,
-18459.3,24320.6,1523.62,µm,Segment,Segment Position,2,1,1,100000003,510000004051,
-18457.5,24240.6,1504.48,µm,Segment,Segment Position,2,1,1,100000002,510000004103,
-18506.2,24289.4,1510.08,µm,Segment,Segment Position,2,1,1,100000001,510000004334,
-18456.6,24318,1522.04,µm,Segment,Segment Position,2,2,1,100000003,510000000213,
-18532,24321.5,1523.65,µm,Segment,Segment Position,2,2,1,100000000,510000000437,
-18457,24338.4,1507.9,µm,Segment,Segment Position,2,2,1,100000003,510000000550,
-18444.8,24272.2,1513.7,µm,Segment,Segment Position,2,2,1,100000002,510000000699,
-18505.7,24289.7,1509.57,µm,Segment,Segment Position,2,2,1,100000001,510000001309,
-18479.2,24330.9,1508.83,µm,Segment,Segment Position,2,2,1,100000003,510000001953,
-18451.6,24325.9,1507.33,µm,Segment,Segment Position,2,2,1,100000003,510000002061,
-18509.8,24293.3,1523.41,µm,Segment,Segment Position,2,2,1,100000001,510000002485,
-18468.7,24326.1,1505.42,µm,Segment,Segment Position,2,2,1,100000003,510000002568,
-18520.3,24263.2,1511.15,µm,Segment,Segment Position,2,2,1,100000001,510000002655,
-18510.1,24280.9,1507.34,µm,Segment,Segment Position,2,2,1,100000001,510000002813,
-18504,24274.4,1518.2,µm,Segment,Segment Position,2,2,1,100000001,510000003202,
-18525.9,24268.7,1517.32,µm,Segment,Segment Position,2,2,1,100000001,510000003376,
-18457.7,24270.5,1513.15,µm,Segment,Segment Position,2,2,1,100000002,510000003546,
-18501.6,24277.2,1513.65,µm,Segment,Segment Position,2,2,1,100000001,510000003660,
-18457,24240.6,1503.44,µm,Segment,Segment Position,2,2,1,100000002,510000004057,
-18506.4,24265.8,1521.89,µm,Segment,Segment Position,2,2,1,100000001,510000004335,
-18505.6,24264.2,1523.05,µm,Segment,Segment Position,2,3,1,100000001,510000001817,
-18450,24325.8,1508.72,µm,Segment,Segment Position,2,3,1,100000003,510000002399,
-18468.6,24326.2,1505.71,µm,Segment,Segment Position,2,3,1,100000003,510000002520,
-18520.1,24262.9,1512.21,µm,Segment,Segment Position,2,3,1,100000001,510000002574,
-18510.4,24291.9,1525.37,µm,Segment,Segment Position,2,3,1,100000001,510000003337,
-18509.8,24280.5,1505.79,µm,Segment,Segment Position,2,3,1,100000001,510000003532,
-18502.8,24275.3,1519.97,µm,Segment,Segment Position,2,3,1,100000001,510000003928,
-18477.5,24330.4,1511.66,µm,Segment,Segment Position,2,3,1,100000003,510000003932,
-18534.4,24323,1526.88,µm,Segment,Segment Position,2,3,1,100000000,510000004332,
-18457.6,24270.1,1512.1,µm,Segment,Segment Position,2,3,1,100000002,510000004337,
-18444.3,24275.6,1512.44,µm,Segment,Segment Position,3,1,1,100000002,510000001150,
-18451.9,24346.1,1509.63,µm,Segment,Segment Position,3,1,1,100000003,510000002985,
-18534.8,24275.9,1525.66,µm,Segment,Segment Position,3,1,1,100000001,510000003937,
-18459.6,24320.2,1524.6,µm,Segment,Segment Position,3,1,1,100000003,510000004339,
-18444.9,24310.9,1523.71,µm,Segment,Segment Position,3,2,1,100000003,510000000177,
-18528.9,24319.8,1518.9,µm,Segment,Segment Position,3,2,1,100000000,510000000407,
-18437.1,24269.5,1508.31,µm,Segment,Segment Position,3,2,1,100000002,510000001217,
-18503.9,24290.8,1508.32,µm,Segment,Segment Position,3,2,1,100000001,510000001303,
-18479.5,24329.8,1504,µm,Segment,Segment Position,3,2,1,100000003,510000002028,
-18444.9,24273.6,1508.59,µm,Segment,Segment Position,3,2,1,100000002,510000002737,
-18499.6,24268.2,1514.35,µm,Segment,Segment Position,3,2,1,100000001,510000003200,
-18512.9,24295.7,1524.35,µm,Segment,Segment Position,3,2,1,100000001,510000003322,
-18510.5,24281.6,1510.24,µm,Segment,Segment Position,3,2,1,100000001,510000003526,
-18537.2,24277.1,1524.15,µm,Segment,Segment Position,3,2,1,100000001,510000003711,
-18448.2,24344.9,1511.11,µm,Segment,Segment Position,3,2,1,100000003,510000003978,
-18460.2,24318.7,1524.74,µm,Segment,Segment Position,3,2,1,100000003,510000004048,
-18435.8,24269.1,1519.24,µm,Segment,Segment Position,3,3,1,100000002,510000000666,
-18452.4,24309.7,1515.91,µm,Segment,Segment Position,3,3,1,100000003,510000001608,
-18480.5,24331.6,1505.36,µm,Segment,Segment Position,3,3,1,100000003,510000001935,
-18524,24317,1518.25,µm,Segment,Segment Position,3,3,1,100000000,510000002281,
-18501.5,24260.3,1524.36,µm,Segment,Segment Position,3,3,1,100000001,510000002425,
-18505.6,24298.2,1520.89,µm,Segment,Segment Position,3,3,1,100000001,510000002479,
-18505.5,24281.2,1507.19,µm,Segment,Segment Position,3,3,1,100000001,510000002806,
-18500.7,24277.3,1523.27,µm,Segment,Segment Position,3,3,1,100000001,510000003915,
-18505.3,24273.5,1516.85,µm,Segment,Segment Position,3,3,1,100000001,510000003990,
-18504.5,24290.2,1508.72,µm,Segment,Segment Position,3,3,1,100000001,510000004333,
-18448.3,24325,1504.48,µm,Segment,Segment Position,3,3,1,100000003,510000004340,
-18503.3,24264.9,1525.98,µm,Segment,Segment Position,3,4,1,100000001,510000001797,
-18448.2,24325.2,1505.46,µm,Segment,Segment Position,3,4,1,100000003,510000002378,
-18501,24275.6,1522.47,µm,Segment,Segment Position,3,4,1,100000001,510000003941,
-18432.5,24279.3,1505.96,µm,Segment,Segment Position,4,1,1,100000002,510000001136,
-18452.4,24348.5,1510.31,µm,Segment,Segment Position,4,1,1,100000003,510000002965,
