
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
23241.3,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000147,
23219.7,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000001,800000148,
23217.9,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000001,800000149,
23200.7,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000001,800000150,
23194.3,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000001,800000151,
23206.6,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000001,800000152,
23209.8,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000153,
23208.5,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000154,
23216.5,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000001,800000155,
23207.5,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000156,
23209.4,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000001,800000157,
23216.9,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000001,800000158,
23162.5,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000002,800000159,
23166.7,µm,Point,Pt Distance from Origin,10,1,Segment Branch,100000002,800000160,
23168.3,µm,Point,Pt Distance from Origin,9,1,Segment Branch,100000002,800000161,
23167.5,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000002,800000162,
23167.1,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000002,800000163,
23165.3,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000002,800000164,
23164.4,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000002,800000165,
23163.8,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000002,800000166,
23159.6,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000002,800000167,
23159.6,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000002,800000168,
23160.4,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000002,800000169,
23161.7,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000002,800000170,
23172.2,µm,Point,Pt Distance from Origin,10,1,Segment Terminal,100000002,800000171,
23167.1,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000002,800000172,
23166.7,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000002,800000173,
23153.7,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000002,800000174,
23154.4,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000002,800000175,
23156.9,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000002,800000176,
23159.7,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000177,
23160.9,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000002,800000178,
23163,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000002,800000179,
23175.2,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000002,800000180,
23172.2,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000002,800000181,
23166.2,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000002,800000182,
23167.1,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000002,800000183,
23173.3,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000002,800000184,
23187.9,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000185,
23182.4,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000002,800000186,
23170.7,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000002,800000187,
23153.7,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000002,800000188,
23154.2,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000002,800000189,
23152.9,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000002,800000190,
23155.5,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000002,800000191,
23158.7,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000002,800000192,
23181.3,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000193,
23170,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000002,800000194,
23167.1,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000002,800000195,
23168.8,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000002,800000196,
23169.5,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000002,800000197,
23159.4,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000002,800000198,
23163.6,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000002,800000199,
23164.5,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000002,800000200,
23159.2,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000201,
23165.3,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000202,
23167.1,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000002,800000203,
23174.9,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000002,800000204,
23160.9,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000205,
23176.3,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000002,800000206,
23172.9,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000002,800000207,
23164.6,µm,Point,Pt Distance from Origin,0,1,Segment Terminal,100000002,800000208,
23219.2,µm,Point,Pt Distance from Origin,0,1,Spine Attachment,100000000,800000209,
23200.3,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000000,800000210,
23201.5,µm,Point,Pt Distance from Origin,4,1,Spine Attachment,100000000,800000211,
23221.8,µm,Point,Pt Distance from Origin,1,1,Spine Attachment,100000000,800000212,
23199.9,µm,Point,Pt Distance from Origin,4,1,Spine Attachment,100000000,800000213,
23202.6,µm,Point,Pt Distance from Origin,3,1,Spine Attachment,100000000,800000214,
23240.4,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000000,800000215,
23221.2,µm,Point,Pt Distance from Origin,1,1,Spine Attachment,100000000,800000216,
23214.9,µm,Point,Pt Distance from Origin,0,1,Spine Attachment,100000000,800000217,
23205.9,µm,Point,Pt Distance from Origin,6,1,Spine Attachment,100000000,800000218,
23209.5,µm,Point,Pt Distance from Origin,4,1,Spine Attachment,100000000,800000219,
23244.9,µm,Point,Pt Distance from Origin,7,1,Spine Attachment,100000000,800000220,
23226.3,µm,Point,Pt Distance from Origin,3,1,Spine Attachment,100000000,800000221,
23241.3,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000000,800000222,
23217.5,µm,Point,Pt Distance from Origin,4,1,Spine Attachment,100000000,800000223,
23217.6,µm,Point,Pt Distance from Origin,4,1,Spine Attachment,100000000,800000224,
23218.9,µm,Point,Pt Distance from Origin,4,1,Spine Attachment,100000000,800000225,
23238.5,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000000,800000226,
23220.6,µm,Point,Pt Distance from Origin,0,1,Spine Attachment,100000000,800000227,
23208.2,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000228,
23207.7,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000229,
23207.8,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000230,
23217.5,µm,Point,Pt Distance from Origin,0,1,Spine Terminal,100000000,800000231,
23238.4,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000000,800000232,
23217.1,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000233,
23226.1,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000000,800000234,
23201.4,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000000,800000235,
23240.6,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000000,800000236,
23223,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000000,800000237,
23242.2,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000000,800000238,
23201,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000000,800000239,
23222.9,µm,Point,Pt Distance from Origin,,1,Spine Terminal,100000000,800000240,
23205.6,µm,Point,Pt Distance from Origin,6,1,Spine Terminal,100000000,800000241,
23202.8,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000242,
23199.3,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000243,
23245.5,µm,Point,Pt Distance from Origin,7,1,Spine Terminal,100000000,800000244,
23222.2,µm,Point,Pt Distance from Origin,,1,Spine Terminal,100000000,800000245,
23201.5,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000000,800000246,
23219.8,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000000,800000247,
23217.2,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000248,
23220.4,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000000,800000249,
23219.7,µm,Point,Pt Distance from Origin,0,1,Spine Terminal,100000000,800000250,
23222.3,µm,Point,Pt Distance from Origin,2,1,Spine Terminal,100000000,800000251,
23219.1,µm,Point,Pt Distance from Origin,4,1,Spine Terminal,100000000,800000252,
23218.6,µm,Point,Pt Distance from Origin,0,1,Spine Terminal,100000000,800000253,
23240.2,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000000,800000254,
23214.4,µm,Point,Pt Distance from Origin,0,1,Spine Terminal,100000000,800000255,
23215.6,µm,Point,Pt Distance from Origin,0,1,Spine Terminal,100000000,800000256,
23222.6,µm,Point,Pt Distance from Origin,2,1,Spine Attachment,100000001,800000257,
23219.1,µm,Point,Pt Distance from Origin,6,1,Spine Attachment,100000001,800000258,
23218.1,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000259,
23217,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000260,
23210.7,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000261,
23209,µm,Point,Pt Distance from Origin,2,1,Spine Attachment,100000001,800000262,
23208.2,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000263,
23238.6,µm,Point,Pt Distance from Origin,2,1,Spine Attachment,100000001,800000264,
23232.4,µm,Point,Pt Distance from Origin,1,1,Spine Attachment,100000001,800000265,
23227.6,µm,Point,Pt Distance from Origin,1,1,Spine Attachment,100000001,800000266,
23227.2,µm,Point,Pt Distance from Origin,1,1,Spine Attachment,100000001,800000267,
23223.8,µm,Point,Pt Distance from Origin,1,1,Spine Attachment,100000001,800000268,
23248.1,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000269,
23248.9,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000270,
23249.2,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000271,
23250.4,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000272,
23240.1,µm,Point,Pt Distance from Origin,2,1,Spine Attachment,100000001,800000273,
23256.3,µm,Point,Pt Distance from Origin,6,1,Spine Attachment,100000001,800000274,
23255.4,µm,Point,Pt Distance from Origin,6,1,Spine Attachment,100000001,800000275,
23192,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000276,
23193.4,µm,Point,Pt Distance from Origin,3,1,Spine Attachment,100000001,800000277,
23186.6,µm,Point,Pt Distance from Origin,6,1,Spine Attachment,100000001,800000278,
23194.1,µm,Point,Pt Distance from Origin,5,1,Spine Attachment,100000001,800000279,
23188.6,µm,Point,Pt Distance from Origin,7,1,Spine Attachment,100000001,800000280,
23260.5,µm,Point,Pt Distance from Origin,7,1,Spine Attachment,100000001,800000281,
23258.4,µm,Point,Pt Distance from Origin,7,1,Spine Attachment,100000001,800000282,
23258,µm,Point,Pt Distance from Origin,7,1,Spine Attachment,100000001,800000283,
23241.6,µm,Point,Pt Distance from Origin,3,1,Spine Attachment,100000001,800000284,
23203.3,µm,Point,Pt Distance from Origin,0,1,Spine Attachment,100000001,800000285,
23197.5,µm,Point,Pt Distance from Origin,1,1,Spine Attachment,100000001,800000286,
23256.5,µm,Point,Pt Distance from Origin,7,1,Spine Terminal,100000001,800000287,
23216.4,µm,Point,Pt Distance from Origin,,1,Spine Terminal,100000001,800000288,
23217.2,µm,Point,Pt Distance from Origin,,1,Spine Terminal,100000001,800000289,
23216.9,µm,Point,Pt Distance from Origin,,1,Spine Terminal,100000001,800000290,
