
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
4.48725,µm^2,Segment,2,1,1,100000002,510000003334,
2.21679,µm^2,Segment,1,1,1,100000002,510000003357,
0.535836,µm^2,Segment,0,1,1,100000002,510000003365,
1.71338,µm^2,Segment,13,3,1,100000001,510000003382,
0.897889,µm^2,Segment,11,2,1,100000001,510000003390,
2.35107,µm^2,Segment,10,2,1,100000001,510000003409,
0.604644,µm^2,Segment,13,3,1,100000002,510000003413,
0.440408,µm^2,Segment,15,3,1,100000001,510000003416,
0.794754,µm^2,Segment,13,5,1,100000001,510000003422,
1.23539,µm^2,Segment,14,3,1,100000001,510000003433,
1.02437,µm^2,Segment,13,3,1,100000000,510000003439,
0.669342,µm^2,Segment,11,3,1,100000002,510000003445,
0.961468,µm^2,Segment,9,4,1,100000000,510000003452,
0.632024,µm^2,Segment,11,3,1,100000003,510000003458,
0.957905,µm^2,Segment,8,3,1,100000000,510000003462,
0.634901,µm^2,Segment,15,5,1,100000001,510000003466,
0.97477,µm^2,Segment,7,4,1,100000002,510000003475,
0.37273,µm^2,Segment,15,4,1,100000001,510000003480,
0.437247,µm^2,Segment,14,3,1,100000001,510000003485,
0.525815,µm^2,Segment,13,2,1,100000001,510000003488,
1.48418,µm^2,Segment,9,4,1,100000003,510000003503,
2.31286,µm^2,Segment,6,3,1,100000002,510000003529,
1.36595,µm^2,Segment,9,2,1,100000003,510000003538,
2.75292,µm^2,Segment,8,2,1,100000003,510000003558,
1.08598,µm^2,Segment,15,3,1,100000001,510000003571,
0.577166,µm^2,Segment,15,4,1,100000001,510000003576,
0.654391,µm^2,Segment,14,3,1,100000001,510000003580,
0.827347,µm^2,Segment,14,2,1,100000001,510000003588,
1.14723,µm^2,Segment,13,2,1,100000001,510000003593,
0.739857,µm^2,Segment,14,6,1,100000000,510000003601,
1.83981,µm^2,Segment,13,3,1,100000001,510000003620,
0.578118,µm^2,Segment,6,6,1,100000003,510000003626,
0.856022,µm^2,Segment,9,3,1,100000003,510000003632,
0.358248,µm^2,Segment,9,2,1,100000002,510000003635,
0.640281,µm^2,Segment,8,1,1,100000002,510000003639,
0.947532,µm^2,Segment,7,1,1,100000002,510000003646,
1.71059,µm^2,Segment,6,1,1,100000002,510000003658,
1.24949,µm^2,Segment,5,1,1,100000002,510000003664,
0.866227,µm^2,Segment,10,3,1,100000002,510000003671,
0.847825,µm^2,Segment,9,2,1,100000000,510000003676,
0.940147,µm^2,Segment,6,3,1,100000003,510000003683,
7.7377,µm^2,Segment,4,2,1,100000003,510000003746,
0.536581,µm^2,Segment,3,1,1,100000003,510000003749,
2.61077,µm^2,Segment,2,1,1,100000003,510000003761,
2.17333,µm^2,Segment,1,1,1,100000003,510000003769,
1.41926,µm^2,Segment,0,1,1,100000003,510000003783,
0.658543,µm^2,Segment,6,2,1,100000001,510000003792,
1.74938,µm^2,Segment,4,2,1,100000001,510000003812,
1.89579,µm^2,Segment,3,2,1,100000001,510000003827,
5.41162,µm^2,Segment,2,1,1,100000001,510000003864,
1.77162,µm^2,Segment,1,1,1,100000001,510000003874,
2.46794,µm^2,Segment,0,1,1,100000001,510000003898,
1.58903,µm^2,Segment,5,2,1,100000002,510000003916,
0.745642,µm^2,Segment,14,3,1,100000001,510000003924,
1.36878,µm^2,Segment,6,3,1,100000001,510000003936,
0.986664,µm^2,Segment,8,4,1,100000002,510000003947,
0.443482,µm^2,Segment,7,3,1,100000002,510000003951,
0.757347,µm^2,Segment,6,2,1,100000002,510000003958,
0.416216,µm^2,Segment,5,2,1,100000002,510000003961,
2.17907,µm^2,Segment,4,1,1,100000002,510000003981,
2.38941,µm^2,Segment,3,1,1,100000002,510000004003,
0.818003,µm^2,Segment,5,3,1,100000001,510000004010,
0.531772,µm^2,Segment,7,4,1,100000003,510000004015,
1.49185,µm^2,Segment,6,3,1,100000003,510000004027,
1.34234,µm^2,Segment,5,3,1,100000003,510000004038,
0.369823,µm^2,Segment,4,2,1,100000003,510000004040,
1.03013,µm^2,Segment,3,2,1,100000003,510000004046,
1.00317,µm^2,Segment,12,4,1,100000001,510000004055,
0.991987,µm^2,Segment,11,3,1,100000001,510000004062,
0.792023,µm^2,Segment,9,1,1,100000002,510000004067,
1.07848,µm^2,Segment,9,3,1,100000002,510000004078,
1.3508,µm^2,Segment,7,5,1,100000002,510000004090,
2.52746,µm^2,Segment,6,5,1,100000002,510000004110,
0.802625,µm^2,Segment,5,5,1,100000002,510000004116,
2.53152,µm^2,Segment,4,4,1,100000002,510000004149,
0.927641,µm^2,Segment,3,3,1,100000002,510000004159,
