
Spine Intensity StdDev Ch=1 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
16.5949,,Spine,1,1,Image 1,2,1,100000001,610000003666,
36.7,,Spine,1,1,Image 1,2,1,100000001,610000003667,
14.7778,,Spine,1,1,Image 1,1,1,100000001,610000003668,
23.4388,,Spine,1,0,Image 1,1,1,100000001,610000003669,
24.3782,,Spine,1,0,Image 1,1,1,100000001,610000003670,
24.7352,,Spine,1,0,Image 1,1,1,100000001,610000003671,
17.4536,,Spine,1,5,Image 1,3,1,100000001,610000003672,
27.1904,,Spine,1,5,Image 1,2,1,100000001,610000003673,
21.3406,,Spine,1,3,Image 1,1,1,100000001,610000003674,
32.786,,Spine,1,1,Image 1,1,1,100000001,610000003675,
15.4319,,Spine,1,0,Image 1,1,1,100000001,610000003676,
17.8364,,Spine,1,0,Image 1,1,1,100000001,610000003677,
18.5704,,Spine,1,0,Image 1,1,1,100000001,610000003680,
24.6445,,Spine,1,0,Image 1,1,1,100000001,610000003681,
