
Segment Center Intensity Sum Ch=3 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1062,,Segment,3,7,Image 1,3,1,100000002,510000010777,
327,,Segment,3,12,Image 1,4,1,100000002,510000010782,
85,,Segment,3,10,Image 1,4,1,100000002,510000010784,
1538,,Segment,3,9,Image 1,3,1,100000002,510000010812,
151,,Segment,3,11,Image 1,5,1,100000002,510000010816,
592,,Segment,3,8,Image 1,3,1,100000002,510000010827,
1960,,Segment,3,7,Image 1,4,1,100000002,510000010862,
134,,Segment,3,6,Image 1,3,1,100000002,510000010865,
425,,Segment,3,8,Image 1,3,1,100000002,510000010870,
130,,Segment,3,9,Image 1,5,1,100000002,510000010873,
1242,,Segment,3,7,Image 1,4,1,100000002,510000010886,
266,,Segment,3,7,Image 1,3,1,100000002,510000010892,
426,,Segment,3,5,Image 1,3,1,100000002,510000010901,
412,,Segment,3,3,Image 1,3,1,100000002,510000010911,
144,,Segment,3,2,Image 1,1,1,100000002,510000010916,
224,,Segment,3,3,Image 1,3,1,100000002,510000010920,
2746,,Segment,3,8,Image 1,2,1,100000003,510000010953,
611,,Segment,3,9,Image 1,1,1,100000003,510000010960,
1163,,Segment,3,8,Image 1,4,1,100000003,510000010973,
209,,Segment,3,7,Image 1,5,1,100000003,510000010974,
89,,Segment,3,10,Image 1,5,1,100000003,510000010979,
364,,Segment,3,9,Image 1,4,1,100000003,510000010983,
927,,Segment,3,8,Image 1,3,1,100000003,510000011003,
102,,Segment,3,10,Image 1,4,1,100000003,510000011005,
835,,Segment,3,7,Image 1,3,1,100000003,510000011020,
1085,,Segment,3,6,Image 1,2,1,100000003,510000011031,
983,,Segment,3,7,Image 1,2,1,100000003,510000011043,
235,,Segment,3,5,Image 1,2,1,100000003,510000011047,
239,,Segment,3,4,Image 1,3,1,100000003,510000011054,
290,,Segment,3,4,Image 1,3,1,100000003,510000011061,
1193,,Segment,3,10,Image 1,3,1,100000003,510000011078,
127,,Segment,3,9,Image 1,4,1,100000003,510000011081,
1044,,Segment,3,3,Image 1,4,1,100000003,510000011099,
780,,Segment,3,2,Image 1,1,1,100000002,510000011111,
1076,,Segment,3,1,Image 1,1,1,100000002,510000011130,
3512,,Segment,3,0,Image 1,1,1,100000002,510000011183,
915,,Segment,3,7,Image 1,3,1,100000003,510000011195,
359,,Segment,3,8,Image 1,2,1,100000003,510000011199,
889,,Segment,3,1,Image 1,2,1,100000002,510000011214,
708,,Segment,3,7,Image 1,3,1,100000003,510000011221,
1068,,Segment,3,5,Image 1,1,1,100000003,510000011235,
513,,Segment,3,3,Image 1,2,1,100000003,510000011244,
1244,,Segment,3,4,Image 1,5,1,100000002,510000011267,
141,,Segment,3,3,Image 1,4,1,100000002,510000011269,
546,,Segment,3,4,Image 1,2,1,100000003,510000011274,
256,,Segment,3,4,Image 1,3,1,100000002,510000011278,
302,,Segment,3,4,Image 1,4,1,100000002,510000011282,
2201,,Segment,3,2,Image 1,2,1,100000002,510000011320,
306,,Segment,3,2,Image 1,2,1,100000003,510000011330,
1015,,Segment,3,2,Image 1,2,1,100000003,510000011345,
360,,Segment,3,2,Image 1,2,1,100000002,510000011354,
876,,Segment,3,1,Image 1,1,1,100000002,510000011364,
958,,Segment,3,1,Image 1,2,1,100000003,510000011378,
526,,Segment,3,2,Image 1,2,1,100000003,510000011384,
326,,Segment,3,1,Image 1,1,1,100000003,510000011386,
694,,Segment,3,0,Image 1,1,1,100000003,510000011393,
252,,Segment,3,1,Image 1,2,1,100000002,510000011397,
1273,,Segment,3,0,Image 1,1,1,100000002,510000011419,
868,,Segment,3,3,Image 1,1,1,100000003,510000011425,
227,,Segment,3,1,Image 1,1,1,100000002,510000011434,
584,,Segment,3,1,Image 1,2,1,100000003,510000011469,
741,,Segment,3,0,Image 1,1,1,100000003,510000011489,
304,,Segment,3,1,Image 1,2,1,100000003,510000011494,
616,,Segment,3,0,Image 1,1,1,100000003,510000011504,
499,,Segment,3,2,Image 1,2,1,100000003,510000011511,
509,,Segment,3,3,Image 1,2,1,100000003,510000011515,
360,,Segment,3,2,Image 1,1,1,100000003,510000011517,
173,,Segment,3,1,Image 1,2,1,100000003,510000011522,
430,,Segment,3,0,Image 1,1,1,100000003,510000011529,
