
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.500977,,Spine,2,10,Image 1,5,1,100000001,610000006861,
6.00195,,Spine,2,9,Image 1,5,1,100000001,610000006862,
2.00391,,Spine,2,9,Image 1,6,1,100000001,610000006863,
3.50098,,Spine,2,9,Image 1,3,1,100000001,610000006864,
8.50781,,Spine,2,8,Image 1,3,1,100000001,610000006865,
2.50098,,Spine,2,2,Image 1,2,1,100000001,610000006866,
8.50781,,Spine,2,0,Image 1,1,1,100000001,610000006867,
12.0078,,Spine,2,0,Image 1,1,1,100000001,610000006868,
0.500977,,Spine,2,1,Image 1,1,1,100000001,610000006869,
4.00195,,Spine,2,12,Image 1,3,1,100000001,610000006870,
29.5039,,Spine,2,12,Image 1,3,1,100000001,610000006871,
60.0625,,Spine,2,12,Image 1,3,1,100000001,610000006872,
2,,Spine,2,15,Image 1,2,1,100000001,610000006873,
2.00195,,Spine,2,13,Image 1,2,1,100000001,610000006874,
11.5078,,Spine,2,13,Image 1,2,1,100000001,610000006875,
11.002,,Spine,2,12,Image 1,1,1,100000001,610000006876,
4.00391,,Spine,2,10,Image 1,1,1,100000001,610000006877,
1.50098,,Spine,2,6,Image 1,1,1,100000001,610000006878,
2.00195,,Spine,2,6,Image 1,2,1,100000001,610000006879,
12.0078,,Spine,2,5,Image 1,2,1,100000001,610000006880,
2.50098,,Spine,2,5,Image 1,1,1,100000001,610000006881,
2.00391,,Spine,2,4,Image 1,2,1,100000001,610000006882,
2.50098,,Spine,2,4,Image 1,2,1,100000001,610000006883,
10.0078,,Spine,2,2,Image 1,1,1,100000001,610000006884,
4.50195,,Spine,2,2,Image 1,1,1,100000001,610000006885,
9.01562,,Spine,2,20,Image 1,7,1,100000001,610000006886,
23.5156,,Spine,2,20,Image 1,7,1,100000001,610000006887,
2.00195,,Spine,2,23,Image 1,8,1,100000001,610000006888,
2.50098,,Spine,2,23,Image 1,8,1,100000001,610000006889,
1.00195,,Spine,2,23,Image 1,7,1,100000001,610000006890,
1.50195,,Spine,2,23,Image 1,7,1,100000001,610000006891,
1,,Spine,2,22,Image 1,7,1,100000001,610000006892,
1,,Spine,2,20,Image 1,7,1,100000001,610000006893,
54.0312,,Spine,2,20,Image 1,7,1,100000001,610000006894,
9.00391,,Spine,2,17,Image 1,6,1,100000001,610000006895,
2.00195,,Spine,2,18,Image 1,7,1,100000001,610000006896,
0.500977,,Spine,2,15,Image 1,6,1,100000001,610000006897,
1.00195,,Spine,2,14,Image 1,6,1,100000001,610000006898,
38.5625,,Spine,2,14,Image 1,7,1,100000001,610000006899,
30.0156,,Spine,2,14,Image 1,7,1,100000001,610000006900,
2.00195,,Spine,2,14,Image 1,7,1,100000001,610000006901,
0.500977,,Spine,2,13,Image 1,5,1,100000001,610000006902,
29.5312,,Spine,2,15,Image 1,5,1,100000001,610000006903,
2.50098,,Spine,2,13,Image 1,5,1,100000001,610000006904,
1.00195,,Spine,2,12,Image 1,4,1,100000001,610000006905,
0.500977,,Spine,2,12,Image 1,4,1,100000001,610000006906,
3.50391,,Spine,2,11,Image 1,3,1,100000001,610000006907,
19.5156,,Spine,2,9,Image 1,4,1,100000001,610000006908,
4,,Spine,2,10,Image 1,4,1,100000001,610000006909,
0.500977,,Spine,2,6,Image 1,4,1,100000001,610000006910,
3,,Spine,2,5,Image 1,2,1,100000001,610000006911,
2.00195,,Spine,2,5,Image 1,2,1,100000001,610000006912,
5.50391,,Spine,2,3,Image 1,1,1,100000001,610000006913,
7.50391,,Spine,2,6,Image 1,2,1,100000001,610000006914,
2.50195,,Spine,2,4,Image 1,2,1,100000001,610000006915,
7.00391,,Spine,2,3,Image 1,2,1,100000001,610000006916,
42.5625,,Spine,2,2,Image 1,1,1,100000001,610000006917,
23.5078,,Spine,2,2,Image 1,2,1,100000001,610000006918,
9.50781,,Spine,2,2,Image 1,2,1,100000001,610000006919,
11.5078,,Spine,2,2,Image 1,2,1,100000001,610000006920,
11.5039,,Spine,2,0,Image 1,1,1,100000001,610000006921,
23.5312,,Spine,2,0,Image 1,1,1,100000001,610000006922,
1,,Spine,2,11,Image 1,5,1,100000001,610000006923,
2,,Spine,2,11,Image 1,5,1,100000001,610000006924,
3.00391,,Spine,2,8,Image 1,3,1,100000001,610000006925,
3.50195,,Spine,2,8,Image 1,3,1,100000001,610000006926,
2.00195,,Spine,2,8,Image 1,2,1,100000001,610000006927,
3.50098,,Spine,2,8,Image 1,2,1,100000001,610000006928,
2,,Spine,2,11,Image 1,3,1,100000001,610000006929,
3.00195,,Spine,2,8,Image 1,2,1,100000001,610000006930,
6.00391,,Spine,2,6,Image 1,1,1,100000001,610000006931,
1.50098,,Spine,2,1,Image 1,1,1,100000001,610000006932,
0,,Spine,2,1,Image 1,1,1,100000001,610000006933,
0,,Spine,2,1,Image 1,1,1,100000001,610000006934,
4.50391,,Spine,2,2,Image 1,2,1,100000001,610000006935,
3,,Spine,2,6,Image 1,4,1,100000001,610000006936,
1,,Spine,2,5,Image 1,4,1,100000001,610000006937,
1.00195,,Spine,2,4,Image 1,3,1,100000001,610000006938,
61.0625,,Spine,2,2,Image 1,1,1,100000001,610000006939,
14.5039,,Spine,2,2,Image 1,1,1,100000001,610000006940,
0.500977,,Spine,2,1,Image 1,1,1,100000001,610000006941,
5.00195,,Spine,2,0,Image 1,1,1,100000001,610000006943,
4.50098,,Spine,2,0,Image 1,1,1,100000001,610000006944,
0.500977,,Spine,2,4,Image 1,3,1,100000001,610000006947,
63.0078,,Spine,2,2,Image 1,1,1,100000001,610000006948,
12.5078,,Spine,2,2,Image 1,1,1,100000001,610000006949,
2.50391,,Spine,2,2,Image 1,1,1,100000001,610000006950,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000006951,
3.00195,,Spine,2,1,Image 1,2,1,100000001,610000006955,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000006956,
4.50391,,Spine,2,0,Image 1,1,1,100000001,610000006957,
0,,Spine,2,16,Image 1,5,1,100000002,610000006958,
1.50195,,Spine,2,16,Image 1,5,1,100000002,610000006959,
1.00195,,Spine,2,14,Image 1,5,1,100000002,610000006960,
1.50098,,Spine,2,14,Image 1,5,1,100000002,610000006961,
1.50098,,Spine,2,18,Image 1,4,1,100000002,610000006962,
2.50098,,Spine,2,17,Image 1,5,1,100000002,610000006963,
1,,Spine,2,17,Image 1,7,1,100000002,610000006964,
3.50391,,Spine,2,17,Image 1,6,1,100000002,610000006965,
2,,Spine,2,18,Image 1,9,1,100000002,610000006966,
6.00781,,Spine,2,18,Image 1,9,1,100000002,610000006967,
2.00195,,Spine,2,15,Image 1,7,1,100000002,610000006968,
5.00195,,Spine,2,15,Image 1,7,1,100000002,610000006969,
0.500977,,Spine,2,12,Image 1,3,1,100000002,610000006970,
5.50098,,Spine,2,11,Image 1,3,1,100000002,610000006971,
2.00195,,Spine,2,11,Image 1,2,1,100000002,610000006972,
4.50098,,Spine,2,10,Image 1,3,1,100000002,610000006973,
2.50098,,Spine,2,10,Image 1,3,1,100000002,610000006974,
3.00391,,Spine,2,9,Image 1,1,1,100000002,610000006975,
1.00195,,Spine,2,9,Image 1,2,1,100000002,610000006976,
3.00391,,Spine,2,8,Image 1,2,1,100000002,610000006977,
4.50195,,Spine,2,8,Image 1,1,1,100000002,610000006978,
4.50391,,Spine,2,7,Image 1,1,1,100000002,610000006979,
1.50098,,Spine,2,8,Image 1,3,1,100000002,610000006980,
1.00195,,Spine,2,8,Image 1,3,1,100000002,610000006981,
2.50098,,Spine,2,9,Image 1,4,1,100000002,610000006982,
4.00195,,Spine,2,3,Image 1,1,1,100000002,610000006983,
1,,Spine,2,2,Image 1,3,1,100000002,610000006984,
1.00195,,Spine,2,0,Image 1,1,1,100000002,610000006985,
1.50098,,Spine,2,3,Image 1,1,1,100000002,610000006987,
6,,Spine,2,2,Image 1,2,1,100000002,610000006988,
1.50098,,Spine,2,0,Image 1,1,1,100000002,610000006989,
1.50195,,Spine,2,0,Image 1,1,1,100000002,610000006990,
