
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.38152,0.407735,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002986,
0.446907,0.18389,0.254593,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002996,
0.289202,0.407023,0.340677,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003001,
0.263787,0.184478,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003003,
0.540954,0.290089,0.508622,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003033,
0.495018,0.379356,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003035,
0.442316,0.342433,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003055,
0.30027,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003070,
0.530795,0.631412,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003076,
0.964586,0.966,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003085,
0.359236,0.34565,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003091,
0.394278,0.394278,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003111,
0.263787,0.324661,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003120,
0.323554,0.45528,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003129,
0.377932,0.286281,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003153,
0.36916,0.412661,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003157,
0.255511,0.220522,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003168,
0.700841,0.893067,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003171,
0.446907,0.243496,0.357635,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003174,
0.481919,0.598763,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003193,
0.308729,0.407023,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003200,
0.568158,0.35332,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003210,
0.426118,0.578352,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003224,
0.22603,0.243496,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003232,
0.335834,0.335834,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003347,
0.269755,0.269755,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003364,
0.409731,0.420917,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003365,
0.409731,0.734828,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003366,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003367,
0.441254,0.678669,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003368,
0.326958,0.568158,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003369,
0.37539,0.37539,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003370,
0.491116,0.570842,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003371,
0.23335,0.23335,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003386,
0.344482,0.378724,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003387,
0.243496,0.243496,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003400,
0.185624,0.185624,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003401,
0.243496,0.243496,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003419,
0.164233,0.164233,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003420,
0.271458,0.271458,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003421,
0.259874,0.259874,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003422,
0.422499,0.432816,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003423,
0.312071,0.312071,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000003424,
0.243496,0.243496,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003453,
0.297934,0.297934,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003454,
0.476271,0.476271,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003455,
0.237413,0.237413,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003459,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003460,
0.271725,0.324661,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003461,
0.195304,0.195304,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003462,
0.322212,0.423989,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003463,
0.257615,0.257615,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000003464,
0.266758,0.162331,0.277329,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001604,
0.201237,0.182961,0.243496,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001685,
0.251924,0.184195,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000001714,
0.342949,0.179934,0.465347,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001720,
0.314163,0.321099,0.515574,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001903,
0.324661,0.243496,0.201237,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002052,
0.288044,0.324461,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002088,
0.548386,0.21171,0.499412,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002198,
0.338809,0.235305,0.411153,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002206,
0.332066,0.257982,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002208,
0.324661,0.162331,0.201237,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002258,
0.284845,0.207986,0.222094,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002316,
0.422731,0.251376,0.485662,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002341,
0.304027,0.357488,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002352,
0.281216,0.162331,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002359,
0.379704,0.251924,0.482753,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002371,
0.332969,0.38033,0.312079,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002382,
0.306245,0.219977,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002424,
0.248296,0.189536,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002445,
0.265153,0.162331,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002457,
0.414925,0.24096,0.376658,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002463,
0.403439,0.337486,0.372853,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002495,
0.345266,0.29114,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002617,
0.391842,0.262255,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002633,
0.273373,0.193502,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002640,
0.291281,0.284913,0.318887,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002744,
0.275835,0.171309,0.21615,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002785,
0.432457,0.278906,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002834,
0.324661,0.162331,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002843,
0.316266,0.283626,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002873,
0.426321,0.327198,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002875,
0.372387,0.318645,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002886,
0.3014,0.331593,0.266758,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002893,
0.310137,0.429509,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002921,
0.414925,0.376658,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000002955,
0.363085,0.396145,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000002979,
0.448297,0.457523,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000003009,
0.389829,0.360273,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003063,
0.369853,0.306245,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003141,
0.467776,0.243496,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003185,
0.275855,0.283128,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003214,
0.371929,0.544335,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003284,
0.366531,0.366531,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003285,
0.405827,0.405827,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003286,
0.326802,0.326802,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003287,
0.18946,0.18946,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003288,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003289,
0.289786,0.289786,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003290,
0.275855,0.275855,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000003291,
0.46288,0.479374,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003342,
0.301012,0.301012,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003343,
0.294859,0.294859,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003344,
0.318045,0.318045,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003383,
0.175218,0.175218,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003393,
0.3014,0.3014,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003394,
0.28951,0.28951,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003395,
0.288044,0.371585,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003402,
0.291161,0.291161,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003403,
0.27929,0.359838,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003404,
0.302417,0.389066,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003405,
0.398733,0.408363,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003406,
0.312079,0.312079,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003407,
0.342949,0.342949,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003408,
0.2982,0.416705,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003409,
0.2982,0.338748,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003410,
0.316266,0.316266,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003411,
0.338809,0.44641,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003412,
0.32015,0.32015,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003413,
0.273258,0.273258,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003414,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003415,
0.322164,0.324661,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003416,
0.316864,0.390961,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003417,
0.243496,0.297586,0.223118,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001524,
0.202969,0.229546,0.210299,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001542,
0.187852,0.203146,0.162331,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001551,
0.187852,0.324661,0.254108,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001562,
0.187852,0.273933,0.254108,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001580,
0.187852,0.170997,0.162331,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001618,
0.202969,0.229546,0.210299,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001626,
0.243496,0.244317,0.223118,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001649,
0.202969,0.292166,0.187852,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001695,
0.199539,0.162331,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001735,
0.213283,0.210299,0.202969,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001885,
0.202969,0.162331,0.187852,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000001910,
