
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Spine,0,1,1,100000000,610000002889,
1,,Spine,1,1,1,100000002,610000002893,
0,,Spine,0,1,1,100000001,610000002895,
-1,,Spine,4,4,1,100000000,610000002901,
4,,Spine,4,3,1,100000001,610000002903,
3,,Spine,3,4,1,100000001,610000002906,
4,,Spine,4,3,1,100000001,610000002908,
0,,Spine,0,1,1,100000002,610000002913,
4,,Spine,4,1,1,100000003,610000002915,
0,,Spine,0,1,1,100000001,610000002917,
1,,Spine,1,1,1,100000002,610000002921,
7,,Spine,7,1,1,100000003,610000002924,
-1,,Spine,0,1,1,100000001,610000002928,
0,,Spine,0,1,1,100000003,610000002932,
5,,Spine,5,4,1,100000001,610000002935,
0,,Spine,0,1,1,100000001,610000002937,
2,,Spine,2,2,1,100000003,610000002939,
1,,Spine,1,2,1,100000001,610000002941,
5,,Spine,5,4,1,100000001,610000002943,
-1,,Spine,0,1,1,100000001,610000002946,
-1,,Spine,0,1,1,100000001,610000002948,
5,,Spine,5,4,1,100000001,610000002951,
1,,Spine,1,2,1,100000001,610000002953,
1,,Spine,1,1,1,100000001,610000002955,
0,,Spine,0,1,1,100000002,610000002960,
0,,Spine,0,1,1,100000002,610000002965,
5,,Spine,5,3,1,100000001,610000002967,
6,,Spine,6,4,1,100000001,610000002969,
-1,,Spine,0,1,1,100000001,610000002971,
6,,Spine,6,4,1,100000001,610000002973,
7,,Spine,7,5,1,100000001,610000002976,
1,,Spine,1,1,1,100000002,610000002979,
-1,,Spine,0,1,1,100000001,610000002984,
0,,Spine,0,1,1,100000002,610000002986,
-1,,Spine,4,4,1,100000000,610000002993,
0,,Spine,0,1,1,100000003,610000002996,
-1,,Spine,0,1,1,100000003,610000003001,
0,,Spine,0,1,1,100000001,610000003003,
4,,Spine,4,3,1,100000001,610000003007,
1,,Spine,1,1,1,100000003,610000003009,
1,,Spine,1,2,1,100000002,610000003012,
4,,Spine,4,2,1,100000001,610000003016,
5,,Spine,5,2,1,100000003,610000003018,
7,,Spine,7,1,1,100000003,610000003022,
3,,Spine,3,2,1,100000001,610000003027,
3,,Spine,3,2,1,100000003,610000003030,
0,,Spine,0,1,1,100000003,610000003033,
0,,Spine,0,1,1,100000001,610000003035,
2,,Spine,2,1,1,100000001,610000003038,
5,,Spine,5,4,1,100000001,610000003041,
6,,Spine,6,2,1,100000003,610000003043,
3,,Spine,3,1,1,100000003,610000003047,
5,,Spine,5,4,1,100000001,610000003049,
3,,Spine,3,1,1,100000003,610000003052,
0,,Spine,0,1,1,100000001,610000003055,
-1,,Spine,4,4,1,100000000,610000003061,
1,,Spine,1,1,1,100000001,610000003063,
5,,Spine,5,4,1,100000001,610000003068,
0,,Spine,0,1,1,100000003,610000003070,
4,,Spine,4,2,1,100000002,610000003073,
-1,,Spine,0,1,1,100000001,610000003076,
7,,Spine,7,1,1,100000003,610000003080,
-1,,Spine,0,1,1,100000001,610000003085,
5,,Spine,5,1,1,100000003,610000003088,
0,,Spine,0,1,1,100000000,610000003091,
2,,Spine,2,1,1,100000003,610000003094,
1,,Spine,1,2,1,100000001,610000003096,
