
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
183.353,20812.1,1388.68,µm,Segment,Segment Position,13,2,1,100000003,510000002735,
160.782,20812,1388.27,µm,Segment,Segment Position,13,3,1,100000001,510000000426,
157.207,20787,1389.89,µm,Segment,Segment Position,13,3,1,100000000,510000001135,
193.062,20815.2,1389.68,µm,Segment,Segment Position,13,3,1,100000003,510000001577,
185.458,20812.1,1389.17,µm,Segment,Segment Position,13,3,1,100000003,510000001731,
148.729,20787.7,1388.94,µm,Segment,Segment Position,13,3,1,100000000,510000002307,
183.114,20811.4,1388.41,µm,Segment,Segment Position,13,3,1,100000003,510000002617,
166.04,20792,1389.49,µm,Segment,Segment Position,13,3,1,100000000,510000003509,
186.816,20806.1,1389.53,µm,Segment,Segment Position,13,3,1,100000003,510000003916,
156.627,20785.7,1391.01,µm,Segment,Segment Position,13,3,1,100000000,510000006558,
184.836,20812.7,1389.36,µm,Segment,Segment Position,13,4,1,100000003,510000001232,
150.065,20788.9,1389.84,µm,Segment,Segment Position,13,4,1,100000000,510000001477,
161.398,20811.7,1388.8,µm,Segment,Segment Position,13,4,1,100000001,510000001728,
193.037,20815.3,1389.81,µm,Segment,Segment Position,13,4,1,100000003,510000002747,
188.245,20814.4,1389.66,µm,Segment,Segment Position,13,4,1,100000003,510000002893,
162.755,20788.3,1390,µm,Segment,Segment Position,13,4,1,100000000,510000003102,
165.652,20792.1,1389.54,µm,Segment,Segment Position,13,4,1,100000000,510000003150,
156.925,20786.9,1389.81,µm,Segment,Segment Position,13,4,1,100000000,510000003233,
167.028,20792,1389.38,µm,Segment,Segment Position,13,4,1,100000000,510000003255,
168.778,20786.7,1389.02,µm,Segment,Segment Position,13,4,1,100000000,510000003261,
184.713,20809.1,1389.38,µm,Segment,Segment Position,13,4,1,100000003,510000003381,
186.922,20806.1,1389.39,µm,Segment,Segment Position,13,4,1,100000003,510000003953,
156.604,20785.7,1391.08,µm,Segment,Segment Position,13,4,1,100000000,510000003997,
169.019,20786.6,1389.25,µm,Segment,Segment Position,13,5,1,100000000,510000001901,
167.322,20791.9,1389.13,µm,Segment,Segment Position,13,5,1,100000000,510000002070,
163.113,20788.9,1388.92,µm,Segment,Segment Position,13,5,1,100000000,510000002708,
188.544,20814.2,1389.79,µm,Segment,Segment Position,13,5,1,100000003,510000003122,
162.475,20788.2,1389.68,µm,Segment,Segment Position,13,5,1,100000000,510000003137,
185.157,20809.3,1389.73,µm,Segment,Segment Position,13,5,1,100000003,510000003266,
163.263,20788.8,1388.93,µm,Segment,Segment Position,13,6,1,100000000,510000004268,
157.291,20787.5,1389.96,µm,Segment,Segment Position,14,3,1,100000000,510000001132,
160.477,20812.5,1388.3,µm,Segment,Segment Position,14,3,1,100000001,510000001214,
193.393,20815.4,1389.44,µm,Segment,Segment Position,14,3,1,100000003,510000002588,
156.706,20785.7,1390.77,µm,Segment,Segment Position,14,3,1,100000000,510000003958,
161.403,20813,1387.91,µm,Segment,Segment Position,14,4,1,100000001,510000000420,
193.721,20815.4,1389.48,µm,Segment,Segment Position,14,4,1,100000003,510000001575,
157.142,20787.5,1390.24,µm,Segment,Segment Position,14,4,1,100000000,510000002595,
156.398,20785.7,1391.27,µm,Segment,Segment Position,14,4,1,100000000,510000004018,
156.862,20785.9,1390.85,µm,Segment,Segment Position,14,4,1,100000000,510000004042,
162.627,20789.4,1389.26,µm,Segment,Segment Position,14,5,1,100000000,510000002704,
169.736,20785.8,1388.45,µm,Segment,Segment Position,14,5,1,100000000,510000002972,
162.109,20788,1389.96,µm,Segment,Segment Position,14,5,1,100000000,510000003132,
156.354,20785.6,1391.45,µm,Segment,Segment Position,14,5,1,100000000,510000003995,
167.592,20792.2,1389.14,µm,Segment,Segment Position,14,5,1,100000000,510000006567,
169.611,20786.4,1388.97,µm,Segment,Segment Position,14,6,1,100000000,510000001892,
162.319,20789.2,1388.54,µm,Segment,Segment Position,14,6,1,100000000,510000002875,
167.456,20792.3,1389.34,µm,Segment,Segment Position,14,6,1,100000000,510000003239,
162.103,20788,1389.75,µm,Segment,Segment Position,14,6,1,100000000,510000003920,
160.129,20812.9,1388.67,µm,Segment,Segment Position,15,3,1,100000001,510000001545,
158.113,20787.8,1390.28,µm,Segment,Segment Position,15,3,1,100000000,510000001711,
156.471,20788.6,1390.59,µm,Segment,Segment Position,15,4,1,100000000,510000001128,
160.022,20813.6,1388.37,µm,Segment,Segment Position,15,4,1,100000001,510000001208,
194.256,20815.8,1389.19,µm,Segment,Segment Position,15,4,1,100000003,510000002302,
167.843,20792.2,1389.31,µm,Segment,Segment Position,15,5,1,100000000,510000002063,
194.253,20815.7,1389.23,µm,Segment,Segment Position,15,5,1,100000003,510000006598,
168.883,20793.6,1388.8,µm,Segment,Segment Position,15,6,1,100000000,510000002295,
170.15,20786.4,1388.63,µm,Segment,Segment Position,15,6,1,100000000,510000002583,
170.059,20786.5,1389.05,µm,Segment,Segment Position,15,7,1,100000000,510000001890,
159.082,20788.1,1390.42,µm,Segment,Segment Position,16,3,1,100000000,510000001698,
160.18,20814.3,1388.17,µm,Segment,Segment Position,16,4,1,100000001,510000001541,
159.279,20787.8,1390.62,µm,Segment,Segment Position,16,4,1,100000000,510000002182,
155.884,20789.8,1390.83,µm,Segment,Segment Position,16,4,1,100000000,510000006556,
155.817,20790,1390.95,µm,Segment,Segment Position,16,5,1,100000000,510000001099,
159.962,20814.4,1388.29,µm,Segment,Segment Position,16,5,1,100000001,510000001191,
194.728,20815.8,1389.14,µm,Segment,Segment Position,16,5,1,100000003,510000001567,
168.162,20792,1389.6,µm,Segment,Segment Position,16,5,1,100000000,510000006568,
169.567,20791.9,1389.45,µm,Segment,Segment Position,16,6,1,100000000,510000002057,
170.208,20794.9,1388.14,µm,Segment,Segment Position,16,6,1,100000000,510000002320,
194.407,20815.8,1389.17,µm,Segment,Segment Position,16,6,1,100000003,510000006600,
169.992,20794.7,1388.03,µm,Segment,Segment Position,16,7,1,100000000,510000002256,
170.588,20786.9,1389.18,µm,Segment,Segment Position,16,7,1,100000000,510000002574,
170.321,20787.1,1389.3,µm,Segment,Segment Position,16,8,1,100000000,510000001883,
159.098,20788.4,1390.29,µm,Segment,Segment Position,17,3,1,100000000,510000006557,
158.56,20788.5,1390.44,µm,Segment,Segment Position,17,4,1,100000000,510000001692,
168.095,20792.2,1390.16,µm,Segment,Segment Position,17,5,1,100000000,510000002883,
159.884,20814.8,1388.25,µm,Segment,Segment Position,17,5,1,100000001,510000006570,
195.18,20815.7,1389.09,µm,Segment,Segment Position,17,5,1,100000003,510000006599,
159.815,20814.9,1388.25,µm,Segment,Segment Position,17,6,1,100000001,510000001186,
195.482,20816.3,1389.12,µm,Segment,Segment Position,17,6,1,100000003,510000001561,
168.794,20792.1,1390.04,µm,Segment,Segment Position,17,6,1,100000000,510000002609,
170.95,20787.1,1389.4,µm,Segment,Segment Position,17,7,1,100000000,510000002570,
170.429,20787.6,1389.8,µm,Segment,Segment Position,17,8,1,100000000,510000001872,
170.878,20787.2,1389.36,µm,Segment,Segment Position,17,8,1,100000000,510000002585,
170.44,20787.6,1389.7,µm,Segment,Segment Position,17,9,1,100000000,510000006565,
158.902,20814.9,1388.46,µm,Segment,Segment Position,18,6,1,100000001,510000001423,
159.32,20815.4,1388.12,µm,Segment,Segment Position,18,7,1,100000001,510000001183,
159.739,20782.1,1389.57,µm,Segment,Segment Position,2,1,1,100000000,510000000120,
156.314,20804,1389.88,µm,Segment,Segment Position,2,1,1,100000001,510000000603,
158.04,20797.2,1389.5,µm,Segment,Segment Position,2,1,1,100000001,510000000736,
160.695,20798.8,1389.44,µm,Segment,Segment Position,2,1,1,100000001,510000000845,
191.504,20805.1,1390.85,µm,Segment,Segment Position,2,1,1,100000003,510000001353,
164.124,20783.8,1389.86,µm,Segment,Segment Position,2,1,1,100000000,510000001979,
