
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
11,,Spine,2,11,Image 1,3,1,100000001,610000008450,
7,,Spine,2,9,Image 1,3,1,100000001,610000008451,
12,,Spine,2,8,Image 1,2,1,100000001,610000008452,
12,,Spine,2,8,Image 1,2,1,100000001,610000008453,
13,,Spine,2,8,Image 1,2,1,100000001,610000008454,
12,,Spine,2,6,Image 1,3,1,100000001,610000008455,
13,,Spine,2,6,Image 1,3,1,100000001,610000008456,
29,,Spine,2,5,Image 1,2,1,100000001,610000008457,
7,,Spine,2,5,Image 1,2,1,100000001,610000008458,
4,,Spine,2,5,Image 1,3,1,100000001,610000008459,
7,,Spine,2,3,Image 1,1,1,100000001,610000008460,
1,,Spine,2,2,Image 1,1,1,100000001,610000008461,
7,,Spine,2,10,Image 1,4,1,100000001,610000008462,
6,,Spine,2,9,Image 1,5,1,100000001,610000008463,
2,,Spine,2,7,Image 1,3,1,100000001,610000008464,
9,,Spine,2,7,Image 1,2,1,100000001,610000008465,
10,,Spine,2,10,Image 1,6,1,100000001,610000008466,
19,,Spine,2,8,Image 1,6,1,100000001,610000008467,
9,,Spine,2,7,Image 1,4,1,100000001,610000008468,
10,,Spine,2,7,Image 1,4,1,100000001,610000008469,
4,,Spine,2,6,Image 1,3,1,100000001,610000008470,
16,,Spine,2,2,Image 1,2,1,100000001,610000008471,
19,,Spine,2,2,Image 1,2,1,100000001,610000008472,
10,,Spine,2,2,Image 1,2,1,100000001,610000008473,
10,,Spine,2,1,Image 1,1,1,100000001,610000008474,
11,,Spine,2,3,Image 1,2,1,100000001,610000008475,
6,,Spine,2,2,Image 1,2,1,100000001,610000008476,
11,,Spine,2,0,Image 1,1,1,100000001,610000008477,
10,,Spine,2,6,Image 1,2,1,100000001,610000008478,
11,,Spine,2,6,Image 1,2,1,100000001,610000008479,
17,,Spine,2,7,Image 1,2,1,100000001,610000008480,
4,,Spine,2,6,Image 1,2,1,100000001,610000008481,
9,,Spine,2,7,Image 1,5,1,100000001,610000008482,
12,,Spine,2,7,Image 1,5,1,100000001,610000008483,
4,,Spine,2,7,Image 1,4,1,100000001,610000008484,
16,,Spine,2,6,Image 1,3,1,100000001,610000008485,
4,,Spine,2,7,Image 1,3,1,100000001,610000008486,
6,,Spine,2,6,Image 1,2,1,100000001,610000008487,
26,,Spine,2,4,Image 1,2,1,100000001,610000008488,
39,,Spine,2,4,Image 1,2,1,100000001,610000008489,
1,,Spine,2,4,Image 1,3,1,100000001,610000008490,
21,,Spine,2,3,Image 1,3,1,100000001,610000008491,
14,,Spine,2,1,Image 1,2,1,100000001,610000008492,
26,,Spine,2,0,Image 1,1,1,100000001,610000008493,
38,,Spine,2,0,Image 1,1,1,100000001,610000008494,
47,,Spine,2,0,Image 1,1,1,100000001,610000008495,
32,,Spine,2,0,Image 1,1,1,100000001,610000008496,
30,,Spine,2,0,Image 1,1,1,100000001,610000008497,
8,,Spine,2,3,Image 1,2,1,100000001,610000008498,
2,,Spine,2,2,Image 1,2,1,100000001,610000008499,
3,,Spine,2,2,Image 1,2,1,100000001,610000008500,
19,,Spine,2,0,Image 1,1,1,100000001,610000008501,
44,,Spine,2,0,Image 1,1,1,100000001,610000008502,
17,,Spine,2,3,Image 1,2,1,100000001,610000008505,
12,,Spine,2,3,Image 1,2,1,100000001,610000008506,
22,,Spine,2,1,Image 1,1,1,100000001,610000008507,
42,,Spine,2,1,Image 1,1,1,100000001,610000008508,
