
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
88,,Spine,2,6,Image 1,2,1,100000001,610000008481,
130,,Spine,2,7,Image 1,5,1,100000001,610000008482,
167,,Spine,2,7,Image 1,5,1,100000001,610000008483,
62,,Spine,2,7,Image 1,4,1,100000001,610000008484,
165,,Spine,2,6,Image 1,3,1,100000001,610000008485,
115,,Spine,2,7,Image 1,3,1,100000001,610000008486,
136,,Spine,2,6,Image 1,2,1,100000001,610000008487,
109,,Spine,2,4,Image 1,2,1,100000001,610000008488,
142,,Spine,2,4,Image 1,2,1,100000001,610000008489,
96,,Spine,2,4,Image 1,3,1,100000001,610000008490,
166,,Spine,2,3,Image 1,3,1,100000001,610000008491,
147,,Spine,2,1,Image 1,2,1,100000001,610000008492,
149,,Spine,2,0,Image 1,1,1,100000001,610000008493,
180,,Spine,2,0,Image 1,1,1,100000001,610000008494,
179,,Spine,2,0,Image 1,1,1,100000001,610000008495,
178,,Spine,2,0,Image 1,1,1,100000001,610000008496,
179,,Spine,2,0,Image 1,1,1,100000001,610000008497,
170,,Spine,2,3,Image 1,2,1,100000001,610000008498,
77,,Spine,2,2,Image 1,2,1,100000001,610000008499,
104,,Spine,2,2,Image 1,2,1,100000001,610000008500,
104,,Spine,2,0,Image 1,1,1,100000001,610000008501,
172,,Spine,2,0,Image 1,1,1,100000001,610000008502,
136,,Spine,2,3,Image 1,2,1,100000001,610000008505,
143,,Spine,2,3,Image 1,2,1,100000001,610000008506,
236,,Spine,2,1,Image 1,1,1,100000001,610000008507,
185,,Spine,2,1,Image 1,1,1,100000001,610000008508,
204,,Spine,2,1,Image 1,1,1,100000001,610000008509,
197,,Spine,2,1,Image 1,1,1,100000001,610000008510,
173,,Spine,2,0,Image 1,1,1,100000001,610000008511,
84,,Spine,2,3,Image 1,1,1,100000001,610000008512,
141,,Spine,2,9,Image 1,4,1,100000001,610000008513,
177,,Spine,2,7,Image 1,3,1,100000001,610000008514,
124,,Spine,2,7,Image 1,3,1,100000001,610000008515,
157,,Spine,2,7,Image 1,3,1,100000001,610000008516,
199,,Spine,2,7,Image 1,3,1,100000001,610000008517,
153,,Spine,2,8,Image 1,5,1,100000001,610000008518,
96,,Spine,2,7,Image 1,4,1,100000001,610000008519,
50,,Spine,2,6,Image 1,4,1,100000001,610000008520,
133,,Spine,2,5,Image 1,4,1,100000001,610000008521,
116,,Spine,2,4,Image 1,3,1,100000001,610000008522,
89,,Spine,2,4,Image 1,3,1,100000001,610000008523,
186,,Spine,2,5,Image 1,3,1,100000001,610000008524,
168,,Spine,2,5,Image 1,3,1,100000001,610000008525,
82,,Spine,2,5,Image 1,3,1,100000001,610000008526,
243,,Spine,2,3,Image 1,2,1,100000001,610000008527,
118,,Spine,2,2,Image 1,2,1,100000001,610000008528,
140,,Spine,2,0,Image 1,1,1,100000001,610000008529,
149,,Spine,2,0,Image 1,1,1,100000001,610000008530,
82,,Spine,2,0,Image 1,1,1,100000001,610000008534,
128,,Spine,2,7,Image 1,6,1,100000002,610000008535,
141,,Spine,2,7,Image 1,5,1,100000002,610000008536,
173,,Spine,2,7,Image 1,5,1,100000002,610000008537,
56,,Spine,2,6,Image 1,6,1,100000002,610000008538,
45,,Spine,2,6,Image 1,6,1,100000002,610000008539,
99,,Spine,2,5,Image 1,5,1,100000002,610000008540,
157,,Spine,2,5,Image 1,5,1,100000002,610000008541,
134,,Spine,2,5,Image 1,5,1,100000002,610000008542,
168,,Spine,2,11,Image 1,6,1,100000002,610000008543,
110,,Spine,2,10,Image 1,6,1,100000002,610000008544,
112,,Spine,2,8,Image 1,3,1,100000002,610000008545,
160,,Spine,2,4,Image 1,3,1,100000002,610000008546,
171,,Spine,2,4,Image 1,3,1,100000002,610000008547,
142,,Spine,2,3,Image 1,3,1,100000002,610000008548,
147,,Spine,2,4,Image 1,3,1,100000002,610000008549,
146,,Spine,2,2,Image 1,2,1,100000002,610000008550,
230,,Spine,2,2,Image 1,2,1,100000002,610000008551,
183,,Spine,2,2,Image 1,2,1,100000002,610000008552,
197,,Spine,2,0,Image 1,1,1,100000002,610000008553,
193,,Spine,2,4,Image 1,2,1,100000002,610000008554,
125,,Spine,2,4,Image 1,2,1,100000002,610000008555,
175,,Spine,2,3,Image 1,3,1,100000002,610000008556,
126,,Spine,2,3,Image 1,3,1,100000002,610000008557,
236,,Spine,2,2,Image 1,2,1,100000002,610000008558,
175,,Spine,2,2,Image 1,2,1,100000002,610000008559,
57,,Spine,2,2,Image 1,3,1,100000002,610000008560,
233,,Spine,2,2,Image 1,3,1,100000002,610000008561,
222,,Spine,2,2,Image 1,1,1,100000002,610000008562,
156,,Spine,2,0,Image 1,1,1,100000002,610000008563,
81,,Spine,2,4,Image 1,2,1,100000002,610000008565,
156,,Spine,2,4,Image 1,2,1,100000002,610000008566,
146,,Spine,2,3,Image 1,2,1,100000002,610000008567,
123,,Spine,2,3,Image 1,2,1,100000002,610000008568,
90,,Spine,2,3,Image 1,2,1,100000002,610000008569,
76,,Spine,2,3,Image 1,2,1,100000002,610000008570,
109,,Spine,2,3,Image 1,1,1,100000002,610000008571,
146,,Spine,2,0,Image 1,1,1,100000002,610000008573,
107,,Spine,2,0,Image 1,1,1,100000002,610000008574,
185,,Spine,2,3,Image 1,2,1,100000002,610000008576,
172,,Spine,2,2,Image 1,2,1,100000002,610000008577,
207,,Spine,2,1,Image 1,1,1,100000002,610000008578,
121,,Spine,2,0,Image 1,1,1,100000002,610000008579,
94,,Spine,2,13,Image 1,4,1,100000003,610000008586,
