
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.571917,µm,Spine,0,1,1,100000003,610000008573,
0.412333,µm,Spine,,,1,100000004,610000008575,
0.441323,µm,Spine,28,10,1,100000001,610000008582,
0.40418,µm,Spine,4,2,1,100000000,610000008584,
0.516539,µm,Spine,0,1,1,100000003,610000008588,
0.371387,µm,Spine,2,3,1,100000001,610000008594,
0.332166,µm,Spine,12,4,1,100000000,610000008596,
0.524567,µm,Spine,2,2,1,100000001,610000008599,
0.557019,µm,Spine,,,1,100000004,610000008607,
0.563698,µm,Spine,0,1,1,100000000,610000008609,
0.410169,µm,Spine,0,1,1,100000003,610000008611,
0.766102,µm,Spine,0,1,1,100000003,610000008623,
0.429771,µm,Spine,,,1,100000004,610000008637,
0.277076,µm,Spine,0,1,1,100000003,610000008641,
0.567755,µm,Spine,18,7,1,100000001,610000008643,
0.336197,µm,Spine,21,8,1,100000001,610000008645,
0.325557,µm,Spine,0,1,1,100000003,610000008647,
0.334657,µm,Spine,0,1,1,100000003,610000008652,
0.513994,µm,Spine,6,2,1,100000000,610000008658,
0.557503,µm,Spine,28,10,1,100000001,610000008663,
0.416265,µm,Spine,9,5,1,100000000,610000008666,
0.224025,µm,Spine,9,4,1,100000000,610000008673,
0.586895,µm,Spine,1,1,1,100000001,610000008678,
0.429801,µm,Spine,17,7,1,100000001,610000008682,
0.374751,µm,Spine,4,2,1,100000001,610000008687,
0.362975,µm,Spine,0,1,1,100000003,610000008690,
0.421484,µm,Spine,2,2,1,100000001,610000008698,
0.456162,µm,Spine,6,2,1,100000000,610000008700,
0.619013,µm,Spine,0,1,1,100000003,610000008708,
0.265936,µm,Spine,,,1,100000004,610000008710,
0.418006,µm,Spine,5,2,1,100000001,610000008714,
0.484326,µm,Spine,0,1,1,100000003,610000008722,
0.353728,µm,Spine,2,2,1,100000001,610000008729,
0.510352,µm,Spine,0,1,1,100000000,610000008732,
0.472909,µm,Spine,2,1,1,100000001,610000008741,
0.443628,µm,Spine,0,1,1,100000003,610000008750,
0.400516,µm,Spine,7,3,1,100000000,610000008773,
0.499657,µm,Spine,0,1,1,100000000,610000008796,
0.40625,µm,Spine,,,1,100000004,610000008799,
0.699512,µm,Spine,0,1,1,100000000,610000008803,
0.334526,µm,Spine,17,7,1,100000001,610000008822,
0.189846,µm,Spine,13,6,1,100000000,610000008869,
0.226655,µm,Spine,13,6,1,100000000,610000008870,
0.316292,µm,Spine,11,5,1,100000000,610000008871,
0.285714,µm,Spine,11,5,1,100000000,610000008872,
0.290909,µm,Spine,11,6,1,100000000,610000008873,
0.223151,µm,Spine,10,5,1,100000000,610000008874,
0.299618,µm,Spine,10,6,1,100000000,610000008875,
0.332766,µm,Spine,18,6,1,100000000,610000008876,
0.333606,µm,Spine,18,6,1,100000000,610000008877,
0.311667,µm,Spine,17,5,1,100000000,610000008878,
0.216442,µm,Spine,17,7,1,100000000,610000008879,
0.288523,µm,Spine,15,5,1,100000000,610000008880,
0.311937,µm,Spine,14,5,1,100000000,610000008881,
0.280344,µm,Spine,13,5,1,100000000,610000008882,
0.400159,µm,Spine,13,4,1,100000000,610000008883,
0.264062,µm,Spine,9,5,1,100000000,610000008884,
0.332083,µm,Spine,9,5,1,100000000,610000008885,
0.330492,µm,Spine,7,3,1,100000000,610000008886,
0.288286,µm,Spine,17,7,1,100000000,610000008887,
0.350474,µm,Spine,17,7,1,100000000,610000008888,
0.333141,µm,Spine,15,6,1,100000000,610000008889,
0.368683,µm,Spine,13,4,1,100000000,610000008890,
0.345567,µm,Spine,12,4,1,100000000,610000008891,
0.277027,µm,Spine,10,4,1,100000000,610000008892,
0.317102,µm,Spine,10,5,1,100000000,610000008893,
0.291912,µm,Spine,8,3,1,100000000,610000008894,
0.29277,µm,Spine,8,3,1,100000000,610000008895,
0.306574,µm,Spine,5,2,1,100000000,610000008896,
0.391563,µm,Spine,5,2,1,100000000,610000008897,
0.343495,µm,Spine,9,2,1,100000000,610000008898,
0.440488,µm,Spine,5,1,1,100000000,610000008899,
0.319549,µm,Spine,11,6,1,100000000,610000008900,
0.290373,µm,Spine,11,6,1,100000000,610000008901,
0.290373,µm,Spine,11,6,1,100000000,610000008902,
0.346437,µm,Spine,11,5,1,100000000,610000008903,
0.200694,µm,Spine,8,3,1,100000000,610000008904,
0.275803,µm,Spine,9,3,1,100000000,610000008905,
0.325,µm,Spine,9,3,1,100000000,610000008906,
0.248563,µm,Spine,9,4,1,100000000,610000008907,
0.370279,µm,Spine,7,3,1,100000000,610000008908,
0.344922,µm,Spine,6,3,1,100000000,610000008909,
0.426781,µm,Spine,5,2,1,100000000,610000008910,
0.321492,µm,Spine,4,2,1,100000000,610000008911,
0.428564,µm,Spine,4,2,1,100000000,610000008912,
0.414009,µm,Spine,4,2,1,100000000,610000008913,
0.452907,µm,Spine,4,2,1,100000000,610000008914,
0.372948,µm,Spine,4,3,1,100000000,610000008915,
0.379247,µm,Spine,4,3,1,100000000,610000008916,
0.378766,µm,Spine,4,3,1,100000000,610000008917,
0.325482,µm,Spine,3,2,1,100000000,610000008918,
0.379744,µm,Spine,3,2,1,100000000,610000008919,
0.436853,µm,Spine,2,2,1,100000000,610000008920,
0.308833,µm,Spine,1,2,1,100000000,610000008921,
0.511941,µm,Spine,0,1,1,100000000,610000008922,
0.511941,µm,Spine,0,1,1,100000000,610000008923,
0.22406,µm,Spine,2,1,1,100000000,610000008924,
0.290681,µm,Spine,1,1,1,100000000,610000008925,
0.31868,µm,Spine,0,1,1,100000000,610000008926,
0.319287,µm,Spine,7,1,1,100000000,610000008929,
0.322816,µm,Spine,7,1,1,100000000,610000008930,
0.334716,µm,Spine,7,1,1,100000000,610000008931,
0.375883,µm,Spine,7,1,1,100000000,610000008932,
0.389191,µm,Spine,7,1,1,100000000,610000008933,
0.290245,µm,Spine,7,1,1,100000000,610000008934,
0.419658,µm,Spine,7,2,1,100000000,610000008935,
0.419658,µm,Spine,7,2,1,100000000,610000008936,
0.420785,µm,Spine,7,2,1,100000000,610000008937,
0.489983,µm,Spine,4,1,1,100000000,610000008938,
0.54282,µm,Spine,4,1,1,100000000,610000008939,
0.348818,µm,Spine,4,1,1,100000000,610000008940,
0.355469,µm,Spine,4,1,1,100000000,610000008941,
0.403057,µm,Spine,3,1,1,100000000,610000008942,
0.369797,µm,Spine,2,1,1,100000000,610000008943,
0.467531,µm,Spine,4,3,1,100000000,610000008944,
0.416406,µm,Spine,4,2,1,100000000,610000008945,
0.506013,µm,Spine,1,1,1,100000000,610000008946,
0.447117,µm,Spine,1,1,1,100000000,610000008947,
0.571177,µm,Spine,1,1,1,100000000,610000008948,
0.409317,µm,Spine,1,2,1,100000000,610000008949,
0.441214,µm,Spine,0,1,1,100000000,610000008950,
0.329245,µm,Spine,0,1,1,100000000,610000008951,
0.344356,µm,Spine,0,1,1,100000000,610000008952,
0.36763,µm,Spine,5,3,1,100000000,610000008953,
0.377995,µm,Spine,5,3,1,100000000,610000008954,
0.436297,µm,Spine,5,3,1,100000000,610000008955,
0.263836,µm,Spine,3,3,1,100000000,610000008956,
0.36314,µm,Spine,2,3,1,100000000,610000008957,
0.477603,µm,Spine,1,2,1,100000000,610000008958,
0.410289,µm,Spine,1,2,1,100000000,610000008959,
0.381212,µm,Spine,1,2,1,100000000,610000008960,
0.428758,µm,Spine,1,2,1,100000000,610000008961,
0.436856,µm,Spine,1,2,1,100000000,610000008962,
0.423935,µm,Spine,4,2,1,100000000,610000008963,
0.43773,µm,Spine,4,2,1,100000000,610000008964,
0.477344,µm,Spine,4,2,1,100000000,610000008965,
