
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.948313,µm,Spine,Spine Part Mean Diameter,15,5,1,100000001,610000009011,
1.10707,µm,Spine,Spine Part Mean Diameter,15,5,1,100000001,610000009012,
1.12358,µm,Spine,Spine Part Mean Diameter,15,5,1,100000001,610000009013,
1.19274,µm,Spine,Spine Part Mean Diameter,16,7,1,100000001,610000009014,
1.0151,µm,Spine,Spine Part Mean Diameter,11,5,1,100000001,610000009015,
0.859626,µm,Spine,Spine Part Mean Diameter,10,6,1,100000001,610000009016,
0.705266,µm,Spine,Spine Part Mean Diameter,15,6,1,100000001,610000009017,
0.705266,µm,Spine,Spine Part Mean Diameter,15,6,1,100000001,610000009018,
0.725412,µm,Spine,Spine Part Mean Diameter,14,7,1,100000001,610000009019,
0.571303,µm,Spine,Spine Part Mean Diameter,14,8,1,100000001,610000009020,
0.989796,µm,Spine,Spine Part Mean Diameter,8,4,1,100000001,610000009021,
0.68811,µm,Spine,Spine Part Mean Diameter,9,5,1,100000001,610000009022,
1.06187,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000009023,
1.09844,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000009024,
0.766412,µm,Spine,Spine Part Mean Diameter,4,4,1,100000001,610000009025,
0.833304,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000009026,
0.881761,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000009027,
0.6723,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000009028,
0.893355,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000009029,
0.782341,µm,Spine,Spine Part Mean Diameter,7,3,1,100000001,610000009030,
1.06354,µm,Spine,Spine Part Mean Diameter,6,2,1,100000001,610000009031,
1.15969,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000009032,
0.894448,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000009033,
0.855234,µm,Spine,Spine Part Mean Diameter,11,1,1,100000001,610000009037,
1.15248,µm,Spine,Spine Part Mean Diameter,10,1,1,100000001,610000009038,
0.972185,µm,Spine,Spine Part Mean Diameter,10,2,1,100000001,610000009039,
0.798593,µm,Spine,Spine Part Mean Diameter,7,2,1,100000001,610000009040,
0.944023,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000009041,
0.988275,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000009042,
1.07575,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000009043,
0.743814,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000009044,
1.02621,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000009045,
0.885867,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000009046,
