
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Segment,2,16,Image 1,6,1,100000001,510000003440,
1,,Segment,2,16,Image 1,6,1,100000001,510000003442,
11,,Segment,2,12,Image 1,7,1,100000001,510000003455,
34,,Segment,2,15,Image 1,7,1,100000001,510000003468,
4,,Segment,2,15,Image 1,6,1,100000001,510000003473,
2,,Segment,2,14,Image 1,6,1,100000001,510000003482,
30,,Segment,2,12,Image 1,6,1,100000001,510000003492,
3,,Segment,2,10,Image 1,7,1,100000001,510000003499,
1,,Segment,2,12,Image 1,6,1,100000001,510000003511,
6,,Segment,2,11,Image 1,6,1,100000001,510000003516,
8,,Segment,2,10,Image 1,6,1,100000001,510000003519,
4,,Segment,2,10,Image 1,7,1,100000001,510000003531,
34,,Segment,2,9,Image 1,6,1,100000001,510000003536,
14,,Segment,2,8,Image 1,5,1,100000001,510000003540,
10,,Segment,2,7,Image 1,5,1,100000001,510000003543,
14,,Segment,2,9,Image 1,5,1,100000001,510000003552,
3,,Segment,2,6,Image 1,5,1,100000001,510000003579,
2,,Segment,2,5,Image 1,4,1,100000001,510000003583,
2,,Segment,2,8,Image 1,4,1,100000001,510000003594,
27,,Segment,2,7,Image 1,3,1,100000001,510000003600,
27,,Segment,2,6,Image 1,3,1,100000001,510000003604,
3,,Segment,2,5,Image 1,5,1,100000001,510000003606,
8,,Segment,2,4,Image 1,4,1,100000001,510000003638,
5,,Segment,2,8,Image 1,3,1,100000001,510000003647,
4,,Segment,2,7,Image 1,4,1,100000001,510000003658,
2,,Segment,2,6,Image 1,4,1,100000001,510000003660,
4,,Segment,2,5,Image 1,4,1,100000001,510000003667,
4,,Segment,2,7,Image 1,5,1,100000001,510000003673,
20,,Segment,2,5,Image 1,6,1,100000003,510000003716,
2,,Segment,2,8,Image 1,4,1,100000003,510000003718,
3,,Segment,2,7,Image 1,4,1,100000003,510000003720,
129,,Segment,2,6,Image 1,4,1,100000003,510000003734,
5,,Segment,2,5,Image 1,4,1,100000003,510000003738,
5,,Segment,2,4,Image 1,4,1,100000003,510000003757,
31,,Segment,2,5,Image 1,5,1,100000003,510000003778,
1,,Segment,2,7,Image 1,5,1,100000003,510000003780,
4,,Segment,2,6,Image 1,5,1,100000003,510000003793,
4,,Segment,2,7,Image 1,7,1,100000003,510000003800,
26,,Segment,2,7,Image 1,6,1,100000003,510000003805,
3,,Segment,2,9,Image 1,3,1,100000001,510000003818,
5,,Segment,2,8,Image 1,2,1,100000001,510000003826,
2,,Segment,2,7,Image 1,1,1,100000001,510000003830,
31,,Segment,2,5,Image 1,1,1,100000001,510000003843,
18,,Segment,2,4,Image 1,1,1,100000001,510000003863,
3,,Segment,2,3,Image 1,1,1,100000001,510000003868,
16,,Segment,2,1,Image 1,1,1,100000001,510000003873,
2,,Segment,2,0,Image 1,1,1,100000001,510000003880,
107,,Segment,2,9,Image 1,2,1,100000001,510000003897,
63,,Segment,2,4,Image 1,3,1,100000003,510000003909,
2,,Segment,2,19,Image 1,8,1,100000001,510000003922,
1,,Segment,2,18,Image 1,7,1,100000001,510000003925,
3,,Segment,2,17,Image 1,6,1,100000001,510000003931,
6,,Segment,2,16,Image 1,6,1,100000001,510000003934,
1,,Segment,2,15,Image 1,5,1,100000001,510000003940,
4,,Segment,2,14,Image 1,4,1,100000001,510000003943,
20,,Segment,2,13,Image 1,4,1,100000001,510000003948,
8,,Segment,2,12,Image 1,4,1,100000001,510000003965,
2,,Segment,2,11,Image 1,4,1,100000001,510000003971,
4,,Segment,2,10,Image 1,3,1,100000001,510000003995,
10,,Segment,2,9,Image 1,3,1,100000001,510000004029,
3,,Segment,2,8,Image 1,2,1,100000001,510000004051,
