
Spine Neck Min Diameter
 ==================== 
Spine Neck Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,µm,Spine,9,5,1,100000000,610000003892,
0.494882,µm,Spine,1,2,1,100000002,610000003896,
0,µm,Spine,14,7,1,100000000,610000003899,
0.291364,µm,Spine,1,2,1,100000001,610000003901,
0.335124,µm,Spine,4,3,1,100000000,610000003904,
0.366573,µm,Spine,12,6,1,100000000,610000003906,
0,µm,Spine,5,4,1,100000000,610000003908,
0.169214,µm,Spine,12,5,1,100000000,610000003911,
0.328341,µm,Spine,6,4,1,100000000,610000003913,
0.200916,µm,Spine,7,4,1,100000000,610000003917,
0.424983,µm,Spine,14,7,1,100000000,610000003920,
0.242821,µm,Spine,2,1,1,100000001,610000003922,
0.162331,µm,Spine,14,7,1,100000000,610000003926,
0.170189,µm,Spine,10,5,1,100000000,610000003929,
0,µm,Spine,14,7,1,100000000,610000003931,
0.243938,µm,Spine,4,5,1,100000000,610000003933,
0.262784,µm,Spine,10,5,1,100000000,610000003935,
0.394974,µm,Spine,3,3,1,100000000,610000003938,
0.397815,µm,Spine,8,5,1,100000000,610000003940,
0.459092,µm,Spine,1,2,1,100000002,610000003943,
0.589955,µm,Spine,1,2,1,100000002,610000003948,
0.332947,µm,Spine,6,2,1,100000000,610000003951,
0.182622,µm,Spine,21,8,1,100000000,610000003953,
0,µm,Spine,11,5,1,100000000,610000003955,
0.243496,µm,Spine,7,3,1,100000000,610000003958,
0.308159,µm,Spine,11,6,1,100000000,610000003960,
0.307266,µm,Spine,8,5,1,100000000,610000003962,
0,µm,Spine,5,1,1,100000000,610000003964,
0.292905,µm,Spine,1,2,1,100000002,610000003966,
0,µm,Spine,2,2,1,100000000,610000003968,
0.36678,µm,Spine,17,8,1,100000000,610000003971,
0.401335,µm,Spine,1,1,1,100000002,610000003973,
0.231718,µm,Spine,8,3,1,100000000,610000003975,
0,µm,Spine,14,6,1,100000000,610000003978,
0.247879,µm,Spine,2,2,1,100000002,610000003980,
0.407412,µm,Spine,8,5,1,100000000,610000003983,
0.353369,µm,Spine,3,1,1,100000001,610000003986,
0.414278,µm,Spine,1,1,1,100000001,610000003988,
0,µm,Spine,13,5,1,100000000,610000003991,
0.342401,µm,Spine,10,5,1,100000000,610000003993,
0,µm,Spine,17,8,1,100000000,610000003995,
0.422243,µm,Spine,10,5,1,100000000,610000003997,
0.182622,µm,Spine,4,2,1,100000002,610000004000,
0.292596,µm,Spine,6,4,1,100000000,610000004002,
0.299176,µm,Spine,2,2,1,100000000,610000004007,
0.315559,µm,Spine,5,2,1,100000000,610000004010,
0.42411,µm,Spine,11,2,1,100000000,610000004012,
0.50052,µm,Spine,8,5,1,100000000,610000004014,
0.421567,µm,Spine,12,6,1,100000000,610000004016,
0.172476,µm,Spine,1,2,1,100000002,610000004020,
0.2803,µm,Spine,19,8,1,100000000,610000004022,
0.308987,µm,Spine,13,6,1,100000000,610000004025,
0.275835,µm,Spine,3,1,1,100000000,610000004028,
0,µm,Spine,1,1,1,100000002,610000004030,
0.231718,µm,Spine,8,3,1,100000000,610000004032,
0.279893,µm,Spine,12,7,1,100000000,610000004034,
0.20481,µm,Spine,5,2,1,100000000,610000004038,
0.429602,µm,Spine,14,7,1,100000000,610000004040,
0.335291,µm,Spine,13,5,1,100000000,610000004043,
0.251845,µm,Spine,1,1,1,100000002,610000004045,
0.296769,µm,Spine,6,4,1,100000000,610000004049,
0.654307,µm,Spine,5,5,1,100000000,610000004052,
0.632306,µm,Spine,14,7,1,100000000,610000004055,
0.34442,µm,Spine,12,7,1,100000000,610000004059,
0,µm,Spine,4,3,1,100000000,610000004062,
0.244477,µm,Spine,14,7,1,100000000,610000004065,
0.467016,µm,Spine,14,7,1,100000000,610000004067,
0.343168,µm,Spine,15,8,1,100000000,610000004069,
0.302529,µm,Spine,13,8,1,100000000,610000004071,
0.259207,µm,Spine,2,1,1,100000000,610000004074,
0.362442,µm,Spine,18,8,1,100000000,610000004077,
0.187281,µm,Spine,12,7,1,100000000,610000004079,
0.434978,µm,Spine,14,7,1,100000000,610000004083,
0,µm,Spine,8,5,1,100000000,610000004085,
0.212838,µm,Spine,2,3,1,100000000,610000004087,
0.579248,µm,Spine,1,2,1,100000001,610000004090,
0.168551,µm,Spine,5,3,1,100000000,610000004094,
0.415918,µm,Spine,5,1,1,100000000,610000004096,
0.162331,µm,Spine,0,1,1,100000001,610000004100,
0,µm,Spine,11,5,1,100000000,610000004102,
0.410936,µm,Spine,5,5,1,100000000,610000004105,
0.210523,µm,Spine,3,1,1,100000001,610000004108,
0,µm,Spine,9,5,1,100000000,610000004110,
0.201759,µm,Spine,1,2,1,100000002,610000004113,
0.336075,µm,Spine,4,2,1,100000000,610000004116,
0.162331,µm,Spine,8,5,1,100000000,610000004119,
0.324661,µm,Spine,13,8,1,100000000,610000004122,
0.409837,µm,Spine,1,1,1,100000002,610000004126,
0.319589,µm,Spine,8,5,1,100000000,610000004131,
0,µm,Spine,5,5,1,100000000,610000004134,
0.371331,µm,Spine,4,3,1,100000000,610000004137,
0,µm,Spine,1,2,1,100000001,610000004139,
0.433642,µm,Spine,14,7,1,100000000,610000004141,
0.325316,µm,Spine,3,3,1,100000000,610000004143,
0.350026,µm,Spine,8,2,1,100000000,610000004145,
0.217682,µm,Spine,9,4,1,100000000,610000004148,
0.270128,µm,Spine,10,5,1,100000000,610000004150,
0.320757,µm,Spine,2,1,1,100000001,610000004152,
0.22978,µm,Spine,13,6,1,100000000,610000004154,
0.197727,µm,Spine,9,4,1,100000000,610000004156,
0,µm,Spine,0,1,1,100000001,610000004158,
0.262157,µm,Spine,1,2,1,100000000,610000004160,
0.203269,µm,Spine,0,1,1,100000001,610000004163,
0.892819,µm,Spine,14,5,1,100000000,610000004166,
0.334807,µm,Spine,1,1,1,100000002,610000004168,
0.162331,µm,Spine,1,2,1,100000002,610000004172,
0.296244,µm,Spine,8,5,1,100000000,610000004174,
0.738503,µm,Spine,0,1,1,100000001,610000004176,
0.379647,µm,Spine,10,5,1,100000000,610000004180,
0.293997,µm,Spine,15,6,1,100000000,610000004182,
0.281403,µm,Spine,14,7,1,100000000,610000004185,
0.303194,µm,Spine,1,1,1,100000000,610000004188,
0.261782,µm,Spine,5,5,1,100000000,610000004190,
0.292555,µm,Spine,17,10,1,100000000,610000004193,
0.462327,µm,Spine,5,2,1,100000000,610000004196,
0.324661,µm,Spine,13,6,1,100000000,610000004202,
0,µm,Spine,11,6,1,100000000,610000004204,
0.441279,µm,Spine,6,4,1,100000000,610000004206,
0,µm,Spine,0,1,1,100000002,610000004208,
0.503417,µm,Spine,7,2,1,100000000,610000004211,
0.32593,µm,Spine,10,5,1,100000000,610000004213,
0.246275,µm,Spine,2,1,1,100000000,610000004216,
0,µm,Spine,0,1,1,100000001,610000004219,
0.228829,µm,Spine,1,1,1,100000002,610000004221,
0.361919,µm,Spine,8,5,1,100000000,610000004223,
0.38934,µm,Spine,1,1,1,100000000,610000004226,
0.571633,µm,Spine,17,8,1,100000000,610000004228,
0.417275,µm,Spine,5,3,1,100000000,610000004230,
0.486992,µm,Spine,1,2,1,100000002,610000004234,
0.331498,µm,Spine,5,2,1,100000000,610000004236,
0,µm,Spine,11,6,1,100000000,610000004238,
0.432825,µm,Spine,3,2,1,100000000,610000004242,
0.375324,µm,Spine,17,8,1,100000000,610000004245,
0.427069,µm,Spine,7,3,1,100000000,610000004248,
0.182939,µm,Spine,0,1,1,100000001,610000004255,
0.528843,µm,Spine,4,2,1,100000000,610000004258,
0.169214,µm,Spine,12,5,1,100000000,610000004260,
0,µm,Spine,2,2,1,100000000,610000004263,
0.488763,µm,Spine,2,2,1,100000000,610000004266,
0,µm,Spine,5,1,1,100000000,610000004268,
0.260168,µm,Spine,10,5,1,100000000,610000004271,
0,µm,Spine,3,1,1,100000000,610000004273,
0.325658,µm,Spine,5,3,1,100000000,610000004275,
0.431092,µm,Spine,5,3,1,100000000,610000004277,
0,µm,Spine,1,1,1,100000001,610000004279,
0,µm,Spine,7,2,1,100000000,610000004282,
0.329833,µm,Spine,5,3,1,100000000,610000004285,
0.418578,µm,Spine,10,3,1,100000000,610000004288,
0.51883,µm,Spine,14,7,1,100000000,610000004290,
0,µm,Spine,8,5,1,100000000,610000004292,
0.248294,µm,Spine,4,3,1,100000000,610000004294,
0,µm,Spine,0,1,1,100000001,610000004297,
0,µm,Spine,17,10,1,100000000,610000004300,
0.178529,µm,Spine,7,4,1,100000000,610000004303,
0,µm,Spine,10,5,1,100000000,610000004305,
0,µm,Spine,4,3,1,100000000,610000004307,
0.239772,µm,Spine,1,2,1,100000002,610000004312,
0.261763,µm,Spine,13,5,1,100000000,610000004314,
0.438568,µm,Spine,10,5,1,100000000,610000004317,
0,µm,Spine,0,1,1,100000000,610000004323,
0.438992,µm,Spine,3,2,1,100000000,610000004326,
0.571932,µm,Spine,7,4,1,100000000,610000004328,
0.253642,µm,Spine,1,1,1,100000001,610000004330,
0.268081,µm,Spine,6,4,1,100000000,610000004332,
0,µm,Spine,0,1,1,100000001,610000004335,
0.32051,µm,Spine,1,1,1,100000002,610000004337,
0.238423,µm,Spine,18,8,1,100000000,610000004339,
0.348757,µm,Spine,12,6,1,100000000,610000004341,
0.20006,µm,Spine,1,2,1,100000001,610000004343,
0.315888,µm,Spine,10,5,1,100000000,610000004346,
0.313748,µm,Spine,4,5,1,100000000,610000004348,
0.407315,µm,Spine,2,1,1,100000000,610000004350,
0.16455,µm,Spine,1,2,1,100000002,610000004356,
0.324661,µm,Spine,10,6,1,100000000,610000004358,
0,µm,Spine,11,5,1,100000000,610000004361,
0.237485,µm,Spine,10,5,1,100000000,610000004364,
0.517283,µm,Spine,14,7,1,100000000,610000004366,
0.483577,µm,Spine,14,7,1,100000000,610000004368,
0.490532,µm,Spine,2,1,1,100000001,610000004371,
0.35645,µm,Spine,3,1,1,100000000,610000004374,
0,µm,Spine,0,1,1,100000001,610000004376,
0.19741,µm,Spine,4,2,1,100000000,610000004379,
0.398409,µm,Spine,4,2,1,100000000,610000004381,
0,µm,Spine,7,4,1,100000000,610000004383,
0,µm,Spine,1,2,1,100000002,610000004385,
0.384008,µm,Spine,5,1,1,100000000,610000004387,
0.20545,µm,Spine,1,1,1,100000002,610000004389,
0.319645,µm,Spine,0,1,1,100000001,610000004393,
0.329916,µm,Spine,2,2,1,100000000,610000004395,
0.282523,µm,Spine,0,1,1,100000001,610000004397,
0.275408,µm,Spine,9,2,1,100000000,610000004399,
0.463271,µm,Spine,14,5,1,100000000,610000004402,
0,µm,Spine,1,2,1,100000002,610000004408,
0.300529,µm,Spine,1,2,1,100000001,610000004410,
0.41019,µm,Spine,5,3,1,100000000,610000004413,
0.410565,µm,Spine,1,2,1,100000001,610000004415,
0.31832,µm,Spine,11,5,1,100000000,610000004418,
0,µm,Spine,2,1,1,100000000,610000004423,
0.226621,µm,Spine,1,2,1,100000002,610000004431,
0.26894,µm,Spine,3,1,1,100000000,610000004434,
0,µm,Spine,1,1,1,100000001,610000004438,
0.394765,µm,Spine,0,1,1,100000001,610000004441,
0.240333,µm,Spine,1,2,1,100000002,610000004443,
0.20387,µm,Spine,15,6,1,100000000,610000004445,
0.192768,µm,Spine,8,2,1,100000000,610000004448,
0,µm,Spine,5,1,1,100000000,610000004450,
0.430176,µm,Spine,2,2,1,100000000,610000004454,
0.377477,µm,Spine,4,3,1,100000000,610000004458,
0.366591,µm,Spine,6,4,1,100000000,610000004462,
0.320223,µm,Spine,8,5,1,100000000,610000004464,
0.190071,µm,Spine,10,4,1,100000000,610000004466,
0,µm,Spine,1,2,1,100000002,610000004469,
0.532268,µm,Spine,6,2,1,100000000,610000004472,
0,µm,Spine,5,2,1,100000000,610000004474,
0.227974,µm,Spine,14,7,1,100000000,610000004476,
0.324661,µm,Spine,13,6,1,100000000,610000004480,
0.366724,µm,Spine,15,5,1,100000000,610000004482,
0.481919,µm,Spine,3,3,1,100000000,610000004487,
0.382233,µm,Spine,1,1,1,100000001,610000004489,
0.367226,µm,Spine,8,5,1,100000000,610000004491,
0.318433,µm,Spine,10,6,1,100000000,610000004493,
0,µm,Spine,11,5,1,100000000,610000004496,
0.3472,µm,Spine,2,1,1,100000000,610000004499,
0,µm,Spine,1,2,1,100000002,610000004502,
0.411757,µm,Spine,8,5,1,100000000,610000004504,
0,µm,Spine,1,2,1,100000002,610000004509,
0,µm,Spine,16,9,1,100000000,610000004511,
0,µm,Spine,7,2,1,100000000,610000004515,
0.913609,µm,Spine,2,2,1,100000000,610000004517,
0.190865,µm,Spine,0,1,1,100000001,610000004522,
0.256688,µm,Spine,2,1,1,100000000,610000004525,
0.326642,µm,Spine,7,5,1,100000000,610000004527,
0.243496,µm,Spine,7,4,1,100000000,610000004530,
0.324661,µm,Spine,5,6,1,100000000,610000004533,
0,µm,Spine,15,8,1,100000000,610000004535,
0.162331,µm,Spine,10,2,1,100000000,610000004538,
0.245297,µm,Spine,16,8,1,100000000,610000004541,
