
Spine Intensity Median Ch=2 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
44.5625,,Spine,2,8,Image 1,2,1,100000000,610000010148,
25.0625,,Spine,2,8,Image 1,2,1,100000000,610000010149,
25.0625,,Spine,2,3,Image 1,2,1,100000000,610000010150,
52.0625,,Spine,2,1,Image 1,1,1,100000000,610000010151,
47.0625,,Spine,2,2,Image 1,2,1,100000000,610000010152,
60.0625,,Spine,2,1,Image 1,2,1,100000000,610000010153,
51.0625,,Spine,2,1,Image 1,2,1,100000000,610000010154,
89.125,,Spine,2,0,Image 1,1,1,100000000,610000010155,
41.0625,,Spine,2,2,Image 1,1,1,100000000,610000010156,
54.625,,Spine,2,9,Image 1,4,1,100000000,610000010157,
85.125,,Spine,2,8,Image 1,3,1,100000000,610000010158,
92.0625,,Spine,2,7,Image 1,2,1,100000000,610000010159,
73.125,,Spine,2,5,Image 1,2,1,100000000,610000010160,
70.125,,Spine,2,5,Image 1,2,1,100000000,610000010161,
55.0625,,Spine,2,4,Image 1,3,1,100000000,610000010162,
90.0625,,Spine,2,2,Image 1,2,1,100000000,610000010163,
72.5,,Spine,2,5,Image 1,2,1,100000000,610000010164,
31.125,,Spine,2,4,Image 1,2,1,100000000,610000010165,
96.0625,,Spine,2,4,Image 1,2,1,100000000,610000010166,
93.0625,,Spine,2,4,Image 1,2,1,100000000,610000010167,
62.0625,,Spine,2,4,Image 1,3,1,100000000,610000010168,
51.0625,,Spine,2,4,Image 1,3,1,100000000,610000010169,
96.625,,Spine,2,3,Image 1,2,1,100000000,610000010170,
102.062,,Spine,2,3,Image 1,2,1,100000000,610000010171,
52.0625,,Spine,2,3,Image 1,2,1,100000000,610000010172,
58.0625,,Spine,2,2,Image 1,2,1,100000000,610000010173,
72.125,,Spine,2,3,Image 1,2,1,100000000,610000010174,
131.125,,Spine,2,0,Image 1,1,1,100000000,610000010175,
139.062,,Spine,2,0,Image 1,1,1,100000000,610000010176,
34.0625,,Spine,2,1,Image 1,2,1,100000000,610000010180,
48.0625,,Spine,2,1,Image 1,2,1,100000000,610000010181,
