
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
122,,Spine,2,17,Image 1,5,1,100000001,610000010215,
74,,Spine,2,17,Image 1,5,1,100000001,610000010216,
169,,Spine,2,16,Image 1,4,1,100000001,610000010217,
173,,Spine,2,14,Image 1,3,1,100000001,610000010218,
123,,Spine,2,14,Image 1,3,1,100000001,610000010219,
92,,Spine,2,16,Image 1,5,1,100000001,610000010220,
195,,Spine,2,14,Image 1,4,1,100000001,610000010221,
137,,Spine,2,10,Image 1,4,1,100000001,610000010222,
148,,Spine,2,8,Image 1,3,1,100000001,610000010223,
267,,Spine,2,9,Image 1,2,1,100000001,610000010224,
164,,Spine,2,6,Image 1,2,1,100000001,610000010225,
137,,Spine,2,7,Image 1,2,1,100000001,610000010226,
292,,Spine,2,2,Image 1,1,1,100000001,610000010227,
334,,Spine,2,2,Image 1,1,1,100000001,610000010228,
230,,Spine,2,2,Image 1,2,1,100000001,610000010229,
255,,Spine,2,2,Image 1,1,1,100000001,610000010230,
112,,Spine,2,2,Image 1,3,1,100000001,610000010231,
247,,Spine,2,1,Image 1,1,1,100000001,610000010232,
232,,Spine,2,0,Image 1,1,1,100000001,610000010233,
255,,Spine,2,0,Image 1,1,1,100000001,610000010234,
216,,Spine,2,0,Image 1,1,1,100000001,610000010235,
143,,Spine,2,8,Image 1,4,1,100000001,610000010236,
158,,Spine,2,6,Image 1,4,1,100000001,610000010237,
183,,Spine,2,6,Image 1,4,1,100000001,610000010238,
133,,Spine,2,6,Image 1,4,1,100000001,610000010239,
133,,Spine,2,7,Image 1,4,1,100000001,610000010240,
188,,Spine,2,6,Image 1,3,1,100000001,610000010241,
58,,Spine,2,4,Image 1,3,1,100000001,610000010242,
162,,Spine,2,3,Image 1,2,1,100000001,610000010243,
134,,Spine,2,2,Image 1,2,1,100000001,610000010244,
107,,Spine,2,6,Image 1,3,1,100000001,610000010245,
30,,Spine,2,6,Image 1,3,1,100000001,610000010246,
75,,Spine,2,6,Image 1,3,1,100000001,610000010247,
168,,Spine,2,5,Image 1,2,1,100000001,610000010248,
112,,Spine,2,3,Image 1,2,1,100000001,610000010249,
182,,Spine,2,1,Image 1,1,1,100000001,610000010250,
184,,Spine,2,0,Image 1,1,1,100000001,610000010251,
159,,Spine,2,0,Image 1,1,1,100000001,610000010252,
68,,Spine,2,5,Image 1,3,1,100000001,610000010253,
145,,Spine,2,7,Image 1,3,1,100000001,610000010254,
181,,Spine,2,0,Image 1,1,1,100000001,610000010255,
95,,Spine,2,3,Image 1,2,1,100000001,610000010256,
63,,Spine,2,3,Image 1,1,1,100000001,610000010257,
91,,Spine,2,2,Image 1,1,1,100000001,610000010258,
66,,Spine,2,2,Image 1,1,1,100000001,610000010259,
126,,Spine,2,2,Image 1,1,1,100000001,610000010260,
111,,Spine,2,14,Image 1,5,1,100000002,610000010261,
73,,Spine,2,14,Image 1,5,1,100000002,610000010262,
138,,Spine,2,14,Image 1,5,1,100000002,610000010263,
67,,Spine,2,14,Image 1,5,1,100000002,610000010264,
120,,Spine,2,12,Image 1,4,1,100000002,610000010265,
189,,Spine,2,12,Image 1,4,1,100000002,610000010266,
143,,Spine,2,13,Image 1,6,1,100000002,610000010267,
93,,Spine,2,12,Image 1,5,1,100000002,610000010268,
131,,Spine,2,12,Image 1,5,1,100000002,610000010269,
87,,Spine,2,11,Image 1,5,1,100000002,610000010270,
180,,Spine,2,11,Image 1,5,1,100000002,610000010271,
113,,Spine,2,10,Image 1,4,1,100000002,610000010272,
98,,Spine,2,8,Image 1,3,1,100000002,610000010273,
175,,Spine,2,8,Image 1,3,1,100000002,610000010274,
122,,Spine,2,7,Image 1,3,1,100000002,610000010275,
128,,Spine,2,7,Image 1,3,1,100000002,610000010276,
194,,Spine,2,5,Image 1,2,1,100000002,610000010277,
145,,Spine,2,3,Image 1,1,1,100000002,610000010278,
117,,Spine,2,3,Image 1,1,1,100000002,610000010279,
97,,Spine,2,3,Image 1,2,1,100000002,610000010280,
134,,Spine,2,2,Image 1,2,1,100000002,610000010281,
218,,Spine,2,0,Image 1,1,1,100000002,610000010282,
123,,Spine,2,4,Image 1,3,1,100000002,610000010283,
118,,Spine,2,2,Image 1,2,1,100000002,610000010284,
286,,Spine,2,0,Image 1,1,1,100000002,610000010285,
163,,Spine,2,4,Image 1,2,1,100000002,610000010286,
161,,Spine,2,4,Image 1,2,1,100000002,610000010287,
121,,Spine,2,4,Image 1,2,1,100000002,610000010288,
256,,Spine,2,3,Image 1,3,1,100000002,610000010289,
188,,Spine,2,3,Image 1,3,1,100000002,610000010290,
251,,Spine,2,11,Image 1,4,1,100000002,610000010291,
78,,Spine,2,9,Image 1,4,1,100000002,610000010292,
125,,Spine,2,8,Image 1,4,1,100000002,610000010293,
185,,Spine,2,8,Image 1,3,1,100000002,610000010294,
100,,Spine,2,7,Image 1,3,1,100000002,610000010295,
169,,Spine,2,7,Image 1,3,1,100000002,610000010296,
118,,Spine,2,7,Image 1,3,1,100000002,610000010297,
192,,Spine,2,7,Image 1,3,1,100000002,610000010298,
190,,Spine,2,17,Image 1,2,1,100000002,610000010299,
53,,Spine,2,17,Image 1,3,1,100000002,610000010300,
143,,Spine,2,16,Image 1,2,1,100000002,610000010301,
251,,Spine,2,13,Image 1,2,1,100000002,610000010302,
147,,Spine,2,13,Image 1,2,1,100000002,610000010303,
229,,Spine,2,12,Image 1,1,1,100000002,610000010304,
164,,Spine,2,12,Image 1,1,1,100000002,610000010305,
197,,Spine,2,10,Image 1,1,1,100000002,610000010306,
204,,Spine,2,10,Image 1,2,1,100000002,610000010307,
108,,Spine,2,10,Image 1,2,1,100000002,610000010308,
96,,Spine,2,8,Image 1,2,1,100000002,610000010309,
153,,Spine,2,7,Image 1,2,1,100000002,610000010310,
120,,Spine,2,6,Image 1,1,1,100000002,610000010311,
133,,Spine,2,5,Image 1,1,1,100000002,610000010312,
136,,Spine,2,5,Image 1,1,1,100000002,610000010313,
112,,Spine,2,5,Image 1,2,1,100000002,610000010314,
124,,Spine,2,5,Image 1,2,1,100000002,610000010315,
105,,Spine,2,4,Image 1,1,1,100000002,610000010316,
107,,Spine,2,6,Image 1,2,1,100000002,610000010317,
157,,Spine,2,6,Image 1,2,1,100000002,610000010318,
121,,Spine,2,6,Image 1,3,1,100000002,610000010319,
160,,Spine,2,5,Image 1,2,1,100000002,610000010320,
85,,Spine,2,5,Image 1,2,1,100000002,610000010321,
