
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
113,,Segment,3,8,Image 1,2,1,100000001,510000004262,
122,,Segment,3,7,Image 1,2,1,100000001,510000004273,
68,,Segment,3,9,Image 1,2,1,100000001,510000004275,
102,,Segment,3,13,Image 1,6,1,100000001,510000004292,
68,,Segment,3,13,Image 1,4,1,100000001,510000004302,
69,,Segment,3,12,Image 1,4,1,100000001,510000004304,
91,,Segment,3,13,Image 1,5,1,100000001,510000004306,
107,,Segment,3,16,Image 1,3,1,100000001,510000004324,
133,,Segment,3,15,Image 1,3,1,100000001,510000004353,
142,,Segment,3,14,Image 1,2,1,100000001,510000004364,
111,,Segment,3,13,Image 1,2,1,100000001,510000004371,
107,,Segment,3,12,Image 1,2,1,100000001,510000004376,
116,,Segment,3,11,Image 1,2,1,100000001,510000004378,
116,,Segment,3,10,Image 1,2,1,100000001,510000004383,
135,,Segment,3,8,Image 1,2,1,100000001,510000004395,
92,,Segment,3,7,Image 1,2,1,100000001,510000004429,
120,,Segment,3,6,Image 1,2,1,100000001,510000004450,
74,,Segment,3,5,Image 1,1,1,100000001,510000004452,
129,,Segment,3,4,Image 1,1,1,100000001,510000004457,
134,,Segment,3,3,Image 1,1,1,100000001,510000004463,
154,,Segment,3,14,Image 1,7,1,100000001,510000004470,
154,,Segment,3,13,Image 1,6,1,100000001,510000004475,
79,,Segment,3,12,Image 1,6,1,100000001,510000004486,
154,,Segment,3,14,Image 1,6,1,100000001,510000004488,
68,,Segment,3,5,Image 1,4,1,100000004,510000004504,
96,,Segment,3,4,Image 1,3,1,100000004,510000004579,
132,,Segment,3,3,Image 1,2,1,100000004,510000004604,
69,,Segment,3,13,Image 1,5,1,100000001,510000004616,
50,,Segment,3,5,Image 1,2,1,100000000,510000004622,
98,,Segment,3,4,Image 1,1,1,100000000,510000004654,
122,,Segment,3,3,Image 1,1,1,100000000,510000004699,
111,,Segment,3,2,Image 1,1,1,100000000,510000004708,
102,,Segment,3,1,Image 1,1,1,100000000,510000004719,
81,,Segment,3,0,Image 1,1,1,100000000,510000004726,
70,,Segment,3,6,Image 1,1,1,100000000,510000004729,
100,,Segment,3,5,Image 1,1,1,100000000,510000004731,
70,,Segment,3,6,Image 1,2,1,100000000,510000004735,
103,,Segment,3,11,Image 1,3,1,100000002,510000004743,
118,,Segment,3,10,Image 1,3,1,100000002,510000004745,
109,,Segment,3,9,Image 1,3,1,100000002,510000004748,
154,,Segment,3,8,Image 1,3,1,100000002,510000004754,
142,,Segment,3,7,Image 1,3,1,100000002,510000004758,
92,,Segment,3,6,Image 1,3,1,100000002,510000004764,
108,,Segment,3,5,Image 1,3,1,100000002,510000004795,
138,,Segment,3,4,Image 1,3,1,100000002,510000004801,
52,,Segment,3,3,Image 1,2,1,100000002,510000004807,
92,,Segment,3,2,Image 1,1,1,100000002,510000004813,
126,,Segment,3,0,Image 1,1,1,100000002,510000004849,
90,,Segment,3,11,Image 1,4,1,100000002,510000004875,
109,,Segment,3,9,Image 1,4,1,100000002,510000004886,
79,,Segment,3,8,Image 1,4,1,100000002,510000004903,
94,,Segment,3,10,Image 1,4,1,100000002,510000004907,
69,,Segment,3,5,Image 1,3,1,100000000,510000004921,
73,,Segment,3,4,Image 1,2,1,100000000,510000004950,
124,,Segment,3,4,Image 1,2,1,100000004,510000004978,
109,,Segment,3,3,Image 1,2,1,100000004,510000005006,
